Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
David Wesley,NJN,1993-1994, 6-0,PG,23,60,542,9.03333333333,64,174,.368,11,47,.234,44,53,.830,10,0.166666666667,34,0.566666666667,44,0.733333333333,123,2.05,38,0.633333333333,4,0.0666666666667,52,0.866666666667,47,183,3.05,
David Wesley,BOS,1994-1995, 6-0,PG,24,51,1380,27.0588235294,128,313,.409,51,119,.429,71,94,.755,31,0.607843137255,86,1.6862745098,117,2.29411764706,266,5.21568627451,82,1.60784313725,9,0.176470588235,87,1.70588235294,144,378,7.41176470588,
David Wesley,BOS,1995-1996, 6-0,PG,25,82,2104,25.6585365854,338,736,.459,116,272,.426,217,288,.753,68,0.829268292683,196,2.39024390244,264,3.21951219512,390,4.75609756098,100,1.21951219512,11,0.134146341463,159,1.93902439024,207,1009,12.3048780488,
David Wesley,BOS,1996-1997, 6-0,PG,26,74,2991,40.4189189189,456,974,.468,103,286,.360,225,288,.781,67,0.905405405405,197,2.66216216216,264,3.56756756757,537,7.25675675676,162,2.18918918919,13,0.175675675676,211,2.85135135135,221,1240,16.7567567568,
David Wesley,CHH,1997-1998, 6-0,PG,27,81,2845,35.1234567901,383,864,.443,59,170,.347,229,288,.795,49,0.604938271605,164,2.02469135802,213,2.62962962963,529,6.53086419753,140,1.72839506173,30,0.37037037037,226,2.79012345679,229,1054,13.012345679,
David Wesley,CHH,1998-1999, 6-0,PG,28,50,1848,36.96,243,545,.446,61,170,.359,159,191,.832,23,0.46,138,2.76,161,3.22,322,6.44,100,2.0,10,0.2,142,2.84,130,706,14.12,
David Wesley,CHH,1999-2000, 6-0,PG,29,82,2760,33.6585365854,407,955,.426,88,248,.355,214,275,.778,39,0.475609756098,186,2.26829268293,225,2.74390243902,463,5.64634146341,109,1.32926829268,11,0.134146341463,159,1.93902439024,186,1116,13.6097560976,
David Wesley,CHH,2000-2001, 6-0,SG,30,82,3106,37.8780487805,523,1239,.422,97,258,.376,271,339,.799,64,0.780487804878,160,1.9512195122,224,2.73170731707,361,4.40243902439,128,1.56097560976,16,0.19512195122,171,2.08536585366,220,1414,17.243902439,
David Wesley,CHH,2001-2002, 6-0,SG,31,67,2487,37.1194029851,364,910,.400,85,256,.332,138,188,.734,44,0.65671641791,99,1.4776119403,143,2.13432835821,236,3.5223880597,74,1.10447761194,15,0.223880597015,119,1.77611940299,147,951,14.1940298507,
David Wesley,NOH,2002-2003, 6-0,SG,32,73,2710,37.1232876712,449,1037,.433,134,316,.424,185,237,.781,38,0.520547945205,137,1.87671232877,175,2.39726027397,251,3.43835616438,109,1.49315068493,9,0.123287671233,132,1.80821917808,173,1217,16.6712328767,
David Wesley,NOH,2003-2004, 6-0,SG,33,61,2001,32.8032786885,311,800,.389,92,285,.323,137,182,.753,28,0.459016393443,106,1.73770491803,134,2.19672131148,175,2.86885245902,71,1.16393442623,14,0.229508196721,100,1.6393442623,147,851,13.9508196721,
David Wesley,TOT,2004-2005, 6-0,SG,34,80,2774,34.675,334,840,.398,118,315,.375,162,189,.857,38,0.475,190,2.375,228,2.85,265,3.3125,96,1.2,9,0.1125,113,1.4125,215,948,11.85,
David Wesley,NOH,2004-2005, 6-0,SG,34,26,934,35.9230769231,133,342,.389,28,80,.350,67,76,.882,12,0.461538461538,73,2.80769230769,85,3.26923076923,109,4.19230769231,35,1.34615384615,1,0.0384615384615,54,2.07692307692,65,361,13.8846153846,
David Wesley,HOU,2004-2005, 6-0,SG,34,54,1840,34.0740740741,201,498,.404,90,235,.383,95,113,.841,26,0.481481481481,117,2.16666666667,143,2.64814814815,156,2.88888888889,61,1.12962962963,8,0.148148148148,59,1.09259259259,150,587,10.8703703704,
David Wesley,HOU,2005-2006, 6-0,SG,35,71,2372,33.4084507042,226,561,.403,99,271,.365,151,187,.807,24,0.338028169014,154,2.16901408451,178,2.50704225352,204,2.87323943662,59,0.830985915493,6,0.0845070422535,120,1.69014084507,212,702,9.88732394366,
David Wesley,CLE,2006-2007, 6-0,SG,36,35,352,10.0571428571,22,75,.293,9,38,.237,20,28,.714,3,0.0857142857143,32,0.914285714286,35,1.0,37,1.05714285714,12,0.342857142857,4,0.114285714286,17,0.485714285714,32,73,2.08571428571,
