Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
David Wood,CHI,1988-1989, 6-9,PF,24,2,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,
David Wood,HOU,1990-1991, 6-9,SF,26,82,1421,17.3292682927,148,349,.424,28,90,.311,108,133,.812,107,1.30487804878,139,1.69512195122,246,3.0,94,1.14634146341,58,0.707317073171,16,0.19512195122,89,1.08536585366,236,432,5.26829268293,
David Wood,SAS,1992-1993, 6-9,PF,28,64,598,9.34375,52,117,.444,5,21,.238,46,55,.836,38,0.59375,59,0.921875,97,1.515625,34,0.53125,13,0.203125,12,0.1875,29,0.453125,93,155,2.421875,
David Wood,DET,1993-1994, 6-9,PF,29,78,1182,15.1538461538,119,259,.459,22,49,.449,62,82,.756,104,1.33333333333,135,1.73076923077,239,3.0641025641,51,0.653846153846,39,0.5,19,0.24358974359,35,0.448717948718,201,322,4.12820512821,
David Wood,GSW,1994-1995, 6-9,PF,30,78,1336,17.1282051282,153,326,.469,31,91,.341,91,117,.778,83,1.0641025641,158,2.02564102564,241,3.08974358974,65,0.833333333333,28,0.358974358974,13,0.166666666667,53,0.679487179487,217,428,5.48717948718,
David Wood,TOT,1995-1996, 6-9,PF,31,62,772,12.4516129032,75,174,.431,20,62,.323,38,50,.760,51,0.822580645161,103,1.66129032258,154,2.48387096774,34,0.548387096774,19,0.306451612903,10,0.161290322581,24,0.387096774194,150,208,3.35483870968,
David Wood,GSW,1995-1996, 6-9,PF,31,21,96,4.57142857143,7,14,.500,1,3,.333,7,8,.875,7,0.333333333333,9,0.428571428571,16,0.761904761905,5,0.238095238095,2,0.0952380952381,1,0.047619047619,3,0.142857142857,23,22,1.04761904762,
David Wood,PHO,1995-1996, 6-9,PF,31,4,34,8.5,1,6,.167,0,0,.000,2,2,1.000,2,0.5,3,0.75,5,1.25,2,0.5,1,0.25,0,0.0,2,0.5,9,4,1.0,
David Wood,DAL,1995-1996, 6-9,PF,31,37,642,17.3513513514,67,154,.435,19,59,.322,29,40,.725,42,1.13513513514,91,2.45945945946,133,3.59459459459,27,0.72972972973,16,0.432432432432,9,0.243243243243,19,0.513513513514,118,182,4.91891891892,
David Wood,MIL,1996-1997, 6-9,PF,32,46,240,5.21739130435,20,38,.526,5,15,.333,12,18,.667,5,0.108695652174,22,0.478260869565,27,0.586956521739,13,0.282608695652,7,0.152173913043,6,0.130434782609,6,0.130434782609,36,57,1.23913043478,
