Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
DeShawn Stevenson,UTA,2000-2001, 6-5,SG,19,40,293,7.325,31,91,.341,1,12,.083,26,38,.684,9,0.225,19,0.475,28,0.7,18,0.45,10,0.25,2,0.05,28,0.7,29,89,2.225,
DeShawn Stevenson,UTA,2001-2002, 6-5,SG,20,67,1134,16.9253731343,143,371,.385,2,25,.080,37,53,.698,44,0.65671641791,87,1.29850746269,131,1.9552238806,116,1.73134328358,29,0.432835820896,24,0.358208955224,68,1.01492537313,82,325,4.85074626866,
DeShawn Stevenson,UTA,2002-2003, 6-5,SG,21,61,760,12.4590163934,114,284,.401,4,12,.333,47,68,.691,22,0.360655737705,63,1.03278688525,85,1.39344262295,40,0.655737704918,22,0.360655737705,8,0.131147540984,49,0.803278688525,57,279,4.5737704918,
DeShawn Stevenson,TOT,2003-2004, 6-5,SG,22,80,2444,30.55,376,871,.432,19,71,.268,138,204,.676,79,0.9875,219,2.7375,298,3.725,158,1.975,52,0.65,17,0.2125,120,1.5,140,909,11.3625,
DeShawn Stevenson,UTA,2003-2004, 6-5,SG,22,54,1511,27.9814814815,261,586,.445,7,30,.233,89,133,.669,43,0.796296296296,135,2.5,178,3.2962962963,92,1.7037037037,28,0.518518518519,16,0.296296296296,80,1.48148148148,86,618,11.4444444444,
DeShawn Stevenson,ORL,2003-2004, 6-5,SF,22,26,933,35.8846153846,115,285,.404,12,41,.293,49,71,.690,36,1.38461538462,84,3.23076923077,120,4.61538461538,66,2.53846153846,24,0.923076923077,1,0.0384615384615,40,1.53846153846,54,291,11.1923076923,
DeShawn Stevenson,ORL,2004-2005, 6-5,SG,23,55,1089,19.8,174,426,.408,25,67,.373,56,101,.554,38,0.690909090909,64,1.16363636364,102,1.85454545455,69,1.25454545455,16,0.290909090909,9,0.163636363636,57,1.03636363636,73,429,7.8,
DeShawn Stevenson,ORL,2005-2006, 6-5,SG,24,82,2648,32.2926829268,359,781,.460,2,15,.133,180,242,.744,59,0.719512195122,182,2.21951219512,241,2.93902439024,160,1.9512195122,58,0.707317073171,17,0.207317073171,123,1.5,178,900,10.9756097561,
DeShawn Stevenson,WAS,2006-2007, 6-5,SG,25,82,2419,29.5,347,753,.461,74,183,.404,152,216,.704,55,0.670731707317,161,1.96341463415,216,2.63414634146,218,2.65853658537,65,0.792682926829,19,0.231707317073,119,1.4512195122,155,920,11.2195121951,
DeShawn Stevenson,WAS,2007-2008, 6-5,SG,26,82,2564,31.2682926829,301,780,.386,158,413,.383,157,197,.797,37,0.451219512195,198,2.41463414634,235,2.86585365854,252,3.07317073171,65,0.792682926829,15,0.182926829268,102,1.24390243902,110,917,11.1829268293,
DeShawn Stevenson,WAS,2008-2009, 6-5,SG,27,32,886,27.6875,72,231,.312,35,129,.271,32,60,.533,11,0.34375,65,2.03125,76,2.375,98,3.0625,21,0.65625,2,0.0625,32,1.0,43,211,6.59375,
DeShawn Stevenson,TOT,2009-2010, 6-5,SG,28,64,883,13.796875,46,163,.282,19,87,.218,25,35,.714,11,0.171875,80,1.25,91,1.421875,56,0.875,16,0.25,6,0.09375,30,0.46875,74,136,2.125,
DeShawn Stevenson,WAS,2009-2010, 6-5,SG,28,40,616,15.4,29,103,.282,11,62,.177,18,25,.720,7,0.175,58,1.45,65,1.625,44,1.1,11,0.275,5,0.125,24,0.6,51,87,2.175,
DeShawn Stevenson,DAL,2009-2010, 6-5,SG,28,24,267,11.125,17,60,.283,8,25,.320,7,10,.700,4,0.166666666667,22,0.916666666667,26,1.08333333333,12,0.5,5,0.208333333333,1,0.0416666666667,6,0.25,23,49,2.04166666667,
DeShawn Stevenson,DAL,2010-2011, 6-5,SG,29,72,1158,16.0833333333,128,330,.388,94,249,.378,33,43,.767,20,0.277777777778,86,1.19444444444,106,1.47222222222,77,1.06944444444,21,0.291666666667,5,0.0694444444444,44,0.611111111111,71,383,5.31944444444,
DeShawn Stevenson,NJN,2011-2012, 6-5,SF,30,51,960,18.8235294118,49,172,.285,41,145,.283,9,16,.563,7,0.137254901961,94,1.8431372549,101,1.98039215686,41,0.803921568627,19,0.372549019608,4,0.078431372549,19,0.372549019608,59,148,2.90196078431,
DeShawn Stevenson,ATL,2012-2013, 6-5,SG,31,43,896,20.8372093023,81,197,.411,66,165,.400,10,19,.526,13,0.302325581395,83,1.93023255814,96,2.23255813953,42,0.976744186047,19,0.441860465116,5,0.116279069767,16,0.372093023256,54,238,5.53488372093,
