Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dennis Johnson,SEA,1976-1977, 6-4,SG,22,81,1667,20.5802469136,285,566,.504,.000,.000,.000,179,287,.624,161,1.98765432099,141,1.74074074074,302,3.72839506173,123,1.51851851852,123,1.51851851852,57,0.703703703704,.000,0.0,221,749,9.24691358025,
Dennis Johnson,SEA,1977-1978, 6-4,SG,23,81,2209,27.2716049383,367,881,.417,.000,.000,.000,297,406,.732,152,1.87654320988,142,1.75308641975,294,3.62962962963,230,2.83950617284,118,1.45679012346,51,0.62962962963,164,2.02469135802,213,1031,12.7283950617,
Dennis Johnson,SEA,1978-1979, 6-4,SG,24,80,2717,33.9625,482,1110,.434,.000,.000,.000,306,392,.781,146,1.825,228,2.85,374,4.675,280,3.5,100,1.25,97,1.2125,191,2.3875,209,1270,15.875,
Dennis Johnson,SEA,1979-1980, 6-4,SG,25,81,2937,36.2592592593,574,1361,.422,12,58,.207,380,487,.780,173,2.13580246914,241,2.97530864198,414,5.11111111111,332,4.0987654321,144,1.77777777778,82,1.01234567901,227,2.8024691358,267,1540,19.012345679,
Dennis Johnson,PHO,1980-1981, 6-4,PG,26,79,2615,33.1012658228,532,1220,.436,11,51,.216,411,501,.820,160,2.0253164557,203,2.56962025316,363,4.59493670886,291,3.6835443038,136,1.72151898734,61,0.772151898734,208,2.63291139241,244,1486,18.8101265823,
Dennis Johnson,PHO,1981-1982, 6-4,SG,27,80,2937,36.7125,577,1228,.470,8,42,.190,399,495,.806,142,1.775,268,3.35,410,5.125,369,4.6125,105,1.3125,55,0.6875,233,2.9125,253,1561,19.5125,
Dennis Johnson,PHO,1982-1983, 6-4,PG,28,77,2551,33.1298701299,398,861,.462,5,31,.161,292,369,.791,92,1.19480519481,243,3.15584415584,335,4.35064935065,388,5.03896103896,97,1.25974025974,39,0.506493506494,204,2.64935064935,204,1093,14.1948051948,
Dennis Johnson,BOS,1983-1984, 6-4,SG,29,80,2665,33.3125,384,878,.437,4,32,.125,281,330,.852,87,1.0875,193,2.4125,280,3.5,338,4.225,93,1.1625,57,0.7125,172,2.15,251,1053,13.1625,
Dennis Johnson,BOS,1984-1985, 6-4,PG,30,80,2976,37.2,493,1066,.462,7,26,.269,261,306,.853,91,1.1375,226,2.825,317,3.9625,543,6.7875,96,1.2,39,0.4875,212,2.65,224,1254,15.675,
Dennis Johnson,BOS,1985-1986, 6-4,PG,31,78,2732,35.0256410256,482,1060,.455,6,42,.143,243,297,.818,69,0.884615384615,199,2.55128205128,268,3.4358974359,456,5.84615384615,110,1.41025641026,35,0.448717948718,173,2.21794871795,206,1213,15.5512820513,
Dennis Johnson,BOS,1986-1987, 6-4,PG,32,79,2933,37.1265822785,423,953,.444,7,62,.113,209,251,.833,45,0.569620253165,216,2.73417721519,261,3.30379746835,594,7.51898734177,87,1.10126582278,38,0.481012658228,177,2.24050632911,201,1062,13.4430379747,
Dennis Johnson,BOS,1987-1988, 6-4,PG,33,77,2670,34.6753246753,352,803,.438,12,46,.261,255,298,.856,62,0.805194805195,178,2.31168831169,240,3.11688311688,598,7.76623376623,93,1.20779220779,29,0.376623376623,195,2.53246753247,204,971,12.6103896104,
Dennis Johnson,BOS,1988-1989, 6-4,PG,34,72,2309,32.0694444444,277,638,.434,7,50,.140,160,195,.821,31,0.430555555556,159,2.20833333333,190,2.63888888889,472,6.55555555556,94,1.30555555556,21,0.291666666667,175,2.43055555556,211,721,10.0138888889,
Dennis Johnson,BOS,1989-1990, 6-4,PG,35,75,2036,27.1466666667,206,475,.434,1,24,.042,118,140,.843,48,0.64,153,2.04,201,2.68,485,6.46666666667,81,1.08,14,0.186666666667,117,1.56,179,531,7.08,
