Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dennis Rodman,DET,1986-1987, 6-7,PF,25,77,1155,15.0,213,391,.545,0,1,.000,74,126,.587,163,2.11688311688,169,2.19480519481,332,4.31168831169,56,0.727272727273,38,0.493506493506,48,0.623376623377,93,1.20779220779,166,500,6.49350649351,
Dennis Rodman,DET,1987-1988, 6-7,PF,26,82,2147,26.1829268293,398,709,.561,5,17,.294,152,284,.535,318,3.87804878049,397,4.84146341463,715,8.71951219512,110,1.34146341463,75,0.914634146341,45,0.548780487805,156,1.90243902439,273,953,11.6219512195,
Dennis Rodman,DET,1988-1989, 6-7,PF,27,82,2208,26.9268292683,316,531,.595,6,26,.231,97,155,.626,327,3.98780487805,445,5.42682926829,772,9.41463414634,99,1.20731707317,55,0.670731707317,76,0.926829268293,126,1.53658536585,292,735,8.96341463415,
Dennis Rodman,DET,1989-1990, 6-7,PF,28,82,2377,28.987804878,288,496,.581,1,9,.111,142,217,.654,336,4.09756097561,456,5.56097560976,792,9.65853658537,72,0.878048780488,52,0.634146341463,60,0.731707317073,90,1.09756097561,276,719,8.76829268293,
Dennis Rodman,DET,1990-1991, 6-7,PF,29,82,2747,33.5,276,560,.493,6,30,.200,111,176,.631,361,4.40243902439,665,8.10975609756,1026,12.512195122,85,1.03658536585,65,0.792682926829,55,0.670731707317,94,1.14634146341,281,669,8.15853658537,
Dennis Rodman,DET,1991-1992, 6-7,PF,30,82,3301,40.256097561,342,635,.539,32,101,.317,84,140,.600,523,6.37804878049,1007,12.2804878049,1530,18.6585365854,191,2.32926829268,68,0.829268292683,70,0.853658536585,140,1.70731707317,248,800,9.75609756098,
Dennis Rodman,DET,1992-1993, 6-7,PF,31,62,2410,38.8709677419,183,429,.427,15,73,.205,87,163,.534,367,5.91935483871,765,12.3387096774,1132,18.2580645161,102,1.64516129032,48,0.774193548387,45,0.725806451613,103,1.66129032258,201,468,7.54838709677,
Dennis Rodman,SAS,1993-1994, 6-7,PF,32,79,2989,37.835443038,156,292,.534,5,24,.208,53,102,.520,453,5.73417721519,914,11.5696202532,1367,17.3037974684,184,2.32911392405,52,0.658227848101,32,0.405063291139,138,1.74683544304,229,370,4.6835443038,
Dennis Rodman,SAS,1994-1995, 6-7,PF,33,49,1568,32.0,137,240,.571,0,2,.000,75,111,.676,274,5.59183673469,549,11.2040816327,823,16.7959183673,97,1.97959183673,31,0.632653061224,23,0.469387755102,98,2.0,159,349,7.12244897959,
Dennis Rodman,CHI,1995-1996, 6-7,PF,34,64,2088,32.625,146,304,.480,3,27,.111,56,106,.528,356,5.5625,596,9.3125,952,14.875,160,2.5,36,0.5625,27,0.421875,138,2.15625,196,351,5.484375,
Dennis Rodman,CHI,1996-1997, 6-7,PF,35,55,1947,35.4,128,286,.448,5,19,.263,50,88,.568,320,5.81818181818,563,10.2363636364,883,16.0545454545,170,3.09090909091,32,0.581818181818,19,0.345454545455,111,2.01818181818,172,311,5.65454545455,
Dennis Rodman,CHI,1997-1998, 6-7,PF,36,80,2856,35.7,155,360,.431,4,23,.174,61,111,.550,421,5.2625,780,9.75,1201,15.0125,230,2.875,47,0.5875,18,0.225,147,1.8375,238,375,4.6875,
Dennis Rodman,LAL,1998-1999, 6-7,PF,37,23,657,28.5652173913,16,46,.348,0,2,.000,17,39,.436,62,2.69565217391,196,8.52173913043,258,11.2173913043,30,1.30434782609,10,0.434782608696,12,0.521739130435,31,1.34782608696,71,49,2.13043478261,
Dennis Rodman,DAL,1999-2000, 6-7,PF,38,12,389,32.4166666667,12,31,.387,0,1,.000,10,14,.714,48,4.0,123,10.25,171,14.25,14,1.16666666667,2,0.166666666667,1,0.0833333333333,19,1.58333333333,41,34,2.83333333333,
