Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Derek Harper,DAL,1983-1984, 6-4,PG,22,82,1712,20.8780487805,200,451,.443,3,26,.115,66,98,.673,53,0.646341463415,119,1.4512195122,172,2.09756097561,239,2.91463414634,95,1.15853658537,21,0.256097560976,111,1.35365853659,143,469,5.71951219512,
Derek Harper,DAL,1984-1985, 6-4,PG,23,82,2218,27.0487804878,329,633,.520,21,61,.344,111,154,.721,47,0.573170731707,152,1.85365853659,199,2.42682926829,360,4.39024390244,144,1.75609756098,37,0.451219512195,123,1.5,194,790,9.63414634146,
Derek Harper,DAL,1985-1986, 6-4,PG,24,79,2150,27.2151898734,390,730,.534,12,51,.235,171,229,.747,75,0.949367088608,151,1.91139240506,226,2.86075949367,416,5.26582278481,153,1.93670886076,23,0.291139240506,144,1.82278481013,166,963,12.1898734177,
Derek Harper,DAL,1986-1987, 6-4,PG,25,77,2556,33.1948051948,497,993,.501,76,212,.358,160,234,.684,51,0.662337662338,148,1.92207792208,199,2.58441558442,609,7.90909090909,167,2.16883116883,25,0.324675324675,138,1.79220779221,195,1230,15.974025974,
Derek Harper,DAL,1987-1988, 6-4,PG,26,82,3032,36.9756097561,536,1167,.459,60,192,.313,261,344,.759,71,0.865853658537,175,2.13414634146,246,3.0,634,7.73170731707,168,2.0487804878,35,0.426829268293,190,2.31707317073,164,1393,16.987804878,
Derek Harper,DAL,1988-1989, 6-4,PG,27,81,2968,36.6419753086,538,1127,.477,99,278,.356,229,284,.806,46,0.567901234568,182,2.24691358025,228,2.81481481481,570,7.03703703704,172,2.12345679012,41,0.506172839506,205,2.53086419753,219,1404,17.3333333333,
Derek Harper,DAL,1989-1990, 6-4,PG,28,82,3007,36.6707317073,567,1161,.488,89,240,.371,250,315,.794,54,0.658536585366,190,2.31707317073,244,2.9756097561,609,7.42682926829,187,2.28048780488,26,0.317073170732,207,2.5243902439,224,1473,17.9634146341,
Derek Harper,DAL,1990-1991, 6-4,PG,29,77,2879,37.3896103896,572,1226,.467,89,246,.362,286,391,.731,59,0.766233766234,174,2.25974025974,233,3.02597402597,548,7.11688311688,147,1.90909090909,14,0.181818181818,177,2.2987012987,222,1519,19.7272727273,
Derek Harper,DAL,1991-1992, 6-4,PG,30,65,2252,34.6461538462,448,1011,.443,58,186,.312,198,261,.759,49,0.753846153846,121,1.86153846154,170,2.61538461538,373,5.73846153846,101,1.55384615385,17,0.261538461538,154,2.36923076923,150,1152,17.7230769231,
Derek Harper,DAL,1992-1993, 6-4,SG,31,62,2108,34.0,393,939,.419,101,257,.393,239,316,.756,42,0.677419354839,81,1.3064516129,123,1.98387096774,334,5.38709677419,80,1.29032258065,16,0.258064516129,136,2.1935483871,145,1126,18.1612903226,
Derek Harper,TOT,1993-1994, 6-4,PG,32,82,2204,26.8780487805,303,744,.407,73,203,.360,112,163,.687,20,0.243902439024,121,1.4756097561,141,1.71951219512,334,4.07317073171,125,1.5243902439,8,0.0975609756098,135,1.64634146341,163,791,9.64634146341,
Derek Harper,DAL,1993-1994, 6-4,PG,32,28,893,31.8928571429,130,342,.380,37,105,.352,28,50,.560,10,0.357142857143,45,1.60714285714,55,1.96428571429,98,3.5,45,1.60714285714,4,0.142857142857,54,1.92857142857,46,325,11.6071428571,
Derek Harper,NYK,1993-1994, 6-4,PG,32,54,1311,24.2777777778,173,402,.430,36,98,.367,84,113,.743,10,0.185185185185,76,1.40740740741,86,1.59259259259,236,4.37037037037,80,1.48148148148,4,0.0740740740741,81,1.5,117,466,8.62962962963,
Derek Harper,NYK,1994-1995, 6-4,PG,33,80,2716,33.95,337,756,.446,106,292,.363,139,192,.724,31,0.3875,163,2.0375,194,2.425,458,5.725,79,0.9875,10,0.125,151,1.8875,219,919,11.4875,
Derek Harper,NYK,1995-1996, 6-4,PG,34,82,2893,35.2804878049,436,939,.464,121,325,.372,156,206,.757,32,0.390243902439,170,2.07317073171,202,2.46341463415,352,4.29268292683,131,1.59756097561,5,0.0609756097561,178,2.17073170732,201,1149,14.012195122,
Derek Harper,DAL,1996-1997, 6-4,PG,35,75,2210,29.4666666667,299,674,.444,60,176,.341,95,128,.742,30,0.4,107,1.42666666667,137,1.82666666667,321,4.28,92,1.22666666667,12,0.16,132,1.76,144,753,10.04,
Derek Harper,ORL,1997-1998, 6-4,SG,36,66,1761,26.6818181818,226,542,.417,59,164,.360,55,79,.696,23,0.348484848485,80,1.21212121212,103,1.56060606061,233,3.5303030303,72,1.09090909091,10,0.151515151515,101,1.5303030303,140,566,8.57575757576,
Derek Harper,LAL,1998-1999, 6-4,PG,37,45,1120,24.8888888889,120,291,.412,43,117,.368,26,32,.813,13,0.288888888889,54,1.2,67,1.48888888889,187,4.15555555556,44,0.977777777778,4,0.0888888888889,52,1.15555555556,66,309,6.86666666667,
