Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Derrick Coleman,NJN,1990-1991, 6-10,PF,23,74,2602,35.1621621622,514,1100,.467,13,38,.342,323,442,.731,269,3.63513513514,490,6.62162162162,759,10.2567567568,163,2.2027027027,71,0.959459459459,99,1.33783783784,217,2.93243243243,217,1364,18.4324324324,
Derrick Coleman,NJN,1991-1992, 6-10,PF,24,65,2207,33.9538461538,483,958,.504,23,76,.303,300,393,.763,203,3.12307692308,415,6.38461538462,618,9.50769230769,205,3.15384615385,54,0.830769230769,98,1.50769230769,248,3.81538461538,168,1289,19.8307692308,
Derrick Coleman,NJN,1992-1993, 6-10,PF,25,76,2759,36.3026315789,564,1226,.460,23,99,.232,421,521,.808,247,3.25,605,7.96052631579,852,11.2105263158,276,3.63157894737,92,1.21052631579,126,1.65789473684,243,3.19736842105,210,1572,20.6842105263,
Derrick Coleman,NJN,1993-1994, 6-10,PF,26,77,2778,36.0779220779,541,1209,.447,38,121,.314,439,567,.774,262,3.4025974026,608,7.8961038961,870,11.2987012987,262,3.4025974026,68,0.883116883117,142,1.84415584416,208,2.7012987013,209,1559,20.2467532468,
Derrick Coleman,NJN,1994-1995, 6-10,PF,27,56,2103,37.5535714286,371,875,.424,28,120,.233,376,490,.767,167,2.98214285714,424,7.57142857143,591,10.5535714286,187,3.33928571429,35,0.625,94,1.67857142857,172,3.07142857143,162,1146,20.4642857143,
Derrick Coleman,PHI,1995-1996, 6-10,PF,28,11,294,26.7272727273,48,118,.407,7,21,.333,20,32,.625,13,1.18181818182,59,5.36363636364,72,6.54545454545,31,2.81818181818,4,0.363636363636,10,0.909090909091,28,2.54545454545,30,123,11.1818181818,
Derrick Coleman,PHI,1996-1997, 6-10,PF,29,57,2102,36.8771929825,364,836,.435,32,119,.269,272,365,.745,157,2.75438596491,416,7.29824561404,573,10.0526315789,193,3.38596491228,50,0.877192982456,75,1.31578947368,184,3.22807017544,164,1032,18.1052631579,
Derrick Coleman,PHI,1997-1998, 6-10,PF,30,59,2135,36.186440678,356,867,.411,26,98,.265,302,391,.772,149,2.52542372881,438,7.42372881356,587,9.94915254237,145,2.45762711864,46,0.779661016949,68,1.15254237288,157,2.66101694915,144,1040,17.6271186441,
Derrick Coleman,CHH,1998-1999, 6-10,PF,31,37,1178,31.8378378378,168,406,.414,7,33,.212,143,190,.753,76,2.05405405405,252,6.81081081081,328,8.86486486486,78,2.10810810811,24,0.648648648649,42,1.13513513514,90,2.43243243243,96,486,13.1351351351,
Derrick Coleman,CHH,1999-2000, 6-10,PF,32,74,2347,31.7162162162,446,979,.456,51,141,.362,296,377,.785,124,1.67567567568,508,6.86486486486,632,8.54054054054,175,2.36486486486,34,0.459459459459,130,1.75675675676,173,2.33783783784,195,1239,16.7432432432,
Derrick Coleman,CHH,2000-2001, 6-10,PF,33,34,683,20.0882352941,97,255,.380,20,51,.392,63,92,.685,46,1.35294117647,138,4.05882352941,184,5.41176470588,39,1.14705882353,10,0.294117647059,21,0.617647058824,42,1.23529411765,53,277,8.14705882353,
Derrick Coleman,PHI,2001-2002, 6-10,PF,34,58,2080,35.8620689655,331,735,.450,28,83,.337,185,227,.815,167,2.87931034483,342,5.89655172414,509,8.77586206897,98,1.68965517241,42,0.724137931034,51,0.879310344828,119,2.05172413793,158,875,15.0862068966,
Derrick Coleman,PHI,2002-2003, 6-10,C,35,64,1742,27.21875,223,498,.448,22,67,.328,134,171,.784,151,2.359375,299,4.671875,450,7.03125,87,1.359375,53,0.828125,69,1.078125,96,1.5,171,602,9.40625,
Derrick Coleman,PHI,2003-2004, 6-10,C,36,34,843,24.7941176471,107,259,.413,8,36,.222,49,65,.754,45,1.32352941176,147,4.32352941176,192,5.64705882353,46,1.35294117647,23,0.676470588235,26,0.764705882353,57,1.67647058824,79,271,7.97058823529,
Derrick Coleman,DET,2004-2005, 6-10,C,37,5,50,10.0,3,14,.214,0,2,.000,3,3,1.000,3,0.6,12,2.4,15,3.0,0,0.0,0,0.0,0,0.0,2,0.4,6,9,1.8,
