Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Detlef Schrempf,DAL,1985-1986, 6-9,SF,23,64,969,15.140625,142,315,.451,3,7,.429,110,152,.724,70,1.09375,128,2.0,198,3.09375,88,1.375,23,0.359375,10,0.15625,84,1.3125,166,397,6.203125,
Detlef Schrempf,DAL,1986-1987, 6-9,SF,24,81,1711,21.1234567901,265,561,.472,33,69,.478,193,260,.742,87,1.07407407407,216,2.66666666667,303,3.74074074074,161,1.98765432099,50,0.617283950617,16,0.197530864198,110,1.35802469136,224,756,9.33333333333,
Detlef Schrempf,DAL,1987-1988, 6-9,SF,25,82,1587,19.3536585366,246,539,.456,5,32,.156,201,266,.756,102,1.24390243902,177,2.15853658537,279,3.40243902439,159,1.93902439024,42,0.512195121951,32,0.390243902439,108,1.31707317073,189,698,8.51219512195,
Detlef Schrempf,TOT,1988-1989, 6-9,PF,26,69,1850,26.8115942029,274,578,.474,7,35,.200,273,350,.780,126,1.82608695652,269,3.89855072464,395,5.72463768116,179,2.59420289855,53,0.768115942029,19,0.275362318841,133,1.92753623188,220,828,12.0,
Detlef Schrempf,DAL,1988-1989, 6-9,PF,26,37,845,22.8378378378,112,263,.426,2,16,.125,127,161,.789,56,1.51351351351,110,2.97297297297,166,4.48648648649,86,2.32432432432,24,0.648648648649,9,0.243243243243,56,1.51351351351,118,353,9.54054054054,
Detlef Schrempf,IND,1988-1989, 6-9,PF,26,32,1005,31.40625,162,315,.514,5,19,.263,146,189,.772,70,2.1875,159,4.96875,229,7.15625,93,2.90625,29,0.90625,10,0.3125,77,2.40625,102,475,14.84375,
Detlef Schrempf,IND,1989-1990, 6-9,PF,27,78,2573,32.9871794872,424,822,.516,17,48,.354,402,490,.820,149,1.91025641026,471,6.03846153846,620,7.94871794872,247,3.16666666667,59,0.75641025641,16,0.205128205128,180,2.30769230769,271,1267,16.2435897436,
Detlef Schrempf,IND,1990-1991, 6-9,PF,28,82,2632,32.0975609756,432,831,.520,15,40,.375,441,539,.818,178,2.17073170732,482,5.87804878049,660,8.0487804878,301,3.67073170732,58,0.707317073171,22,0.268292682927,175,2.13414634146,262,1320,16.0975609756,
Detlef Schrempf,IND,1991-1992, 6-9,PF,29,80,2605,32.5625,496,925,.536,23,71,.324,365,441,.828,202,2.525,568,7.1,770,9.625,312,3.9,62,0.775,37,0.4625,191,2.3875,286,1380,17.25,
Detlef Schrempf,IND,1992-1993, 6-9,PF,30,82,3098,37.7804878049,517,1085,.476,8,52,.154,525,653,.804,210,2.56097560976,570,6.9512195122,780,9.51219512195,493,6.01219512195,79,0.963414634146,27,0.329268292683,243,2.96341463415,305,1567,19.1097560976,
Detlef Schrempf,SEA,1993-1994, 6-9,SF,31,81,2728,33.6790123457,445,903,.493,22,68,.324,300,390,.769,144,1.77777777778,310,3.82716049383,454,5.6049382716,275,3.3950617284,73,0.901234567901,9,0.111111111111,173,2.13580246914,273,1212,14.962962963,
Detlef Schrempf,SEA,1994-1995, 6-9,SF,32,82,2886,35.1951219512,521,997,.523,93,181,.514,437,521,.839,135,1.64634146341,373,4.5487804878,508,6.19512195122,310,3.78048780488,93,1.13414634146,35,0.426829268293,176,2.14634146341,252,1572,19.1707317073,
Detlef Schrempf,SEA,1995-1996, 6-9,SF,33,63,2200,34.9206349206,360,740,.486,73,179,.408,287,370,.776,73,1.15873015873,255,4.04761904762,328,5.20634920635,276,4.38095238095,56,0.888888888889,8,0.126984126984,146,2.31746031746,179,1080,17.1428571429,
Detlef Schrempf,SEA,1996-1997, 6-9,SF,34,61,2192,35.9344262295,356,724,.492,57,161,.354,253,316,.801,87,1.4262295082,307,5.03278688525,394,6.45901639344,266,4.3606557377,63,1.03278688525,16,0.262295081967,150,2.45901639344,151,1022,16.7540983607,
Detlef Schrempf,SEA,1997-1998, 6-9,SF,35,78,2742,35.1538461538,437,898,.487,61,147,.415,297,352,.844,135,1.73076923077,419,5.37179487179,554,7.10256410256,341,4.37179487179,60,0.769230769231,19,0.24358974359,168,2.15384615385,205,1232,15.7948717949,
Detlef Schrempf,SEA,1998-1999, 6-9,SF,36,50,1765,35.3,259,549,.472,34,86,.395,200,243,.823,77,1.54,293,5.86,370,7.4,184,3.68,41,0.82,26,0.52,103,2.06,152,752,15.04,
Detlef Schrempf,POR,1999-2000, 6-9,SF,37,77,1662,21.5844155844,187,433,.432,21,52,.404,179,215,.833,79,1.02597402597,253,3.28571428571,332,4.31168831169,197,2.55844155844,37,0.480519480519,17,0.220779220779,100,1.2987012987,182,574,7.45454545455,
Detlef Schrempf,POR,2000-2001, 6-9,SF,38,26,397,15.2692307692,39,95,.411,3,8,.375,23,27,.852,17,0.653846153846,61,2.34615384615,78,3.0,44,1.69230769231,7,0.269230769231,3,0.115384615385,28,1.07692307692,43,104,4.0,
