Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Doc Rivers,ATL,1983-1984, 6-4,PG,22,81,1938,23.9259259259,250,541,.462,2,12,.167,255,325,.785,72,0.888888888889,148,1.82716049383,220,2.71604938272,314,3.87654320988,127,1.56790123457,30,0.37037037037,174,2.14814814815,286,757,9.34567901235,
Doc Rivers,ATL,1984-1985, 6-4,PG,23,69,2126,30.8115942029,334,701,.476,15,36,.417,291,378,.770,66,0.95652173913,148,2.14492753623,214,3.10144927536,410,5.94202898551,163,2.36231884058,53,0.768115942029,176,2.55072463768,250,974,14.115942029,
Doc Rivers,ATL,1985-1986, 6-4,PG,24,53,1571,29.641509434,220,464,.474,0,16,.000,172,283,.608,49,0.924528301887,113,2.1320754717,162,3.05660377358,443,8.35849056604,120,2.2641509434,13,0.245283018868,141,2.66037735849,185,612,11.5471698113,
Doc Rivers,ATL,1986-1987, 6-4,PG,25,82,2590,31.5853658537,342,758,.451,4,21,.190,365,441,.828,83,1.01219512195,216,2.63414634146,299,3.64634146341,823,10.0365853659,171,2.08536585366,30,0.365853658537,217,2.64634146341,287,1053,12.8414634146,
Doc Rivers,ATL,1987-1988, 6-4,PG,26,80,2502,31.275,403,890,.453,9,33,.273,319,421,.758,83,1.0375,283,3.5375,366,4.575,747,9.3375,140,1.75,41,0.5125,210,2.625,272,1134,14.175,
Doc Rivers,ATL,1988-1989, 6-4,PG,27,76,2462,32.3947368421,371,816,.455,43,124,.347,247,287,.861,89,1.17105263158,197,2.59210526316,286,3.76315789474,525,6.90789473684,181,2.38157894737,40,0.526315789474,158,2.07894736842,263,1032,13.5789473684,
Doc Rivers,ATL,1989-1990, 6-4,PG,28,48,1526,31.7916666667,218,480,.454,24,66,.364,138,170,.812,47,0.979166666667,153,3.1875,200,4.16666666667,264,5.5,116,2.41666666667,22,0.458333333333,98,2.04166666667,151,598,12.4583333333,
Doc Rivers,ATL,1990-1991, 6-4,PG,29,79,2586,32.7341772152,444,1020,.435,88,262,.336,221,262,.844,47,0.594936708861,206,2.60759493671,253,3.20253164557,340,4.30379746835,148,1.87341772152,47,0.594936708861,125,1.58227848101,216,1197,15.1518987342,
Doc Rivers,LAC,1991-1992, 6-4,PG,30,59,1657,28.0847457627,226,533,.424,26,92,.283,163,196,.832,23,0.389830508475,124,2.10169491525,147,2.49152542373,233,3.94915254237,111,1.8813559322,19,0.322033898305,92,1.5593220339,166,641,10.8644067797,
Doc Rivers,NYK,1992-1993, 6-4,PG,31,77,1886,24.4935064935,216,494,.437,39,123,.317,133,162,.821,26,0.337662337662,166,2.15584415584,192,2.49350649351,405,5.25974025974,123,1.5974025974,9,0.116883116883,114,1.48051948052,215,604,7.84415584416,
Doc Rivers,NYK,1993-1994, 6-4,PG,32,19,499,26.2631578947,55,127,.433,19,52,.365,14,22,.636,4,0.210526315789,35,1.84210526316,39,2.05263157895,100,5.26315789474,25,1.31578947368,5,0.263157894737,29,1.52631578947,44,143,7.52631578947,
Doc Rivers,TOT,1994-1995, 6-4,PG,33,63,989,15.6984126984,108,302,.358,45,127,.354,60,82,.732,15,0.238095238095,94,1.49206349206,109,1.73015873016,162,2.57142857143,65,1.03174603175,21,0.333333333333,60,0.952380952381,150,321,5.09523809524,
Doc Rivers,NYK,1994-1995, 6-4,PG,33,3,47,15.6666666667,4,13,.308,3,5,.600,8,11,.727,2,0.666666666667,7,2.33333333333,9,3.0,8,2.66666666667,4,1.33333333333,0,0.0,4,1.33333333333,8,19,6.33333333333,
Doc Rivers,SAS,1994-1995, 6-4,PG,33,60,942,15.7,104,289,.360,42,122,.344,52,71,.732,13,0.216666666667,87,1.45,100,1.66666666667,154,2.56666666667,61,1.01666666667,21,0.35,56,0.933333333333,142,302,5.03333333333,
Doc Rivers,SAS,1995-1996, 6-4,PG,34,78,1235,15.8333333333,108,290,.372,47,137,.343,48,64,.750,30,0.384615384615,108,1.38461538462,138,1.76923076923,123,1.57692307692,73,0.935897435897,21,0.269230769231,57,0.730769230769,175,311,3.98717948718,
