Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Don Ohl,DET,1960-1961, 6-3,SG,24,79,2173,27.5063291139,427,1085,.394,.000,.000,.000,200,278,.719,.000,0.0,.000,0.0,256,3.24050632911,265,3.35443037975,.000,0.0,.000,0.0,.000,0.0,224,1054,13.3417721519,
Don Ohl,DET,1961-1962, 6-3,SG,25,77,2526,32.8051948052,555,1250,.444,.000,.000,.000,201,280,.718,.000,0.0,.000,0.0,267,3.46753246753,244,3.16883116883,.000,0.0,.000,0.0,.000,0.0,173,1311,17.025974026,
Don Ohl,DET,1962-1963, 6-3,SG,26,80,2961,37.0125,636,1450,.439,.000,.000,.000,275,380,.724,.000,0.0,.000,0.0,239,2.9875,325,4.0625,.000,0.0,.000,0.0,.000,0.0,234,1547,19.3375,
Don Ohl,DET,1963-1964, 6-3,SG,27,71,2366,33.323943662,500,1224,.408,.000,.000,.000,225,331,.680,.000,0.0,.000,0.0,180,2.53521126761,225,3.16901408451,.000,0.0,.000,0.0,.000,0.0,219,1225,17.2535211268,
Don Ohl,BAL,1964-1965, 6-3,SG,28,77,2821,36.6363636364,568,1297,.438,.000,.000,.000,284,388,.732,.000,0.0,.000,0.0,336,4.36363636364,250,3.24675324675,.000,0.0,.000,0.0,.000,0.0,274,1420,18.4415584416,
Don Ohl,BAL,1965-1966, 6-3,PG,29,73,2645,36.2328767123,593,1334,.445,.000,.000,.000,316,430,.735,.000,0.0,.000,0.0,280,3.83561643836,290,3.97260273973,.000,0.0,.000,0.0,.000,0.0,208,1502,20.5753424658,
Don Ohl,BAL,1966-1967, 6-3,SG,30,58,2024,34.8965517241,452,1002,.451,.000,.000,.000,276,354,.780,.000,0.0,.000,0.0,189,3.25862068966,168,2.89655172414,.000,0.0,.000,0.0,.000,0.0,153,1180,20.3448275862,
Don Ohl,TOT,1967-1968, 6-3,PG,31,70,1919,27.4142857143,393,891,.441,.000,.000,.000,197,254,.776,.000,0.0,.000,0.0,175,2.5,157,2.24285714286,.000,0.0,.000,0.0,.000,0.0,184,983,14.0428571429,
Don Ohl,BAL,1967-1968, 6-3,PG,31,39,1096,28.1025641026,232,536,.433,.000,.000,.000,114,148,.770,.000,0.0,.000,0.0,113,2.89743589744,84,2.15384615385,.000,0.0,.000,0.0,.000,0.0,91,578,14.8205128205,
Don Ohl,STL,1967-1968, 6-3,PG,31,31,823,26.5483870968,161,355,.454,.000,.000,.000,83,106,.783,.000,0.0,.000,0.0,62,2.0,73,2.35483870968,.000,0.0,.000,0.0,.000,0.0,93,405,13.064516129,
Don Ohl,ATL,1968-1969, 6-3,SG,32,76,1995,26.25,385,901,.427,.000,.000,.000,147,208,.707,.000,0.0,.000,0.0,170,2.23684210526,221,2.90789473684,.000,0.0,.000,0.0,.000,0.0,232,917,12.0657894737,
Don Ohl,ATL,1969-1970, 6-3,SG,33,66,984,14.9090909091,176,372,.473,.000,.000,.000,58,72,.806,.000,0.0,.000,0.0,71,1.07575757576,98,1.48484848485,.000,0.0,.000,0.0,.000,0.0,113,410,6.21212121212,
