Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Donald Royal,MIN,1989-1990, 6-8,SF,23,66,746,11.303030303,117,255,.459,0,1,.000,153,197,.777,69,1.04545454545,68,1.0303030303,137,2.07575757576,43,0.651515151515,32,0.484848484848,8,0.121212121212,81,1.22727272727,107,387,5.86363636364,
Donald Royal,SAS,1991-1992, 6-8,SF,25,60,718,11.9666666667,80,178,.449,0,0,.000,92,133,.692,65,1.08333333333,59,0.983333333333,124,2.06666666667,34,0.566666666667,25,0.416666666667,7,0.116666666667,39,0.65,73,252,4.2,
Donald Royal,ORL,1992-1993, 6-8,SF,26,77,1636,21.2467532468,194,391,.496,0,3,.000,318,390,.815,116,1.50649350649,179,2.32467532468,295,3.83116883117,80,1.03896103896,36,0.467532467532,25,0.324675324675,113,1.46753246753,179,706,9.16883116883,
Donald Royal,ORL,1993-1994, 6-8,SF,27,74,1357,18.3378378378,174,347,.501,0,2,.000,199,269,.740,94,1.27027027027,154,2.08108108108,248,3.35135135135,61,0.824324324324,50,0.675675675676,16,0.216216216216,76,1.02702702703,121,547,7.39189189189,
Donald Royal,ORL,1994-1995, 6-8,SF,28,70,1841,26.3,206,434,.475,0,4,.000,223,299,.746,83,1.18571428571,196,2.8,279,3.98571428571,198,2.82857142857,45,0.642857142857,16,0.228571428571,125,1.78571428571,156,635,9.07142857143,
Donald Royal,ORL,1995-1996, 6-8,SF,29,64,963,15.046875,106,216,.491,0,2,.000,125,164,.762,57,0.890625,96,1.5,153,2.390625,42,0.65625,29,0.453125,15,0.234375,52,0.8125,97,337,5.265625,
Donald Royal,TOT,1996-1997, 6-8,SF,30,62,858,13.8387096774,62,146,.425,0,2,.000,94,117,.803,52,0.838709677419,102,1.64516129032,154,2.48387096774,25,0.403225806452,23,0.370967741935,11,0.177419354839,47,0.758064516129,100,218,3.51612903226,
Donald Royal,ORL,1996-1997, 6-8,SF,30,1,29,29.0,4,10,.400,0,0,.000,4,4,1.000,1,1.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,3,3.0,3,12,12.0,
Donald Royal,GSW,1996-1997, 6-8,SF,30,36,509,14.1388888889,37,96,.385,0,2,.000,62,78,.795,33,0.916666666667,62,1.72222222222,95,2.63888888889,14,0.388888888889,11,0.305555555556,9,0.25,22,0.611111111111,55,136,3.77777777778,
Donald Royal,CHH,1996-1997, 6-8,SF,30,25,320,12.8,21,40,.525,0,0,.000,28,35,.800,18,0.72,40,1.6,58,2.32,10,0.4,12,0.48,2,0.08,22,0.88,42,70,2.8,
Donald Royal,TOT,1997-1998, 6-8,SF,31,31,323,10.4193548387,25,69,.362,0,0,.000,29,33,.879,18,0.58064516129,23,0.741935483871,41,1.32258064516,17,0.548387096774,7,0.225806451613,1,0.0322580645161,10,0.322580645161,35,79,2.54838709677,
Donald Royal,ORL,1997-1998, 6-8,SF,31,2,18,9.0,1,6,.167,0,0,.000,3,4,.750,2,1.0,2,1.0,4,2.0,1,0.5,1,0.5,0,0.0,3,1.5,5,5,2.5,
Donald Royal,CHH,1997-1998, 6-8,SF,31,29,305,10.5172413793,24,63,.381,0,0,.000,26,29,.897,16,0.551724137931,21,0.724137931034,37,1.27586206897,16,0.551724137931,6,0.206896551724,1,0.0344827586207,7,0.241379310345,30,74,2.55172413793,
