Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Duane Ferrell,ATL,1988-1989, 6-7,SF,23,41,231,5.63414634146,35,83,.422,0,0,.000,30,44,.682,19,0.463414634146,22,0.536585365854,41,1.0,10,0.243902439024,7,0.170731707317,6,0.146341463415,12,0.292682926829,33,100,2.43902439024,
Duane Ferrell,ATL,1989-1990, 6-7,SF,24,14,29,2.07142857143,5,14,.357,0,1,.000,2,6,.333,3,0.214285714286,4,0.285714285714,7,0.5,2,0.142857142857,1,0.0714285714286,0,0.0,2,0.142857142857,3,12,0.857142857143,
Duane Ferrell,ATL,1990-1991, 6-7,SF,25,78,1165,14.9358974359,174,356,.489,2,3,.667,125,156,.801,97,1.24358974359,82,1.05128205128,179,2.29487179487,55,0.705128205128,33,0.423076923077,27,0.346153846154,78,1.0,151,475,6.08974358974,
Duane Ferrell,ATL,1991-1992, 6-7,SF,26,66,1598,24.2121212121,331,632,.524,11,33,.333,166,218,.761,105,1.59090909091,105,1.59090909091,210,3.18181818182,92,1.39393939394,49,0.742424242424,17,0.257575757576,99,1.5,134,839,12.7121212121,
Duane Ferrell,ATL,1992-1993, 6-7,SF,27,82,1736,21.1707317073,327,696,.470,9,36,.250,176,226,.779,97,1.18292682927,94,1.14634146341,191,2.32926829268,132,1.60975609756,59,0.719512195122,17,0.207317073171,103,1.25609756098,160,839,10.2317073171,
Duane Ferrell,ATL,1993-1994, 6-7,SF,28,72,1155,16.0416666667,184,379,.485,1,9,.111,144,184,.783,62,0.861111111111,67,0.930555555556,129,1.79166666667,65,0.902777777778,44,0.611111111111,16,0.222222222222,64,0.888888888889,85,513,7.125,
Duane Ferrell,IND,1994-1995, 6-7,SF,29,56,607,10.8392857143,83,173,.480,1,6,.167,64,85,.753,50,0.892857142857,38,0.678571428571,88,1.57142857143,31,0.553571428571,26,0.464285714286,6,0.107142857143,43,0.767857142857,79,231,4.125,
Duane Ferrell,IND,1995-1996, 6-7,SF,30,54,591,10.9444444444,80,166,.482,0,8,.000,42,57,.737,32,0.592592592593,61,1.12962962963,93,1.72222222222,30,0.555555555556,23,0.425925925926,3,0.0555555555556,34,0.62962962963,83,202,3.74074074074,
Duane Ferrell,IND,1996-1997, 6-7,SF,31,62,1115,17.9838709677,159,337,.472,18,44,.409,58,94,.617,57,0.91935483871,84,1.35483870968,141,2.27419354839,66,1.06451612903,38,0.612903225806,6,0.0967741935484,55,0.887096774194,120,394,6.35483870968,
Duane Ferrell,GSW,1997-1998, 6-7,SF,32,50,461,9.22,41,111,.369,0,6,.000,12,22,.545,25,0.5,22,0.44,47,0.94,26,0.52,21,0.42,6,0.12,18,0.36,50,94,1.88,
Duane Ferrell,GSW,1998-1999, 6-7,SF,33,8,46,5.75,1,14,.071,0,0,.000,3,4,.750,5,0.625,1,0.125,6,0.75,0,0.0,1,0.125,1,0.125,1,0.125,4,5,0.625,
