Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dudley Bradley,IND,1979-1980, 6-6,SG,22,82,2027,24.7195121951,275,609,.452,2,5,.400,136,174,.782,69,0.841463414634,154,1.87804878049,223,2.71951219512,252,3.07317073171,211,2.57317073171,48,0.585365853659,166,2.0243902439,194,688,8.39024390244,
Dudley Bradley,IND,1980-1981, 6-6,SG,23,82,1867,22.7682926829,265,559,.474,2,16,.125,125,178,.702,70,0.853658536585,123,1.5,193,2.35365853659,188,2.29268292683,186,2.26829268293,37,0.451219512195,122,1.48780487805,236,657,8.01219512195,
Dudley Bradley,PHO,1981-1982, 6-6,SG,24,64,937,14.640625,125,281,.445,1,4,.250,74,100,.740,30,0.46875,57,0.890625,87,1.359375,80,1.25,78,1.21875,10,0.15625,71,1.109375,115,325,5.078125,
Dudley Bradley,CHI,1982-1983, 6-6,SG,25,58,683,11.775862069,82,159,.516,1,5,.200,36,45,.800,27,0.465517241379,78,1.34482758621,105,1.81034482759,106,1.8275862069,49,0.844827586207,10,0.172413793103,59,1.01724137931,91,201,3.46551724138,
Dudley Bradley,WSB,1984-1985, 6-6,SG,27,73,1232,16.8767123288,142,299,.475,20,64,.313,54,79,.684,34,0.465753424658,100,1.3698630137,134,1.83561643836,173,2.3698630137,96,1.31506849315,21,0.287671232877,84,1.15068493151,152,358,4.90410958904,
Dudley Bradley,WSB,1985-1986, 6-6,SG,28,70,842,12.0285714286,73,209,.349,17,68,.250,32,56,.571,24,0.342857142857,71,1.01428571429,95,1.35714285714,107,1.52857142857,85,1.21428571429,3,0.0428571428571,44,0.628571428571,101,195,2.78571428571,
Dudley Bradley,MIL,1986-1987, 6-6,SG,29,68,900,13.2352941176,76,213,.357,13,50,.260,47,58,.810,31,0.455882352941,71,1.04411764706,102,1.5,66,0.970588235294,105,1.54411764706,8,0.117647058824,34,0.5,118,212,3.11764705882,
Dudley Bradley,TOT,1987-1988, 6-6,SG,30,65,1437,22.1076923077,156,365,.427,37,102,.363,74,97,.763,25,0.384615384615,102,1.56923076923,127,1.95384615385,151,2.32307692308,114,1.75384615385,43,0.661538461538,88,1.35384615385,172,423,6.50769230769,
Dudley Bradley,MIL,1987-1988, 6-6,SG,30,2,5,2.5,0,1,.000,0,1,.000,0,0,.000,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,2,0,0.0,
Dudley Bradley,NJN,1987-1988, 6-6,SG,30,63,1432,22.7301587302,156,364,.429,37,101,.366,74,97,.763,25,0.396825396825,101,1.60317460317,126,2.0,150,2.38095238095,114,1.80952380952,43,0.68253968254,88,1.39682539683,170,423,6.71428571429,
Dudley Bradley,ATL,1988-1989, 6-6,SG,31,38,267,7.02631578947,28,86,.326,8,31,.258,8,16,.500,7,0.184210526316,25,0.657894736842,32,0.842105263158,24,0.631578947368,16,0.421052631579,2,0.0526315789474,14,0.368421052632,41,72,1.89473684211,
