Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dwight Jones,ATL,1973-1974, 6-10,PF,21,74,1448,19.5675675676,238,502,.474,.000,.000,.000,116,156,.744,145,1.95945945946,309,4.17567567568,454,6.13513513514,86,1.16216216216,29,0.391891891892,64,0.864864864865,.000,0.0,197,592,8.0,
Dwight Jones,ATL,1974-1975, 6-10,C,22,75,2086,27.8133333333,323,752,.430,.000,.000,.000,132,183,.721,236,3.14666666667,461,6.14666666667,697,9.29333333333,152,2.02666666667,51,0.68,51,0.68,.000,0.0,226,778,10.3733333333,
Dwight Jones,ATL,1975-1976, 6-10,C,23,66,1762,26.696969697,251,542,.463,.000,.000,.000,163,219,.744,171,2.59090909091,353,5.34848484848,524,7.93939393939,83,1.25757575758,52,0.787878787879,61,0.924242424242,.000,0.0,214,665,10.0757575758,
Dwight Jones,HOU,1976-1977, 6-10,PF,24,74,1239,16.7432432432,167,338,.494,.000,.000,.000,101,126,.802,98,1.32432432432,186,2.51351351351,284,3.83783783784,48,0.648648648649,38,0.513513513514,19,0.256756756757,.000,0.0,175,435,5.87837837838,
Dwight Jones,HOU,1977-1978, 6-10,PF,25,82,2476,30.1951219512,346,777,.445,.000,.000,.000,181,233,.777,215,2.62195121951,426,5.19512195122,641,7.81707317073,109,1.32926829268,77,0.939024390244,39,0.475609756098,165,2.01219512195,265,873,10.6463414634,
Dwight Jones,HOU,1978-1979, 6-10,C,26,81,1215,15.0,181,395,.458,.000,.000,.000,96,132,.727,110,1.35802469136,218,2.69135802469,328,4.04938271605,57,0.703703703704,34,0.41975308642,26,0.320987654321,102,1.25925925926,204,458,5.65432098765,
Dwight Jones,TOT,1979-1980, 6-10,PF,27,74,1448,19.5675675676,257,506,.508,0,0,.000,146,201,.726,114,1.54054054054,254,3.43243243243,368,4.97297297297,101,1.36486486486,28,0.378378378378,42,0.567567567568,122,1.64864864865,207,660,8.91891891892,
Dwight Jones,HOU,1979-1980, 6-10,PF,27,21,278,13.2380952381,50,119,.420,0,0,.000,27,36,.750,31,1.47619047619,41,1.95238095238,72,3.42857142857,11,0.52380952381,4,0.190476190476,5,0.238095238095,20,0.952380952381,48,127,6.04761904762,
Dwight Jones,CHI,1979-1980, 6-10,PF,27,53,1170,22.0754716981,207,387,.535,0,0,.000,119,165,.721,83,1.56603773585,213,4.01886792453,296,5.58490566038,90,1.69811320755,24,0.452830188679,37,0.698113207547,102,1.92452830189,159,533,10.0566037736,
Dwight Jones,CHI,1980-1981, 6-10,PF,28,81,1574,19.4320987654,245,507,.483,0,0,.000,125,161,.776,127,1.56790123457,274,3.38271604938,401,4.95061728395,99,1.22222222222,40,0.493827160494,36,0.444444444444,126,1.55555555556,200,615,7.59259259259,
Dwight Jones,CHI,1981-1982, 6-10,PF,29,78,2040,26.1538461538,303,572,.530,1,1,1.000,172,238,.723,156,2.0,351,4.5,507,6.5,114,1.46153846154,49,0.628205128205,36,0.461538461538,155,1.98717948718,217,779,9.98717948718,
Dwight Jones,TOT,1982-1983, 6-10,PF,30,81,1164,14.3703703704,148,325,.455,0,1,.000,79,123,.642,84,1.03703703704,225,2.77777777778,309,3.81481481481,62,0.765432098765,31,0.382716049383,23,0.283950617284,101,1.24691358025,172,375,4.62962962963,
Dwight Jones,CHI,1982-1983, 6-10,PF,30,49,673,13.7346938776,86,193,.446,0,0,.000,47,75,.627,56,1.14285714286,139,2.83673469388,195,3.97959183673,40,0.816326530612,18,0.367346938776,14,0.285714285714,66,1.34693877551,90,219,4.4693877551,
Dwight Jones,LAL,1982-1983, 6-10,PF,30,32,491,15.34375,62,132,.470,0,1,.000,32,48,.667,28,0.875,86,2.6875,114,3.5625,22,0.6875,13,0.40625,9,0.28125,35,1.09375,82,156,4.875,
