Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Earl Barron,MIA,2005-2006, 7-0,C,24,8,45,5.625,5,16,.313,0,0,.000,3,4,.750,2,0.25,8,1.0,10,1.25,0,0.0,0,0.0,0,0.0,5,0.625,10,13,1.625,
Earl Barron,MIA,2006-2007, 7-0,C,25,28,203,7.25,24,83,.289,0,1,.000,17,18,.944,19,0.678571428571,22,0.785714285714,41,1.46428571429,5,0.178571428571,6,0.214285714286,4,0.142857142857,11,0.392857142857,21,65,2.32142857143,
Earl Barron,MIA,2007-2008, 7-0,C,26,46,889,19.3260869565,132,327,.404,1,13,.077,61,87,.701,67,1.45652173913,131,2.84782608696,198,4.30434782609,29,0.630434782609,19,0.413043478261,8,0.173913043478,48,1.04347826087,114,326,7.08695652174,
Earl Barron,NYK,2009-2010, 7-0,C,28,7,232,33.1428571429,30,68,.441,0,0,.000,22,29,.759,31,4.42857142857,46,6.57142857143,77,11.0,8,1.14285714286,4,0.571428571429,4,0.571428571429,11,1.57142857143,24,82,11.7142857143,
Earl Barron,TOT,2010-2011, 7-0,C,29,21,305,14.5238095238,32,99,.323,0,0,.000,15,24,.625,32,1.52380952381,44,2.09523809524,76,3.61904761905,11,0.52380952381,8,0.380952380952,6,0.285714285714,16,0.761904761905,46,79,3.7619047619,
Earl Barron,PHO,2010-2011, 7-0,C,29,12,183,15.25,12,51,.235,0,0,.000,12,20,.600,16,1.33333333333,24,2.0,40,3.33333333333,4,0.333333333333,6,0.5,4,0.333333333333,11,0.916666666667,32,36,3.0,
Earl Barron,MIL,2010-2011, 7-0,C,29,7,85,12.1428571429,17,37,.459,0,0,.000,2,2,1.000,12,1.71428571429,10,1.42857142857,22,3.14285714286,4,0.571428571429,2,0.285714285714,2,0.285714285714,2,0.285714285714,10,36,5.14285714286,
Earl Barron,POR,2010-2011, 7-0,C,29,2,37,18.5,3,11,.273,0,0,.000,1,2,.500,4,2.0,10,5.0,14,7.0,3,1.5,0,0.0,0,0.0,3,1.5,4,7,3.5,
Earl Barron,GSW,2011-2012, 7-0,C,30,2,9,4.5,2,4,.500,0,0,.000,0,0,.000,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,5,4,2.0,
Earl Barron,WAS,2012-2013, 7-0,C,31,11,122,11.0909090909,13,37,.351,0,0,.000,2,5,.400,16,1.45454545455,27,2.45454545455,43,3.90909090909,3,0.272727272727,5,0.454545454545,5,0.454545454545,10,0.909090909091,23,28,2.54545454545,
