Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Earl Monroe,BAL,1967-1968, 6-3,SG,23,82,3012,36.7317073171,742,1637,.453,.000,.000,.000,507,649,.781,.000,0.0,.000,0.0,465,5.67073170732,349,4.25609756098,.000,0.0,.000,0.0,.000,0.0,282,1991,24.2804878049,
Earl Monroe,BAL,1968-1969, 6-3,SG,24,80,3075,38.4375,809,1837,.440,.000,.000,.000,447,582,.768,.000,0.0,.000,0.0,280,3.5,392,4.9,.000,0.0,.000,0.0,.000,0.0,261,2065,25.8125,
Earl Monroe,BAL,1969-1970, 6-3,PG,25,82,3051,37.2073170732,695,1557,.446,.000,.000,.000,532,641,.830,.000,0.0,.000,0.0,257,3.13414634146,402,4.90243902439,.000,0.0,.000,0.0,.000,0.0,258,1922,23.4390243902,
Earl Monroe,BAL,1970-1971, 6-3,PG,26,81,2843,35.0987654321,663,1501,.442,.000,.000,.000,406,506,.802,.000,0.0,.000,0.0,213,2.62962962963,354,4.37037037037,.000,0.0,.000,0.0,.000,0.0,220,1732,21.3827160494,
Earl Monroe,TOT,1971-1972, 6-3,SG,27,63,1337,21.2222222222,287,662,.434,.000,.000,.000,175,224,.781,.000,0.0,.000,0.0,100,1.5873015873,142,2.25396825397,.000,0.0,.000,0.0,.000,0.0,139,749,11.8888888889,
Earl Monroe,BAL,1971-1972, 6-3,PG,27,3,103,34.3333333333,26,64,.406,.000,.000,.000,13,18,.722,.000,0.0,.000,0.0,8,2.66666666667,10,3.33333333333,.000,0.0,.000,0.0,.000,0.0,9,65,21.6666666667,
Earl Monroe,NYK,1971-1972, 6-3,SG,27,60,1234,20.5666666667,261,598,.436,.000,.000,.000,162,206,.786,.000,0.0,.000,0.0,92,1.53333333333,132,2.2,.000,0.0,.000,0.0,.000,0.0,130,684,11.4,
Earl Monroe,NYK,1972-1973, 6-3,SG,28,75,2370,31.6,496,1016,.488,.000,.000,.000,171,208,.822,.000,0.0,.000,0.0,245,3.26666666667,288,3.84,.000,0.0,.000,0.0,.000,0.0,195,1163,15.5066666667,
Earl Monroe,NYK,1973-1974, 6-3,SG,29,41,1194,29.1219512195,240,513,.468,.000,.000,.000,93,113,.823,22,0.536585365854,99,2.41463414634,121,2.9512195122,110,2.68292682927,34,0.829268292683,19,0.463414634146,.000,0.0,97,573,13.9756097561,
Earl Monroe,NYK,1974-1975, 6-3,SG,30,78,2814,36.0769230769,668,1462,.457,.000,.000,.000,297,359,.827,56,0.717948717949,271,3.47435897436,327,4.19230769231,270,3.46153846154,108,1.38461538462,29,0.371794871795,.000,0.0,200,1633,20.9358974359,
Earl Monroe,NYK,1975-1976, 6-3,SG,31,76,2889,38.0131578947,647,1354,.478,.000,.000,.000,280,356,.787,48,0.631578947368,225,2.96052631579,273,3.59210526316,304,4.0,111,1.46052631579,22,0.289473684211,.000,0.0,209,1574,20.7105263158,
Earl Monroe,NYK,1976-1977, 6-3,SG,32,77,2656,34.4935064935,613,1185,.517,.000,.000,.000,307,366,.839,45,0.584415584416,178,2.31168831169,223,2.8961038961,366,4.75324675325,91,1.18181818182,23,0.298701298701,.000,0.0,197,1533,19.9090909091,
Earl Monroe,NYK,1977-1978, 6-3,SG,33,76,2369,31.1710526316,556,1123,.495,.000,.000,.000,242,291,.832,47,0.618421052632,135,1.77631578947,182,2.39473684211,361,4.75,60,0.789473684211,19,0.25,179,2.35526315789,189,1354,17.8157894737,
Earl Monroe,NYK,1978-1979, 6-3,SG,34,64,1393,21.765625,329,699,.471,.000,.000,.000,129,154,.838,26,0.40625,48,0.75,74,1.15625,189,2.953125,48,0.75,6,0.09375,98,1.53125,123,787,12.296875,
Earl Monroe,NYK,1979-1980, 6-3,SG,35,51,633,12.4117647059,161,352,.457,0,0,.000,56,64,.875,16,0.313725490196,20,0.392156862745,36,0.705882352941,67,1.3137254902,21,0.411764705882,3,0.0588235294118,28,0.549019607843,46,378,7.41176470588,
