Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Eddie Jones,LAL,1994-1995, 6-6,SG,23,64,1981,30.953125,342,744,.460,91,246,.370,122,169,.722,79,1.234375,170,2.65625,249,3.890625,128,2.0,131,2.046875,41,0.640625,75,1.171875,175,897,14.015625,
Eddie Jones,LAL,1995-1996, 6-6,SG,24,70,2184,31.2,337,685,.492,83,227,.366,136,184,.739,45,0.642857142857,188,2.68571428571,233,3.32857142857,246,3.51428571429,129,1.84285714286,45,0.642857142857,99,1.41428571429,162,893,12.7571428571,
Eddie Jones,LAL,1996-1997, 6-6,SG,25,80,2998,37.475,473,1081,.438,152,389,.391,276,337,.819,90,1.125,236,2.95,326,4.075,270,3.375,189,2.3625,49,0.6125,169,2.1125,226,1374,17.175,
Eddie Jones,LAL,1997-1998, 6-6,SG,26,80,2910,36.375,486,1005,.484,143,368,.389,234,306,.765,85,1.0625,217,2.7125,302,3.775,246,3.075,160,2.0,55,0.6875,146,1.825,164,1349,16.8625,
Eddie Jones,TOT,1998-1999, 6-6,SF,27,50,1881,37.62,260,595,.437,48,142,.338,212,271,.782,50,1.0,144,2.88,194,3.88,186,3.72,125,2.5,58,1.16,93,1.86,128,780,15.6,
Eddie Jones,LAL,1998-1999, 6-6,SG,27,20,724,36.2,96,227,.423,20,64,.313,59,80,.738,20,1.0,56,2.8,76,3.8,61,3.05,35,1.75,24,1.2,21,1.05,42,271,13.55,
Eddie Jones,CHH,1998-1999, 6-6,SF,27,30,1157,38.5666666667,164,368,.446,28,78,.359,153,191,.801,30,1.0,88,2.93333333333,118,3.93333333333,125,4.16666666667,90,3.0,34,1.13333333333,72,2.4,86,509,16.9666666667,
Eddie Jones,CHH,1999-2000, 6-6,SG,28,72,2807,38.9861111111,478,1119,.427,128,341,.375,362,419,.864,81,1.125,262,3.63888888889,343,4.76388888889,305,4.23611111111,192,2.66666666667,49,0.680555555556,160,2.22222222222,176,1446,20.0833333333,
Eddie Jones,MIA,2000-2001, 6-6,SG,29,63,2282,36.2222222222,388,871,.445,90,238,.378,228,270,.844,75,1.19047619048,217,3.44444444444,292,4.63492063492,171,2.71428571429,110,1.74603174603,58,0.920634920635,135,2.14285714286,183,1094,17.3650793651,
Eddie Jones,MIA,2001-2002, 6-6,SG,30,81,3156,38.962962963,517,1198,.432,149,382,.390,297,355,.837,61,0.753086419753,317,3.91358024691,378,4.66666666667,262,3.23456790123,117,1.44444444444,77,0.950617283951,148,1.82716049383,258,1480,18.2716049383,
Eddie Jones,MIA,2002-2003, 6-6,SG,31,47,1789,38.0638297872,291,688,.423,98,241,.407,189,230,.822,35,0.744680851064,191,4.06382978723,226,4.8085106383,173,3.68085106383,64,1.36170212766,31,0.659574468085,85,1.8085106383,137,869,18.4893617021,
Eddie Jones,MIA,2003-2004, 6-6,SG,32,81,2998,37.012345679,473,1156,.409,177,479,.370,278,333,.835,38,0.469135802469,270,3.33333333333,308,3.8024691358,258,3.18518518519,92,1.13580246914,34,0.41975308642,129,1.59259259259,226,1401,17.2962962963,
Eddie Jones,MIA,2004-2005, 6-6,SF,33,80,2839,35.4875,351,820,.428,142,382,.372,174,216,.806,38,0.475,367,4.5875,405,5.0625,212,2.65,86,1.075,38,0.475,99,1.2375,251,1018,12.725,
Eddie Jones,MEM,2005-2006, 6-6,SG,34,75,2437,32.4933333333,292,722,.404,133,374,.356,168,215,.781,35,0.466666666667,244,3.25333333333,279,3.72,177,2.36,131,1.74666666667,27,0.36,93,1.24,201,885,11.8,
Eddie Jones,TOT,2006-2007, 6-6,SG,35,64,1594,24.90625,178,422,.422,78,222,.351,59,75,.787,31,0.484375,159,2.484375,190,2.96875,109,1.703125,68,1.0625,10,0.15625,47,0.734375,124,493,7.703125,
Eddie Jones,MEM,2006-2007, 6-6,SG,35,29,561,19.3448275862,57,151,.377,22,74,.297,25,34,.735,14,0.48275862069,47,1.62068965517,61,2.10344827586,33,1.13793103448,22,0.758620689655,2,0.0689655172414,23,0.793103448276,54,161,5.55172413793,
Eddie Jones,MIA,2006-2007, 6-6,SG,35,35,1033,29.5142857143,121,271,.446,56,148,.378,34,41,.829,17,0.485714285714,112,3.2,129,3.68571428571,76,2.17142857143,46,1.31428571429,8,0.228571428571,24,0.685714285714,70,332,9.48571428571,
Eddie Jones,DAL,2007-2008, 6-6,SG,36,47,922,19.6170212766,66,180,.367,34,116,.293,10,14,.714,18,0.382978723404,114,2.42553191489,132,2.8085106383,69,1.46808510638,26,0.553191489362,8,0.170212765957,29,0.617021276596,72,176,3.74468085106,
