Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Eldridge Recasner,DEN,1994-1995, 6-3,SG,27,3,13,4.33333333333,1,6,.167,0,1,.000,4,4,1.000,0,0.0,2,0.666666666667,2,0.666666666667,1,0.333333333333,3,1.0,0,0.0,2,0.666666666667,0,6,2.0,
Eldridge Recasner,HOU,1995-1996, 6-3,SG,28,63,1275,20.2380952381,149,359,.415,81,191,.424,57,66,.864,31,0.492063492063,113,1.79365079365,144,2.28571428571,170,2.69841269841,23,0.365079365079,5,0.0793650793651,61,0.968253968254,111,436,6.92063492063,
Eldridge Recasner,ATL,1996-1997, 6-3,SG,29,71,1207,17.0,148,350,.423,58,140,.414,51,58,.879,35,0.492957746479,80,1.12676056338,115,1.61971830986,94,1.32394366197,38,0.535211267606,4,0.056338028169,65,0.915492957746,97,405,5.70422535211,
Eldridge Recasner,ATL,1997-1998, 6-3,SG,30,59,1454,24.6440677966,206,452,.456,62,148,.419,74,79,.937,32,0.542372881356,110,1.86440677966,142,2.40677966102,117,1.98305084746,41,0.694915254237,1,0.0169491525424,91,1.54237288136,94,548,9.28813559322,
Eldridge Recasner,CHH,1998-1999, 6-3,PG,31,44,708,16.0909090909,82,184,.446,24,60,.400,34,39,.872,20,0.454545454545,57,1.29545454545,77,1.75,91,2.06818181818,17,0.386363636364,1,0.0227272727273,58,1.31818181818,66,222,5.04545454545,
Eldridge Recasner,CHH,1999-2000, 6-3,PG,32,7,28,4.0,3,7,.429,1,4,.250,0,0,.000,0,0.0,4,0.571428571429,4,0.571428571429,5,0.714285714286,0,0.0,0,0.0,0,0.0,1,7,1.0,
Eldridge Recasner,CHH,2000-2001, 6-3,PG,33,43,403,9.37209302326,38,114,.333,13,39,.333,14,18,.778,13,0.302325581395,37,0.860465116279,50,1.16279069767,39,0.906976744186,6,0.139534883721,1,0.0232558139535,27,0.627906976744,30,103,2.39534883721,
Eldridge Recasner,TOT,2001-2002, 6-3,PG,34,6,33,5.5,2,6,.333,0,1,.000,1,1,1.000,0,0.0,0,0.0,0,0.0,5,0.833333333333,1,0.166666666667,0,0.0,1,0.166666666667,4,5,0.833333333333,
Eldridge Recasner,CHH,2001-2002, 6-3,SG,34,1,2,2.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,
Eldridge Recasner,LAC,2001-2002, 6-3,PG,34,5,31,6.2,2,6,.333,0,1,.000,1,1,1.000,0,0.0,0,0.0,0,0.0,5,1.0,1,0.2,0,0.0,1,0.2,3,5,1.0,
