Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Elvin Hayes,SDR,1968-1969, 6-9,C,23,82,3695,45.0609756098,930,2082,.447,.000,.000,.000,467,746,.626,.000,0.0,.000,0.0,1406,17.1463414634,113,1.37804878049,.000,0.0,.000,0.0,.000,0.0,266,2327,28.3780487805,
Elvin Hayes,SDR,1969-1970, 6-9,C,24,82,3665,44.6951219512,914,2020,.452,.000,.000,.000,428,622,.688,.000,0.0,.000,0.0,1386,16.9024390244,162,1.9756097561,.000,0.0,.000,0.0,.000,0.0,270,2256,27.512195122,
Elvin Hayes,SDR,1970-1971, 6-9,C,25,82,3633,44.3048780488,948,2215,.428,.000,.000,.000,454,676,.672,.000,0.0,.000,0.0,1362,16.6097560976,186,2.26829268293,.000,0.0,.000,0.0,.000,0.0,225,2350,28.6585365854,
Elvin Hayes,HOU,1971-1972, 6-9,C,26,82,3461,42.2073170732,832,1918,.434,.000,.000,.000,399,615,.649,.000,0.0,.000,0.0,1197,14.5975609756,270,3.29268292683,.000,0.0,.000,0.0,.000,0.0,233,2063,25.1585365854,
Elvin Hayes,BAL,1972-1973, 6-9,PF,27,81,3347,41.3209876543,713,1607,.444,.000,.000,.000,291,434,.671,.000,0.0,.000,0.0,1177,14.5308641975,127,1.56790123457,.000,0.0,.000,0.0,.000,0.0,232,1717,21.1975308642,
Elvin Hayes,CAP,1973-1974, 6-9,PF,28,81,3602,44.4691358025,689,1627,.423,.000,.000,.000,357,495,.721,354,4.37037037037,1109,13.6913580247,1463,18.0617283951,163,2.01234567901,86,1.06172839506,240,2.96296296296,.000,0.0,252,1735,21.4197530864,
Elvin Hayes,WSB,1974-1975, 6-9,PF,29,82,3465,42.256097561,739,1668,.443,.000,.000,.000,409,534,.766,221,2.69512195122,783,9.5487804878,1004,12.243902439,206,2.51219512195,158,1.92682926829,187,2.28048780488,.000,0.0,238,1887,23.012195122,
Elvin Hayes,WSB,1975-1976, 6-9,PF,30,80,2975,37.1875,649,1381,.470,.000,.000,.000,287,457,.628,210,2.625,668,8.35,878,10.975,121,1.5125,104,1.3,202,2.525,.000,0.0,293,1585,19.8125,
Elvin Hayes,WSB,1976-1977, 6-9,PF,31,82,3364,41.0243902439,760,1516,.501,.000,.000,.000,422,614,.687,289,3.5243902439,740,9.0243902439,1029,12.5487804878,158,1.92682926829,87,1.06097560976,220,2.68292682927,.000,0.0,312,1942,23.6829268293,
Elvin Hayes,WSB,1977-1978, 6-9,PF,32,81,3246,40.0740740741,636,1409,.451,.000,.000,.000,326,514,.634,335,4.13580246914,740,9.13580246914,1075,13.2716049383,149,1.83950617284,96,1.18518518519,159,1.96296296296,229,2.82716049383,313,1598,19.7283950617,
Elvin Hayes,WSB,1978-1979, 6-9,PF,33,82,3105,37.8658536585,720,1477,.487,.000,.000,.000,349,534,.654,312,3.80487804878,682,8.31707317073,994,12.1219512195,143,1.74390243902,75,0.914634146341,190,2.31707317073,235,2.86585365854,308,1789,21.8170731707,
Elvin Hayes,WSB,1979-1980, 6-9,PF,34,81,3183,39.2962962963,761,1677,.454,3,13,.231,334,478,.699,269,3.32098765432,627,7.74074074074,896,11.0617283951,129,1.59259259259,62,0.765432098765,189,2.33333333333,215,2.65432098765,309,1859,22.950617284,
Elvin Hayes,WSB,1980-1981, 6-9,PF,35,81,2931,36.1851851852,584,1296,.451,0,10,.000,271,439,.617,235,2.9012345679,554,6.83950617284,789,9.74074074074,98,1.20987654321,68,0.83950617284,171,2.11111111111,189,2.33333333333,300,1439,17.7654320988,
Elvin Hayes,HOU,1981-1982, 6-9,PF,36,82,3032,36.9756097561,519,1100,.472,0,5,.000,280,422,.664,267,3.25609756098,480,5.85365853659,747,9.10975609756,144,1.75609756098,62,0.756097560976,104,1.26829268293,208,2.53658536585,287,1318,16.0731707317,
Elvin Hayes,HOU,1982-1983, 6-9,PF,37,81,2302,28.4197530864,424,890,.476,2,4,.500,196,287,.683,199,2.45679012346,417,5.14814814815,616,7.6049382716,158,1.95061728395,50,0.617283950617,81,1.0,200,2.46913580247,232,1046,12.9135802469,
Elvin Hayes,HOU,1983-1984, 6-9,PF,38,81,994,12.2716049383,158,389,.406,0,2,.000,86,132,.652,87,1.07407407407,173,2.13580246914,260,3.20987654321,71,0.876543209877,16,0.197530864198,28,0.345679012346,82,1.01234567901,123,402,4.96296296296,
