Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Erick Dampier,IND,1996-1997, 6-11,C,21,72,1052,14.6111111111,131,336,.390,1,1,1.000,107,168,.637,96,1.33333333333,198,2.75,294,4.08333333333,43,0.597222222222,19,0.263888888889,73,1.01388888889,84,1.16666666667,153,370,5.13888888889,
Erick Dampier,GSW,1997-1998, 6-11,C,22,82,2656,32.3902439024,352,791,.445,0,2,.000,267,399,.669,272,3.31707317073,443,5.40243902439,715,8.71951219512,94,1.14634146341,39,0.475609756098,139,1.69512195122,175,2.13414634146,281,971,11.8414634146,
Erick Dampier,GSW,1998-1999, 6-11,C,23,50,1414,28.28,161,414,.389,0,0,.000,120,204,.588,164,3.28,218,4.36,382,7.64,54,1.08,26,0.52,58,1.16,92,1.84,165,442,8.84,
Erick Dampier,GSW,1999-2000, 6-11,C,24,21,495,23.5714285714,70,173,.405,0,0,.000,27,51,.529,48,2.28571428571,86,4.09523809524,134,6.38095238095,19,0.904761904762,8,0.380952380952,15,0.714285714286,29,1.38095238095,75,167,7.95238095238,
Erick Dampier,GSW,2000-2001, 6-11,C,25,43,1038,24.1395348837,126,314,.401,0,2,.000,67,126,.532,97,2.25581395349,153,3.55813953488,250,5.81395348837,59,1.37209302326,17,0.395348837209,58,1.3488372093,82,1.90697674419,123,319,7.41860465116,
Erick Dampier,GSW,2001-2002, 6-11,C,26,73,1740,23.8356164384,209,480,.435,0,0,.000,136,211,.645,167,2.28767123288,220,3.01369863014,387,5.30136986301,87,1.19178082192,17,0.232876712329,167,2.28767123288,156,2.13698630137,235,554,7.58904109589,
Erick Dampier,GSW,2002-2003, 6-11,C,27,82,1978,24.1219512195,259,522,.496,0,2,.000,155,222,.698,248,3.0243902439,295,3.59756097561,543,6.62195121951,58,0.707317073171,27,0.329268292683,154,1.87804878049,112,1.36585365854,242,673,8.20731707317,
Erick Dampier,GSW,2003-2004, 6-11,C,28,74,2403,32.472972973,348,650,.535,0,2,.000,217,332,.654,344,4.64864864865,543,7.33783783784,887,11.9864864865,60,0.810810810811,33,0.445945945946,137,1.85135135135,131,1.77027027027,227,913,12.3378378378,
Erick Dampier,DAL,2004-2005, 6-11,C,29,59,1609,27.2711864407,202,367,.550,0,3,.000,138,228,.605,183,3.10169491525,318,5.38983050847,501,8.49152542373,51,0.864406779661,15,0.254237288136,80,1.35593220339,102,1.72881355932,205,542,9.18644067797,
Erick Dampier,DAL,2005-2006, 6-11,C,30,82,1934,23.5853658537,171,347,.493,0,0,.000,127,215,.591,273,3.32926829268,367,4.4756097561,640,7.80487804878,51,0.621951219512,27,0.329268292683,106,1.29268292683,115,1.40243902439,263,469,5.71951219512,
Erick Dampier,DAL,2006-2007, 6-11,C,31,76,1915,25.1973684211,209,334,.626,0,0,.000,119,191,.623,217,2.85526315789,349,4.59210526316,566,7.44736842105,44,0.578947368421,24,0.315789473684,82,1.07894736842,107,1.40789473684,239,537,7.06578947368,
Erick Dampier,DAL,2007-2008, 6-11,C,32,72,1755,24.375,178,277,.643,0,0,.000,84,146,.575,207,2.875,332,4.61111111111,539,7.48611111111,63,0.875,24,0.333333333333,106,1.47222222222,80,1.11111111111,226,440,6.11111111111,
Erick Dampier,DAL,2008-2009, 6-11,C,33,80,1836,22.95,182,280,.650,0,0,.000,90,141,.638,216,2.7,349,4.3625,565,7.0625,77,0.9625,24,0.3,95,1.1875,74,0.925,191,454,5.675,
Erick Dampier,DAL,2009-2010, 6-11,C,34,55,1280,23.2727272727,133,213,.624,1,3,.333,61,101,.604,128,2.32727272727,272,4.94545454545,400,7.27272727273,31,0.563636363636,15,0.272727272727,77,1.4,61,1.10909090909,153,328,5.96363636364,
Erick Dampier,MIA,2010-2011, 6-11,C,35,51,815,15.9803921569,52,89,.584,0,1,.000,24,44,.545,53,1.03921568627,124,2.43137254902,177,3.47058823529,22,0.43137254902,14,0.274509803922,47,0.921568627451,32,0.627450980392,82,128,2.50980392157,
Erick Dampier,ATL,2011-2012, 6-11,C,36,15,83,5.53333333333,1,8,.125,0,0,.000,0,0,.000,10,0.666666666667,15,1.0,25,1.66666666667,4,0.266666666667,1,0.0666666666667,4,0.266666666667,3,0.2,9,2,0.133333333333,
