Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Francisco Elson,DEN,2003-2004, 7-0,C,27,62,875,14.1129032258,94,199,.472,0,1,.000,30,45,.667,65,1.04838709677,138,2.22580645161,203,3.27419354839,32,0.516129032258,35,0.564516129032,39,0.629032258065,35,0.564516129032,145,218,3.51612903226,
Francisco Elson,DEN,2004-2005, 7-0,C,28,67,939,14.0149253731,101,216,.468,1,3,.333,45,79,.570,61,0.910447761194,140,2.08955223881,201,3.0,34,0.507462686567,34,0.507462686567,41,0.611940298507,40,0.597014925373,129,248,3.70149253731,
Francisco Elson,DEN,2005-2006, 7-0,C,29,72,1579,21.9305555556,151,284,.532,1,5,.200,49,74,.662,99,1.375,240,3.33333333333,339,4.70833333333,47,0.652777777778,54,0.75,45,0.625,65,0.902777777778,211,352,4.88888888889,
Francisco Elson,SAS,2006-2007, 7-0,C,30,70,1332,19.0285714286,144,282,.511,0,2,.000,62,80,.775,81,1.15714285714,255,3.64285714286,336,4.8,55,0.785714285714,31,0.442857142857,59,0.842857142857,86,1.22857142857,184,350,5.0,
Francisco Elson,TOT,2007-2008, 7-0,C,31,63,813,12.9047619048,92,236,.390,0,1,.000,26,37,.703,50,0.793650793651,150,2.38095238095,200,3.1746031746,24,0.380952380952,15,0.238095238095,20,0.31746031746,47,0.746031746032,96,210,3.33333333333,
Francisco Elson,SAS,2007-2008, 7-0,C,31,41,534,13.0243902439,62,148,.419,0,0,.000,20,24,.833,33,0.80487804878,102,2.48780487805,135,3.29268292683,16,0.390243902439,9,0.219512195122,14,0.341463414634,30,0.731707317073,62,144,3.51219512195,
Francisco Elson,SEA,2007-2008, 7-0,C,31,22,279,12.6818181818,30,88,.341,0,1,.000,6,13,.462,17,0.772727272727,48,2.18181818182,65,2.95454545455,8,0.363636363636,6,0.272727272727,6,0.272727272727,17,0.772727272727,34,66,3.0,
Francisco Elson,MIL,2008-2009, 7-0,C,32,59,977,16.5593220339,83,169,.491,1,4,.250,33,39,.846,100,1.69491525424,129,2.18644067797,229,3.8813559322,32,0.542372881356,36,0.610169491525,36,0.610169491525,48,0.813559322034,144,200,3.38983050847,
Francisco Elson,TOT,2009-2010, 7-0,C,33,12,66,5.5,5,15,.333,0,0,.000,2,5,.400,6,0.5,8,0.666666666667,14,1.16666666667,2,0.166666666667,1,0.0833333333333,0,0.0,1,0.0833333333333,7,12,1.0,
Francisco Elson,MIL,2009-2010, 7-0,C,33,11,62,5.63636363636,4,13,.308,0,0,.000,2,2,1.000,5,0.454545454545,8,0.727272727273,13,1.18181818182,2,0.181818181818,1,0.0909090909091,0,0.0,1,0.0909090909091,7,10,0.909090909091,
Francisco Elson,PHI,2009-2010, 7-0,C,33,1,4,4.0,1,2,.500,0,0,.000,0,3,.000,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.0,
Francisco Elson,UTA,2010-2011, 7-0,C,34,62,610,9.83870967742,54,113,.478,0,0,.000,26,31,.839,35,0.564516129032,80,1.29032258065,115,1.85483870968,33,0.532258064516,21,0.338709677419,14,0.225806451613,32,0.516129032258,84,134,2.16129032258,
Francisco Elson,PHI,2011-2012, 7-0,C,35,5,16,3.2,1,3,.333,0,0,.000,0,0,.000,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,0,2,0.4,
