Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Freddie Lewis,CIN,1966-1967, 6-0,PG,23,32,334,10.4375,60,153,.392,.000,.000,.000,29,41,.707,.000,0.0,.000,0.0,44,1.375,40,1.25,.000,0.0,.000,0.0,.000,0.0,49,149,4.65625,
Freddie Lewis,INA,1967-1968, 6-0,SG,24,76,2921,38.4342105263,542,1287,.421,16,74,.216,465,583,.798,.000,0.0,.000,0.0,440,5.78947368421,183,2.40789473684,.000,0.0,.000,0.0,209,2.75,217,1565,20.5921052632,
Freddie Lewis,INA,1968-1969, 6-0,SG,25,78,3055,39.1666666667,572,1300,.440,22,83,.265,419,510,.822,119,1.52564102564,255,3.26923076923,374,4.79487179487,346,4.4358974359,.000,0.0,.000,0.0,224,2.87179487179,289,1585,20.3205128205,
Freddie Lewis,INA,1969-1970, 6-0,PG,26,81,2877,35.5185185185,448,1065,.421,47,177,.266,383,485,.790,118,1.45679012346,159,1.96296296296,277,3.41975308642,289,3.56790123457,.000,0.0,.000,0.0,190,2.34567901235,294,1326,16.3703703704,
Freddie Lewis,INA,1970-1971, 6-0,SG,27,81,3034,37.4567901235,547,1241,.441,59,194,.304,372,461,.807,169,2.08641975309,167,2.06172839506,336,4.14814814815,433,5.34567901235,.000,0.0,.000,0.0,202,2.49382716049,249,1525,18.8271604938,
Freddie Lewis,INA,1971-1972, 6-0,PG,28,77,2714,35.2467532468,405,947,.428,31,100,.310,341,396,.861,134,1.74025974026,193,2.50649350649,327,4.24675324675,362,4.7012987013,.000,0.0,.000,0.0,194,2.51948051948,230,1182,15.3506493506,
Freddie Lewis,INA,1972-1973, 6-0,SG,29,72,2217,30.7916666667,375,860,.436,38,110,.345,287,349,.822,97,1.34722222222,131,1.81944444444,228,3.16666666667,288,4.0,.000,0.0,.000,0.0,173,2.40277777778,204,1075,14.9305555556,
Freddie Lewis,INA,1973-1974, 6-0,PG,30,78,2164,27.7435897436,290,728,.398,13,72,.181,182,219,.831,84,1.07692307692,117,1.5,201,2.57692307692,322,4.12820512821,99,1.26923076923,11,0.141025641026,169,2.16666666667,189,775,9.9358974359,
Freddie Lewis,TOT,1974-1975, 6-0,PG,31,69,2790,40.4347826087,579,1232,.470,18,67,.269,355,421,.843,111,1.60869565217,154,2.23188405797,265,3.84057971014,367,5.31884057971,147,2.13043478261,3,0.0434782608696,206,2.98550724638,161,1531,22.1884057971,
Freddie Lewis,MMS,1974-1975, 6-0,SG,31,6,227,37.8333333333,45,111,.405,1,6,.167,15,16,.938,11,1.83333333333,9,1.5,20,3.33333333333,19,3.16666666667,10,1.66666666667,0,0.0,10,1.66666666667,9,106,17.6666666667,
Freddie Lewis,SSL,1974-1975, 6-0,PG,31,63,2563,40.6825396825,534,1121,.476,17,61,.279,340,405,.840,100,1.5873015873,145,2.30158730159,245,3.88888888889,348,5.52380952381,137,2.1746031746,3,0.047619047619,196,3.11111111111,152,1425,22.619047619,
Freddie Lewis,SSL,1975-1976, 6-0,PG,32,74,2266,30.6216216216,403,953,.423,31,106,.292,259,317,.817,67,0.905405405405,146,1.97297297297,213,2.87837837838,293,3.95945945946,109,1.47297297297,7,0.0945945945946,193,2.60810810811,183,1096,14.8108108108,
Freddie Lewis,IND,1976-1977, 6-0,PG,33,32,552,17.25,81,199,.407,.000,.000,.000,62,77,.805,17,0.53125,30,0.9375,47,1.46875,56,1.75,18,0.5625,2,0.0625,.000,0.0,58,224,7.0,
