Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Gail Goodrich,LAL,1965-1966, 6-1,SG,22,65,1008,15.5076923077,203,503,.404,.000,.000,.000,103,149,.691,.000,0.0,.000,0.0,130,2.0,103,1.58461538462,.000,0.0,.000,0.0,.000,0.0,103,509,7.83076923077,
Gail Goodrich,LAL,1966-1967, 6-1,SG,23,77,1780,23.1168831169,352,776,.454,.000,.000,.000,253,337,.751,.000,0.0,.000,0.0,251,3.25974025974,210,2.72727272727,.000,0.0,.000,0.0,.000,0.0,194,957,12.4285714286,
Gail Goodrich,LAL,1967-1968, 6-1,SG,24,79,2057,26.0379746835,395,812,.486,.000,.000,.000,302,392,.770,.000,0.0,.000,0.0,199,2.51898734177,205,2.59493670886,.000,0.0,.000,0.0,.000,0.0,228,1092,13.8227848101,
Gail Goodrich,PHO,1968-1969, 6-1,PG,25,81,3236,39.950617284,718,1746,.411,.000,.000,.000,495,663,.747,.000,0.0,.000,0.0,437,5.3950617284,518,6.3950617284,.000,0.0,.000,0.0,.000,0.0,253,1931,23.8395061728,
Gail Goodrich,PHO,1969-1970, 6-1,PG,26,81,3234,39.9259259259,568,1251,.454,.000,.000,.000,488,604,.808,.000,0.0,.000,0.0,340,4.1975308642,605,7.46913580247,.000,0.0,.000,0.0,.000,0.0,251,1624,20.049382716,
Gail Goodrich,LAL,1970-1971, 6-1,SG,27,79,2808,35.5443037975,558,1174,.475,.000,.000,.000,264,343,.770,.000,0.0,.000,0.0,260,3.29113924051,380,4.81012658228,.000,0.0,.000,0.0,.000,0.0,258,1380,17.4683544304,
Gail Goodrich,LAL,1971-1972, 6-1,SG,28,82,3040,37.0731707317,826,1695,.487,.000,.000,.000,475,559,.850,.000,0.0,.000,0.0,295,3.59756097561,365,4.4512195122,.000,0.0,.000,0.0,.000,0.0,210,2127,25.9390243902,
Gail Goodrich,LAL,1972-1973, 6-1,SG,29,76,2697,35.4868421053,750,1615,.464,.000,.000,.000,314,374,.840,.000,0.0,.000,0.0,263,3.46052631579,332,4.36842105263,.000,0.0,.000,0.0,.000,0.0,193,1814,23.8684210526,
Gail Goodrich,LAL,1973-1974, 6-1,SG,30,82,3061,37.3292682927,784,1773,.442,.000,.000,.000,508,588,.864,95,1.15853658537,155,1.89024390244,250,3.0487804878,427,5.20731707317,126,1.53658536585,12,0.146341463415,.000,0.0,227,2076,25.3170731707,
Gail Goodrich,LAL,1974-1975, 6-1,SG,31,72,2668,37.0555555556,656,1429,.459,.000,.000,.000,318,378,.841,96,1.33333333333,123,1.70833333333,219,3.04166666667,420,5.83333333333,102,1.41666666667,6,0.0833333333333,.000,0.0,214,1630,22.6388888889,
Gail Goodrich,LAL,1975-1976, 6-1,SG,32,75,2646,35.28,583,1321,.441,.000,.000,.000,293,346,.847,94,1.25333333333,120,1.6,214,2.85333333333,421,5.61333333333,123,1.64,17,0.226666666667,.000,0.0,238,1459,19.4533333333,
Gail Goodrich,NOJ,1976-1977, 6-1,SG,33,27,609,22.5555555556,136,305,.446,.000,.000,.000,68,85,.800,25,0.925925925926,36,1.33333333333,61,2.25925925926,74,2.74074074074,22,0.814814814815,2,0.0740740740741,.000,0.0,43,340,12.5925925926,
Gail Goodrich,NOJ,1977-1978, 6-1,SG,34,81,2553,31.5185185185,520,1050,.495,.000,.000,.000,264,332,.795,75,0.925925925926,102,1.25925925926,177,2.18518518519,388,4.79012345679,82,1.01234567901,22,0.271604938272,205,2.53086419753,186,1304,16.0987654321,
Gail Goodrich,NOJ,1978-1979, 6-1,SG,35,74,2130,28.7837837838,382,850,.449,.000,.000,.000,174,204,.853,68,0.918918918919,115,1.55405405405,183,2.47297297297,357,4.82432432432,90,1.21621621622,13,0.175675675676,185,2.5,177,938,12.6756756757,
