Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Gary Payton,SEA,1990-1991, 6-4,PG,22,82,2244,27.3658536585,259,575,.450,1,13,.077,69,97,.711,108,1.31707317073,135,1.64634146341,243,2.96341463415,528,6.43902439024,165,2.01219512195,15,0.182926829268,180,2.19512195122,249,588,7.17073170732,
Gary Payton,SEA,1991-1992, 6-4,PG,23,81,2549,31.4691358025,331,734,.451,3,23,.130,99,148,.669,123,1.51851851852,172,2.12345679012,295,3.64197530864,506,6.24691358025,147,1.81481481481,21,0.259259259259,174,2.14814814815,248,764,9.43209876543,
Gary Payton,SEA,1992-1993, 6-4,PG,24,82,2548,31.0731707317,476,963,.494,7,34,.206,151,196,.770,95,1.15853658537,186,2.26829268293,281,3.42682926829,399,4.86585365854,177,2.15853658537,21,0.256097560976,148,1.80487804878,250,1110,13.5365853659,
Gary Payton,SEA,1993-1994, 6-4,PG,25,82,2881,35.1341463415,584,1159,.504,15,54,.278,166,279,.595,105,1.28048780488,164,2.0,269,3.28048780488,494,6.0243902439,188,2.29268292683,19,0.231707317073,173,2.10975609756,227,1349,16.4512195122,
Gary Payton,SEA,1994-1995, 6-4,PG,26,82,3015,36.7682926829,685,1345,.509,70,232,.302,249,348,.716,108,1.31707317073,173,2.10975609756,281,3.42682926829,583,7.10975609756,204,2.48780487805,13,0.158536585366,201,2.4512195122,206,1689,20.5975609756,
Gary Payton,SEA,1995-1996, 6-4,PG,27,81,3162,39.037037037,618,1276,.484,98,299,.328,229,306,.748,104,1.28395061728,235,2.9012345679,339,4.18518518519,608,7.50617283951,231,2.85185185185,19,0.234567901235,260,3.20987654321,221,1563,19.2962962963,
Gary Payton,SEA,1996-1997, 6-4,PG,28,82,3213,39.1829268293,706,1482,.476,119,380,.313,254,355,.715,106,1.29268292683,272,3.31707317073,378,4.60975609756,583,7.10975609756,197,2.40243902439,13,0.158536585366,215,2.62195121951,208,1785,21.7682926829,
Gary Payton,SEA,1997-1998, 6-4,PG,29,82,3145,38.3536585366,579,1278,.453,134,397,.338,279,375,.744,77,0.939024390244,299,3.64634146341,376,4.58536585366,679,8.28048780488,185,2.25609756098,18,0.219512195122,229,2.79268292683,195,1571,19.1585365854,
Gary Payton,SEA,1998-1999, 6-4,PG,30,50,2008,40.16,401,923,.434,83,281,.295,199,276,.721,62,1.24,182,3.64,244,4.88,436,8.72,109,2.18,12,0.24,154,3.08,115,1084,21.68,
Gary Payton,SEA,1999-2000, 6-4,PG,31,82,3425,41.7682926829,747,1666,.448,177,520,.340,311,423,.735,100,1.21951219512,429,5.23170731707,529,6.4512195122,732,8.92682926829,153,1.86585365854,18,0.219512195122,224,2.73170731707,178,1982,24.1707317073,
Gary Payton,SEA,2000-2001, 6-4,PG,32,79,3244,41.0632911392,725,1591,.456,102,272,.375,271,354,.766,73,0.924050632911,288,3.64556962025,361,4.56962025316,642,8.12658227848,127,1.60759493671,26,0.329113924051,209,2.64556962025,184,1823,23.0759493671,
Gary Payton,SEA,2001-2002, 6-4,PG,33,82,3301,40.256097561,737,1578,.467,74,236,.314,267,335,.797,80,0.975609756098,316,3.85365853659,396,4.82926829268,737,8.98780487805,131,1.59756097561,26,0.317073170732,209,2.5487804878,179,1815,22.1341463415,
Gary Payton,TOT,2002-2003, 6-4,PG,34,80,3208,40.1,665,1466,.454,54,182,.297,250,352,.710,79,0.9875,255,3.1875,334,4.175,663,8.2875,133,1.6625,20,0.25,187,2.3375,181,1634,20.425,
Gary Payton,SEA,2002-2003, 6-4,PG,34,52,2123,40.8269230769,444,992,.448,34,114,.298,162,234,.692,56,1.07692307692,192,3.69230769231,248,4.76923076923,457,8.78846153846,93,1.78846153846,12,0.230769230769,131,2.51923076923,117,1084,20.8461538462,
Gary Payton,MIL,2002-2003, 6-4,PG,34,28,1085,38.75,221,474,.466,20,68,.294,88,118,.746,23,0.821428571429,63,2.25,86,3.07142857143,206,7.35714285714,40,1.42857142857,8,0.285714285714,56,2.0,64,550,19.6428571429,
Gary Payton,LAL,2003-2004, 6-4,PG,35,82,2825,34.4512195122,482,1024,.471,55,165,.333,180,252,.714,72,0.878048780488,270,3.29268292683,342,4.17073170732,449,5.4756097561,96,1.17073170732,19,0.231707317073,151,1.84146341463,169,1199,14.6219512195,
Gary Payton,BOS,2004-2005, 6-4,PG,36,77,2541,33.0,339,725,.468,42,129,.326,153,201,.761,48,0.623376623377,188,2.44155844156,236,3.06493506494,469,6.09090909091,88,1.14285714286,12,0.155844155844,148,1.92207792208,121,873,11.3376623377,
Gary Payton,MIA,2005-2006, 6-4,PG,37,81,2305,28.4567901235,230,547,.420,66,230,.287,100,126,.794,34,0.41975308642,199,2.45679012346,233,2.87654320988,257,3.17283950617,71,0.876543209877,10,0.123456790123,102,1.25925925926,169,626,7.72839506173,
Gary Payton,MIA,2006-2007, 6-4,PG,38,68,1503,22.1029411765,144,366,.393,32,123,.260,38,57,.667,18,0.264705882353,114,1.67647058824,132,1.94117647059,201,2.95588235294,43,0.632352941176,3,0.0441176470588,66,0.970588235294,117,358,5.26470588235,
