Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
George McCloud,IND,1989-1990, 6-6,SF,22,44,413,9.38636363636,45,144,.313,13,40,.325,15,19,.789,12,0.272727272727,30,0.681818181818,42,0.954545454545,45,1.02272727273,19,0.431818181818,3,0.0681818181818,36,0.818181818182,56,118,2.68181818182,
George McCloud,IND,1990-1991, 6-6,SF,23,74,1070,14.4594594595,131,351,.373,43,124,.347,38,49,.776,35,0.472972972973,83,1.12162162162,118,1.59459459459,150,2.02702702703,40,0.540540540541,11,0.148648648649,91,1.22972972973,141,343,4.63513513514,
George McCloud,IND,1991-1992, 6-6,SF,24,51,892,17.4901960784,128,313,.409,32,94,.340,50,64,.781,45,0.882352941176,87,1.70588235294,132,2.58823529412,116,2.27450980392,26,0.509803921569,11,0.21568627451,62,1.21568627451,95,338,6.62745098039,
George McCloud,IND,1992-1993, 6-6,SF,25,78,1500,19.2307692308,216,525,.411,58,181,.320,75,102,.735,60,0.769230769231,145,1.85897435897,205,2.62820512821,192,2.46153846154,53,0.679487179487,11,0.141025641026,107,1.37179487179,165,565,7.24358974359,
George McCloud,DAL,1994-1995, 6-6,SF,27,42,802,19.0952380952,144,328,.439,34,89,.382,80,96,.833,82,1.95238095238,65,1.54761904762,147,3.5,53,1.2619047619,23,0.547619047619,9,0.214285714286,40,0.952380952381,71,402,9.57142857143,
George McCloud,DAL,1995-1996, 6-6,SF,28,79,2846,36.0253164557,530,1281,.414,257,678,.379,180,224,.804,116,1.46835443038,263,3.32911392405,379,4.79746835443,212,2.6835443038,113,1.43037974684,38,0.481012658228,166,2.10126582278,212,1497,18.9493670886,
George McCloud,TOT,1996-1997, 6-6,SF,29,64,1493,23.328125,238,578,.412,99,254,.390,83,101,.822,36,0.5625,143,2.234375,179,2.796875,109,1.703125,61,0.953125,8,0.125,61,0.953125,126,658,10.28125,
George McCloud,DAL,1996-1997, 6-6,SF,29,41,1207,29.4390243902,204,482,.423,78,205,.380,77,92,.837,29,0.707317073171,114,2.78048780488,143,3.48780487805,92,2.24390243902,52,1.26829268293,8,0.19512195122,52,1.26829268293,106,563,13.7317073171,
George McCloud,LAL,1996-1997, 6-6,SF,29,23,286,12.4347826087,34,96,.354,21,49,.429,6,9,.667,7,0.304347826087,29,1.26086956522,36,1.5652173913,17,0.739130434783,9,0.391304347826,0,0.0,9,0.391304347826,20,95,4.13043478261,
George McCloud,PHO,1997-1998, 6-6,SF,30,63,1213,19.253968254,173,427,.405,71,208,.341,39,51,.765,45,0.714285714286,173,2.74603174603,218,3.46031746032,84,1.33333333333,54,0.857142857143,13,0.206349206349,63,1.0,132,456,7.2380952381,
George McCloud,PHO,1998-1999, 6-6,SF,31,48,1245,25.9375,142,324,.438,69,166,.416,75,87,.862,34,0.708333333333,128,2.66666666667,162,3.375,79,1.64583333333,45,0.9375,14,0.291666666667,49,1.02083333333,127,428,8.91666666667,
George McCloud,DEN,1999-2000, 6-6,SF,32,78,2118,27.1538461538,266,638,.417,107,283,.378,148,181,.818,72,0.923076923077,213,2.73076923077,285,3.65384615385,246,3.15384615385,48,0.615384615385,26,0.333333333333,134,1.71794871795,180,787,10.0897435897,
George McCloud,DEN,2000-2001, 6-6,SF,33,76,2007,26.4078947368,250,655,.382,77,234,.329,152,181,.840,55,0.723684210526,169,2.22368421053,224,2.94736842105,279,3.67105263158,53,0.697368421053,27,0.355263157895,117,1.53947368421,165,729,9.59210526316,
George McCloud,DEN,2001-2002, 6-6,SF,34,69,1830,26.5217391304,206,576,.358,60,222,.270,132,163,.810,67,0.971014492754,184,2.66666666667,251,3.63768115942,204,2.95652173913,58,0.840579710145,19,0.275362318841,144,2.08695652174,175,604,8.75362318841,
