Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
George McGinnis,INA,1971-1972, 6-8,SF,21,73,2179,29.8493150685,465,999,.465,6,38,.158,298,462,.645,290,3.97260273973,421,5.76712328767,711,9.7397260274,137,1.87671232877,.000,0.0,.000,0.0,256,3.50684931507,260,1234,16.904109589,
George McGinnis,INA,1972-1973, 6-8,PF,22,82,3347,40.8170731707,868,1755,.495,8,32,.250,517,778,.665,434,5.29268292683,588,7.17073170732,1022,12.4634146341,205,2.5,160,1.9512195122,.000,0.0,401,4.89024390244,348,2261,27.5731707317,
George McGinnis,INA,1973-1974, 6-8,PF,23,80,3266,40.825,789,1686,.468,5,34,.147,488,715,.683,422,5.275,775,9.6875,1197,14.9625,267,3.3375,159,1.9875,40,0.5,393,4.9125,325,2071,25.8875,
George McGinnis,INA,1974-1975, 6-8,PF,24,79,3193,40.417721519,873,1934,.451,62,175,.354,545,753,.724,396,5.01265822785,730,9.24050632911,1126,14.253164557,495,6.26582278481,206,2.60759493671,56,0.708860759494,422,5.3417721519,303,2353,29.7848101266,
George McGinnis,PHI,1975-1976, 6-8,PF,25,77,2946,38.2597402597,647,1552,.417,.000,.000,.000,475,642,.740,260,3.37662337662,707,9.18181818182,967,12.5584415584,359,4.66233766234,198,2.57142857143,41,0.532467532468,.000,0.0,334,1769,22.974025974,
George McGinnis,PHI,1976-1977, 6-8,PF,26,79,2769,35.0506329114,659,1439,.458,.000,.000,.000,372,546,.681,324,4.10126582278,587,7.43037974684,911,11.5316455696,302,3.82278481013,163,2.06329113924,37,0.46835443038,.000,0.0,299,1690,21.3924050633,
George McGinnis,PHI,1977-1978, 6-8,PF,27,78,2533,32.4743589744,588,1270,.463,.000,.000,.000,411,574,.716,282,3.61538461538,528,6.76923076923,810,10.3846153846,294,3.76923076923,137,1.75641025641,27,0.346153846154,312,4.0,287,1587,20.3461538462,
George McGinnis,DEN,1978-1979, 6-8,PF,28,76,2552,33.5789473684,603,1273,.474,.000,.000,.000,509,765,.665,256,3.36842105263,608,8.0,864,11.3684210526,283,3.72368421053,129,1.69736842105,52,0.684210526316,346,4.55263157895,321,1715,22.5657894737,
George McGinnis,TOT,1979-1980, 6-8,PF,29,73,2208,30.2465753425,400,886,.451,2,15,.133,270,488,.553,222,3.04109589041,477,6.53424657534,699,9.57534246575,333,4.56164383562,101,1.38356164384,23,0.315068493151,281,3.84931506849,303,1072,14.6849315068,
George McGinnis,DEN,1979-1980, 6-8,PF,29,45,1424,31.6444444444,268,584,.459,1,7,.143,166,307,.541,134,2.97777777778,328,7.28888888889,462,10.2666666667,221,4.91111111111,69,1.53333333333,17,0.377777777778,188,4.17777777778,187,703,15.6222222222,
George McGinnis,IND,1979-1980, 6-8,PF,29,28,784,28.0,132,302,.437,1,8,.125,104,181,.575,88,3.14285714286,149,5.32142857143,237,8.46428571429,112,4.0,32,1.14285714286,6,0.214285714286,93,3.32142857143,116,369,13.1785714286,
George McGinnis,IND,1980-1981, 6-8,PF,30,69,1845,26.7391304348,348,768,.453,0,7,.000,207,385,.538,164,2.3768115942,364,5.27536231884,528,7.65217391304,210,3.04347826087,99,1.4347826087,28,0.405797101449,221,3.20289855072,242,903,13.0869565217,
George McGinnis,IND,1981-1982, 6-8,PF,31,76,1341,17.6447368421,141,378,.373,0,3,.000,72,159,.453,93,1.22368421053,305,4.01315789474,398,5.23684210526,204,2.68421052632,96,1.26315789474,28,0.368421052632,131,1.72368421053,198,354,4.65789473684,
