Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Gerald Wallace,SAC,2001-2002, 6-7,SF,19,54,430,7.96296296296,75,175,.429,0,7,.000,23,46,.500,49,0.907407407407,40,0.740740740741,89,1.64814814815,27,0.5,19,0.351851851852,6,0.111111111111,22,0.407407407407,46,173,3.2037037037,
Gerald Wallace,SAC,2002-2003, 6-7,SF,20,47,571,12.1489361702,90,183,.492,1,4,.250,39,74,.527,38,0.808510638298,90,1.91489361702,128,2.72340425532,23,0.489361702128,24,0.510638297872,15,0.31914893617,44,0.936170212766,68,220,4.68085106383,
Gerald Wallace,SAC,2003-2004, 6-7,SF,21,37,337,9.10810810811,32,89,.360,0,2,.000,11,24,.458,35,0.945945945946,39,1.05405405405,74,2.0,19,0.513513513514,14,0.378378378378,14,0.378378378378,8,0.216216216216,37,75,2.02702702703,
Gerald Wallace,CHA,2004-2005, 6-7,SF,22,70,2147,30.6714285714,286,637,.449,17,62,.274,191,289,.661,118,1.68571428571,268,3.82857142857,386,5.51428571429,137,1.95714285714,117,1.67142857143,91,1.3,159,2.27142857143,182,780,11.1428571429,
Gerald Wallace,CHA,2005-2006, 6-7,SF,23,55,1895,34.4545454545,317,589,.538,14,50,.280,188,306,.614,123,2.23636363636,289,5.25454545455,412,7.49090909091,96,1.74545454545,138,2.50909090909,115,2.09090909091,99,1.8,150,836,15.2,
Gerald Wallace,CHA,2006-2007, 6-7,SF,24,72,2640,36.6666666667,478,952,.502,39,120,.325,309,447,.691,142,1.97222222222,376,5.22222222222,518,7.19444444444,185,2.56944444444,144,2.0,69,0.958333333333,160,2.22222222222,209,1304,18.1111111111,
Gerald Wallace,CHA,2007-2008, 6-7,PF,25,62,2376,38.3225806452,408,908,.449,71,221,.321,313,428,.731,58,0.935483870968,315,5.08064516129,373,6.01612903226,216,3.48387096774,131,2.11290322581,58,0.935483870968,180,2.90322580645,189,1200,19.3548387097,
Gerald Wallace,CHA,2008-2009, 6-7,SF,26,71,2669,37.5915492958,389,811,.480,39,131,.298,365,454,.804,112,1.57746478873,441,6.21126760563,553,7.78873239437,189,2.66197183099,121,1.70422535211,67,0.943661971831,148,2.08450704225,210,1182,16.6478873239,
Gerald Wallace,CHA,2009-2010, 6-7,SF,27,76,3119,41.0394736842,456,943,.484,52,140,.371,422,544,.776,150,1.97368421053,612,8.05263157895,762,10.0263157895,161,2.11842105263,117,1.53947368421,83,1.09210526316,178,2.34210526316,194,1386,18.2368421053,
Gerald Wallace,TOT,2010-2011, 6-7,SF,28,71,2693,37.9295774648,386,851,.454,62,186,.333,279,374,.746,111,1.56338028169,458,6.45070422535,569,8.01408450704,173,2.43661971831,105,1.47887323944,63,0.887323943662,152,2.14084507042,183,1113,15.676056338,
Gerald Wallace,CHA,2010-2011, 6-7,SF,28,48,1872,39.0,252,582,.433,35,106,.330,210,284,.739,72,1.5,322,6.70833333333,394,8.20833333333,116,2.41666666667,59,1.22916666667,48,1.0,100,2.08333333333,120,749,15.6041666667,
Gerald Wallace,POR,2010-2011, 6-7,PF,28,23,821,35.6956521739,134,269,.498,27,80,.338,69,90,.767,39,1.69565217391,136,5.91304347826,175,7.60869565217,57,2.47826086957,46,2.0,15,0.652173913043,52,2.26086956522,63,364,15.8260869565,
Gerald Wallace,TOT,2011-2012, 6-7,SF,29,58,2076,35.7931034483,287,632,.454,46,150,.307,180,225,.800,87,1.5,299,5.15517241379,386,6.65517241379,164,2.8275862069,85,1.46551724138,36,0.620689655172,111,1.91379310345,145,800,13.7931034483,
Gerald Wallace,POR,2011-2012, 6-7,SF,29,42,1503,35.7857142857,203,430,.472,26,98,.265,125,161,.776,63,1.5,214,5.09523809524,277,6.59523809524,115,2.7380952381,62,1.47619047619,25,0.595238095238,84,2.0,107,557,13.2619047619,
Gerald Wallace,NJN,2011-2012, 6-7,SF,29,16,573,35.8125,84,202,.416,20,52,.385,55,64,.859,24,1.5,85,5.3125,109,6.8125,49,3.0625,23,1.4375,11,0.6875,27,1.6875,38,243,15.1875,
Gerald Wallace,BRK,2012-2013, 6-7,SF,30,55,1685,30.6363636364,155,385,.403,43,136,.316,108,167,.647,57,1.03636363636,224,4.07272727273,281,5.10909090909,143,2.6,73,1.32727272727,42,0.763636363636,92,1.67272727273,104,461,8.38181818182,
