Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Glen Combs,DLC,1968-1969, 6-2,PG,22,72,2241,31.125,364,868,.419,84,233,.361,300,394,.761,63,0.875,132,1.83333333333,195,2.70833333333,165,2.29166666667,.000,0.0,.000,0.0,158,2.19444444444,218,1112,15.4444444444,
Glen Combs,DLC,1969-1970, 6-2,PG,23,84,3260,38.8095238095,640,1474,.434,130,370,.351,458,548,.836,61,0.72619047619,228,2.71428571429,289,3.44047619048,342,4.07142857143,.000,0.0,.000,0.0,294,3.5,265,1868,22.2380952381,
Glen Combs,TOT,1970-1971, 6-2,SG,24,86,3204,37.2558139535,610,1372,.445,77,210,.367,448,546,.821,77,0.895348837209,215,2.5,292,3.39534883721,361,4.1976744186,.000,0.0,.000,0.0,256,2.97674418605,286,1745,20.2906976744,
Glen Combs,TEX,1970-1971, 6-2,SG,24,42,1605,38.2142857143,300,690,.435,46,129,.357,213,272,.783,36,0.857142857143,96,2.28571428571,132,3.14285714286,188,4.47619047619,.000,0.0,.000,0.0,132,3.14285714286,124,859,20.4523809524,
Glen Combs,UTS,1970-1971, 6-2,SG,24,44,1599,36.3409090909,310,682,.455,31,81,.383,235,274,.858,41,0.931818181818,119,2.70454545455,160,3.63636363636,173,3.93181818182,.000,0.0,.000,0.0,124,2.81818181818,162,886,20.1363636364,
Glen Combs,UTS,1971-1972, 6-2,SG,25,84,2906,34.5952380952,483,1109,.436,103,254,.406,319,380,.839,52,0.619047619048,163,1.94047619048,215,2.55952380952,306,3.64285714286,.000,0.0,.000,0.0,191,2.27380952381,255,1388,16.5238095238,
Glen Combs,UTS,1972-1973, 6-2,SG,26,50,1488,29.76,228,535,.426,51,134,.381,154,189,.815,21,0.42,63,1.26,84,1.68,138,2.76,.000,0.0,.000,0.0,90,1.8,142,661,13.22,
Glen Combs,TOT,1973-1974, 6-2,PG,27,76,1986,26.1315789474,304,696,.437,52,147,.354,156,212,.736,46,0.605263157895,98,1.28947368421,144,1.89473684211,304,4.0,52,0.684210526316,11,0.144736842105,146,1.92105263158,154,816,10.7368421053,
Glen Combs,UTS,1973-1974, 6-2,SG,27,37,617,16.6756756757,105,248,.423,24,68,.353,57,80,.713,18,0.486486486486,35,0.945945945946,53,1.43243243243,71,1.91891891892,16,0.432432432432,8,0.216216216216,44,1.18918918919,55,291,7.86486486486,
Glen Combs,MMT,1973-1974, 6-2,PG,27,39,1369,35.1025641026,199,448,.444,28,79,.354,99,132,.750,28,0.717948717949,63,1.61538461538,91,2.33333333333,233,5.97435897436,36,0.923076923077,3,0.0769230769231,102,2.61538461538,99,525,13.4615384615,
Glen Combs,VIR,1974-1975, 6-2,SG,28,13,190,14.6153846154,23,67,.343,6,21,.286,24,27,.889,5,0.384615384615,6,0.461538461538,11,0.846153846154,23,1.76923076923,4,0.307692307692,2,0.153846153846,16,1.23076923077,13,76,5.84615384615,
