Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Glenn Robinson,MIL,1994-1995, 6-7,SF,22,80,2958,36.975,636,1410,.451,86,268,.321,397,499,.796,169,2.1125,344,4.3,513,6.4125,197,2.4625,115,1.4375,22,0.275,313,3.9125,234,1755,21.9375,
Glenn Robinson,MIL,1995-1996, 6-7,SF,23,82,3249,39.6219512195,627,1382,.454,90,263,.342,316,389,.812,136,1.65853658537,368,4.48780487805,504,6.14634146341,293,3.57317073171,95,1.15853658537,42,0.512195121951,282,3.43902439024,236,1660,20.243902439,
Glenn Robinson,MIL,1996-1997, 6-7,SF,24,80,3114,38.925,669,1438,.465,63,180,.350,288,364,.791,130,1.625,372,4.65,502,6.275,248,3.1,103,1.2875,68,0.85,269,3.3625,225,1689,21.1125,
Glenn Robinson,MIL,1997-1998, 6-7,SF,25,56,2294,40.9642857143,534,1136,.470,25,65,.385,215,266,.808,82,1.46428571429,225,4.01785714286,307,5.48214285714,158,2.82142857143,69,1.23214285714,34,0.607142857143,200,3.57142857143,164,1308,23.3571428571,
Glenn Robinson,MIL,1998-1999, 6-7,SF,26,47,1579,33.5957446809,347,756,.459,31,79,.392,140,161,.870,73,1.55319148936,203,4.31914893617,276,5.87234042553,100,2.12765957447,46,0.978723404255,41,0.872340425532,106,2.25531914894,114,865,18.4042553191,
Glenn Robinson,MIL,1999-2000, 6-7,SF,27,81,2909,35.9135802469,690,1461,.472,86,237,.363,227,283,.802,107,1.32098765432,378,4.66666666667,485,5.98765432099,193,2.38271604938,78,0.962962962963,41,0.506172839506,223,2.75308641975,212,1693,20.9012345679,
Glenn Robinson,MIL,2000-2001, 6-7,SF,28,76,2813,37.0131578947,684,1460,.468,55,184,.299,251,306,.820,124,1.63157894737,402,5.28947368421,526,6.92105263158,252,3.31578947368,86,1.13157894737,62,0.815789473684,219,2.88157894737,191,1674,22.0263157895,
Glenn Robinson,MIL,2001-2002, 6-7,SF,29,66,2346,35.5454545455,536,1147,.467,58,178,.326,236,282,.837,70,1.06060606061,336,5.09090909091,406,6.15151515152,168,2.54545454545,97,1.4696969697,41,0.621212121212,174,2.63636363636,173,1366,20.696969697,
Glenn Robinson,ATL,2002-2003, 6-7,SF,30,69,2591,37.5507246377,539,1248,.432,90,263,.342,268,306,.876,86,1.24637681159,371,5.3768115942,457,6.6231884058,205,2.97101449275,91,1.31884057971,26,0.376811594203,248,3.59420289855,183,1436,20.8115942029,
Glenn Robinson,PHI,2003-2004, 6-7,SF,31,42,1336,31.8095238095,275,614,.448,34,100,.340,114,137,.832,46,1.09523809524,143,3.40476190476,189,4.5,57,1.35714285714,42,1.0,9,0.214285714286,106,2.52380952381,96,698,16.619047619,
Glenn Robinson,SAS,2004-2005, 6-7,SF,32,9,157,17.4444444444,34,77,.442,2,6,.333,20,23,.870,4,0.444444444444,20,2.22222222222,24,2.66666666667,8,0.888888888889,4,0.444444444444,3,0.333333333333,7,0.777777777778,19,90,10.0,
