Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Grant Hill,DET,1994-1995, 6-8,SF,22,70,2678,38.2571428571,508,1064,.477,4,27,.148,374,511,.732,125,1.78571428571,320,4.57142857143,445,6.35714285714,353,5.04285714286,124,1.77142857143,62,0.885714285714,202,2.88571428571,203,1394,19.9142857143,
Grant Hill,DET,1995-1996, 6-8,SF,23,80,3260,40.75,564,1221,.462,5,26,.192,485,646,.751,127,1.5875,656,8.2,783,9.7875,548,6.85,100,1.25,48,0.6,263,3.2875,242,1618,20.225,
Grant Hill,DET,1996-1997, 6-8,SF,24,80,3147,39.3375,625,1259,.496,10,33,.303,450,633,.711,123,1.5375,598,7.475,721,9.0125,583,7.2875,144,1.8,48,0.6,259,3.2375,186,1710,21.375,
Grant Hill,DET,1997-1998, 6-8,SF,25,81,3294,40.6666666667,615,1361,.452,3,21,.143,479,647,.740,93,1.14814814815,530,6.54320987654,623,7.69135802469,551,6.8024691358,143,1.76543209877,53,0.654320987654,285,3.51851851852,196,1712,21.1358024691,
Grant Hill,DET,1998-1999, 6-8,SF,26,50,1852,37.04,384,802,.479,0,14,.000,285,379,.752,65,1.3,290,5.8,355,7.1,300,6.0,80,1.6,27,0.54,184,3.68,114,1053,21.06,
Grant Hill,DET,1999-2000, 6-8,SF,27,74,2776,37.5135135135,696,1422,.489,34,98,.347,480,604,.795,97,1.31081081081,393,5.31081081081,490,6.62162162162,385,5.2027027027,103,1.39189189189,43,0.581081081081,240,3.24324324324,190,1906,25.7567567568,
Grant Hill,ORL,2000-2001, 6-8,SF,28,4,133,33.25,19,43,.442,1,1,1.000,16,26,.615,8,2.0,17,4.25,25,6.25,25,6.25,5,1.25,2,0.5,11,2.75,9,55,13.75,
Grant Hill,ORL,2001-2002, 6-8,SF,29,14,512,36.5714285714,83,195,.426,0,2,.000,69,80,.863,29,2.07142857143,96,6.85714285714,125,8.92857142857,64,4.57142857143,8,0.571428571429,4,0.285714285714,37,2.64285714286,40,235,16.7857142857,
Grant Hill,ORL,2002-2003, 6-8,SF,30,29,843,29.0689655172,151,307,.492,1,4,.250,118,144,.819,40,1.37931034483,166,5.72413793103,206,7.10344827586,122,4.20689655172,28,0.965517241379,13,0.448275862069,84,2.89655172414,46,421,14.5172413793,
Grant Hill,ORL,2004-2005, 6-8,SF,32,67,2338,34.8955223881,517,1015,.509,3,13,.231,280,341,.821,77,1.14925373134,241,3.59701492537,318,4.74626865672,220,3.28358208955,97,1.44776119403,28,0.417910447761,161,2.40298507463,144,1317,19.6567164179,
Grant Hill,ORL,2005-2006, 6-8,SF,33,21,613,29.1904761905,119,243,.490,2,8,.250,78,102,.765,15,0.714285714286,65,3.09523809524,80,3.80952380952,48,2.28571428571,24,1.14285714286,6,0.285714285714,35,1.66666666667,50,318,15.1428571429,
Grant Hill,ORL,2006-2007, 6-8,SG,34,65,2009,30.9076923077,342,660,.518,2,12,.167,248,324,.765,53,0.815384615385,184,2.83076923077,237,3.64615384615,138,2.12307692308,61,0.938461538462,25,0.384615384615,144,2.21538461538,146,934,14.3692307692,
Grant Hill,PHO,2007-2008, 6-8,SF,35,70,2222,31.7428571429,358,712,.503,33,104,.317,170,196,.867,74,1.05714285714,279,3.98571428571,353,5.04285714286,203,2.9,65,0.928571428571,56,0.8,96,1.37142857143,153,919,13.1285714286,
Grant Hill,PHO,2008-2009, 6-8,SF,36,82,2445,29.8170731707,390,745,.523,24,76,.316,181,224,.808,64,0.780487804878,341,4.15853658537,405,4.93902439024,186,2.26829268293,90,1.09756097561,54,0.658536585366,126,1.53658536585,182,985,12.012195122,
Grant Hill,PHO,2009-2010, 6-8,SF,37,81,2430,30.0,336,703,.478,35,80,.438,205,251,.817,74,0.913580246914,371,4.58024691358,445,5.49382716049,193,2.38271604938,60,0.740740740741,36,0.444444444444,108,1.33333333333,165,912,11.2592592593,
Grant Hill,PHO,2010-2011, 6-8,SF,38,80,2409,30.1125,399,825,.484,45,114,.395,213,257,.829,77,0.9625,261,3.2625,338,4.225,200,2.5,64,0.8,35,0.4375,134,1.675,184,1056,13.2,
Grant Hill,PHO,2011-2012, 6-8,SF,39,49,1378,28.1224489796,201,451,.446,14,53,.264,83,109,.761,29,0.591836734694,142,2.89795918367,171,3.48979591837,107,2.18367346939,41,0.836734693878,29,0.591836734694,65,1.32653061224,88,499,10.1836734694,
Grant Hill,LAC,2012-2013, 6-8,SF,40,24,387,16.125,34,87,.391,2,9,.222,14,23,.609,5,0.208333333333,38,1.58333333333,43,1.79166666667,24,1.0,10,0.416666666667,5,0.208333333333,22,0.916666666667,36,84,3.5,
