Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Greg Buckner,DAL,1999-2000, 6-4,SG,23,48,923,19.2291666667,111,233,.476,10,26,.385,43,63,.683,56,1.16666666667,118,2.45833333333,174,3.625,55,1.14583333333,38,0.791666666667,20,0.416666666667,36,0.75,148,275,5.72916666667,
Greg Buckner,DAL,2000-2001, 6-4,SG,24,37,820,22.1621621622,84,192,.438,2,7,.286,59,81,.728,60,1.62162162162,97,2.62162162162,157,4.24324324324,49,1.32432432432,33,0.891891891892,9,0.243243243243,27,0.72972972973,118,229,6.18918918919,
Greg Buckner,DAL,2001-2002, 6-4,SG,25,44,885,20.1136363636,104,198,.525,5,16,.313,40,58,.690,67,1.52272727273,106,2.40909090909,173,3.93181818182,48,1.09090909091,31,0.704545454545,19,0.431818181818,27,0.613636363636,124,253,5.75,
Greg Buckner,PHI,2002-2003, 6-4,SG,26,75,1514,20.1866666667,185,398,.465,15,55,.273,65,81,.802,72,0.96,144,1.92,216,2.88,96,1.28,72,0.96,16,0.213333333333,62,0.826666666667,203,450,6.0,
Greg Buckner,PHI,2003-2004, 6-4,SG,27,53,703,13.2641509434,66,175,.377,12,44,.273,20,27,.741,28,0.528301886792,75,1.41509433962,103,1.94339622642,45,0.849056603774,21,0.396226415094,4,0.0754716981132,34,0.641509433962,77,164,3.09433962264,
Greg Buckner,DEN,2004-2005, 6-4,SG,28,70,1522,21.7428571429,160,303,.528,49,121,.405,63,81,.778,66,0.942857142857,142,2.02857142857,208,2.97142857143,133,1.9,75,1.07142857143,6,0.0857142857143,49,0.7,169,432,6.17142857143,
Greg Buckner,DEN,2005-2006, 6-4,SG,29,73,1758,24.0821917808,181,417,.434,86,243,.354,43,55,.782,31,0.424657534247,178,2.43835616438,209,2.86301369863,127,1.7397260274,87,1.19178082192,20,0.27397260274,52,0.712328767123,180,491,6.72602739726,
Greg Buckner,DAL,2006-2007, 6-4,SG,30,76,1372,18.0526315789,123,299,.411,32,103,.311,27,34,.794,35,0.460526315789,123,1.61842105263,158,2.07894736842,70,0.921052631579,47,0.618421052632,7,0.0921052631579,40,0.526315789474,152,305,4.01315789474,
Greg Buckner,MIN,2007-2008, 6-4,SG,31,31,520,16.7741935484,45,117,.385,15,50,.300,19,22,.864,10,0.322580645161,55,1.77419354839,65,2.09677419355,39,1.25806451613,21,0.677419354839,2,0.0645161290323,29,0.935483870968,63,124,4.0,
Greg Buckner,MEM,2008-2009, 6-4,SF,32,63,878,13.9365079365,61,159,.384,13,51,.255,20,25,.800,32,0.507936507937,98,1.55555555556,130,2.06349206349,57,0.904761904762,29,0.460317460317,8,0.126984126984,38,0.603174603175,108,155,2.46031746032,
