Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Greg Foster,WSB,1990-1991, 6-11,PF,22,54,606,11.2222222222,97,211,.460,0,5,.000,42,61,.689,52,0.962962962963,99,1.83333333333,151,2.7962962963,37,0.685185185185,12,0.222222222222,22,0.407407407407,45,0.833333333333,112,236,4.37037037037,
Greg Foster,WSB,1991-1992, 6-11,PF,23,49,548,11.1836734694,89,193,.461,0,1,.000,35,49,.714,43,0.877551020408,102,2.08163265306,145,2.95918367347,35,0.714285714286,6,0.122448979592,12,0.244897959184,36,0.734693877551,83,213,4.34693877551,
Greg Foster,TOT,1992-1993, 6-11,PF,24,43,298,6.93023255814,55,120,.458,0,4,.000,15,21,.714,32,0.744186046512,51,1.18604651163,83,1.93023255814,21,0.488372093023,3,0.0697674418605,14,0.325581395349,25,0.581395348837,58,125,2.90697674419,
Greg Foster,WSB,1992-1993, 6-11,PF,24,10,93,9.3,11,25,.440,0,0,.000,2,3,.667,8,0.8,19,1.9,27,2.7,11,1.1,0,0.0,5,0.5,9,0.9,17,24,2.4,
Greg Foster,ATL,1992-1993, 6-11,PF,24,33,205,6.21212121212,44,95,.463,0,4,.000,13,18,.722,24,0.727272727273,32,0.969696969697,56,1.69696969697,10,0.30303030303,3,0.0909090909091,9,0.272727272727,16,0.484848484848,41,101,3.06060606061,
Greg Foster,MIL,1993-1994, 6-11,PF,25,3,19,6.33333333333,4,7,.571,0,0,.000,2,2,1.000,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,1,0.333333333333,1,0.333333333333,3,10,3.33333333333,
Greg Foster,TOT,1994-1995, 6-11,PF,26,78,1144,14.6666666667,150,318,.472,7,23,.304,78,111,.703,85,1.08974358974,174,2.23076923077,259,3.32051282051,39,0.5,15,0.192307692308,28,0.358974358974,71,0.910256410256,183,385,4.9358974359,
Greg Foster,CHI,1994-1995, 6-11,PF,26,17,299,17.5882352941,41,86,.477,0,0,.000,22,31,.710,18,1.05882352941,36,2.11764705882,54,3.17647058824,16,0.941176470588,2,0.117647058824,8,0.470588235294,17,1.0,54,104,6.11764705882,
Greg Foster,MIN,1994-1995, 6-11,PF,26,61,845,13.8524590164,109,232,.470,7,23,.304,56,80,.700,67,1.09836065574,138,2.26229508197,205,3.3606557377,23,0.377049180328,13,0.213114754098,20,0.327868852459,54,0.885245901639,129,281,4.60655737705,
Greg Foster,UTA,1995-1996, 6-11,C,27,73,803,11.0,107,244,.439,1,8,.125,61,72,.847,53,0.72602739726,125,1.71232876712,178,2.43835616438,25,0.342465753425,7,0.0958904109589,22,0.301369863014,58,0.794520547945,120,276,3.78082191781,
Greg Foster,UTA,1996-1997, 6-11,C,28,79,920,11.6455696203,111,245,.453,2,3,.667,54,65,.831,56,0.708860759494,131,1.6582278481,187,2.36708860759,31,0.392405063291,10,0.126582278481,20,0.253164556962,54,0.683544303797,145,278,3.51898734177,
Greg Foster,UTA,1997-1998, 6-11,C,29,78,1446,18.5384615385,186,418,.445,2,9,.222,67,87,.770,85,1.08974358974,188,2.41025641026,273,3.5,51,0.653846153846,15,0.192307692308,28,0.358974358974,68,0.871794871795,187,441,5.65384615385,
Greg Foster,UTA,1998-1999, 6-11,PF,30,42,458,10.9047619048,52,138,.377,1,4,.250,13,21,.619,28,0.666666666667,55,1.30952380952,83,1.97619047619,25,0.595238095238,6,0.142857142857,8,0.190476190476,24,0.571428571429,63,118,2.80952380952,
Greg Foster,SEA,1999-2000, 6-11,PF,31,60,718,11.9666666667,91,224,.406,3,15,.200,18,28,.643,16,0.266666666667,91,1.51666666667,107,1.78333333333,41,0.683333333333,10,0.166666666667,18,0.3,28,0.466666666667,105,203,3.38333333333,
Greg Foster,LAL,2000-2001, 6-11,C,32,62,451,7.27419354839,56,133,.421,3,9,.333,10,14,.714,29,0.467741935484,83,1.33870967742,112,1.8064516129,32,0.516129032258,9,0.145161290323,12,0.193548387097,25,0.403225806452,76,125,2.01612903226,
Greg Foster,MIL,2001-2002, 6-11,PF,33,6,24,4.0,2,9,.222,0,4,.000,3,4,.750,0,0.0,8,1.33333333333,8,1.33333333333,1,0.166666666667,0,0.0,0,0.0,0,0.0,4,7,1.16666666667,
Greg Foster,TOR,2002-2003, 6-11,C,34,29,539,18.5862068966,47,122,.385,1,4,.250,26,32,.813,30,1.03448275862,72,2.48275862069,102,3.51724137931,13,0.448275862069,1,0.0344827586207,9,0.310344827586,30,1.03448275862,82,121,4.1724137931,
