Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Greg Kite,BOS,1983-1984, 6-11,C,22,35,197,5.62857142857,30,66,.455,0,0,.000,5,16,.313,27,0.771428571429,35,1.0,62,1.77142857143,7,0.2,1,0.0285714285714,5,0.142857142857,20,0.571428571429,42,65,1.85714285714,
Greg Kite,BOS,1984-1985, 6-11,C,23,55,424,7.70909090909,33,88,.375,0,0,.000,22,32,.688,38,0.690909090909,51,0.927272727273,89,1.61818181818,17,0.309090909091,3,0.0545454545455,10,0.181818181818,29,0.527272727273,84,88,1.6,
Greg Kite,BOS,1985-1986, 6-11,C,24,64,464,7.25,34,91,.374,0,1,.000,15,39,.385,35,0.546875,93,1.453125,128,2.0,17,0.265625,3,0.046875,28,0.4375,32,0.5,81,83,1.296875,
Greg Kite,BOS,1986-1987, 6-11,C,25,74,745,10.0675675676,47,110,.427,0,1,.000,29,76,.382,61,0.824324324324,108,1.45945945946,169,2.28378378378,27,0.364864864865,17,0.22972972973,46,0.621621621622,34,0.459459459459,148,123,1.66216216216,
Greg Kite,TOT,1987-1988, 6-11,C,26,53,1063,20.0566037736,92,205,.449,0,1,.000,40,79,.506,85,1.60377358491,179,3.37735849057,264,4.98113207547,47,0.88679245283,19,0.358490566038,58,1.09433962264,73,1.37735849057,153,224,4.22641509434,
Greg Kite,BOS,1987-1988, 6-11,C,26,13,86,6.61538461538,9,23,.391,0,0,.000,1,6,.167,10,0.769230769231,14,1.07692307692,24,1.84615384615,2,0.153846153846,3,0.230769230769,8,0.615384615385,9,0.692307692308,16,19,1.46153846154,
Greg Kite,LAC,1987-1988, 6-11,C,26,40,977,24.425,83,182,.456,0,1,.000,39,73,.534,75,1.875,165,4.125,240,6.0,45,1.125,16,0.4,50,1.25,64,1.6,137,205,5.125,
Greg Kite,TOT,1988-1989, 6-11,C,27,70,942,13.4571428571,65,151,.430,0,0,.000,20,41,.488,81,1.15714285714,162,2.31428571429,243,3.47142857143,36,0.514285714286,27,0.385714285714,54,0.771428571429,58,0.828571428571,161,150,2.14285714286,
Greg Kite,LAC,1988-1989, 6-11,C,27,58,729,12.5689655172,49,121,.405,0,0,.000,14,31,.452,66,1.13793103448,124,2.13793103448,190,3.27586206897,29,0.5,23,0.396551724138,46,0.793103448276,46,0.793103448276,118,112,1.93103448276,
Greg Kite,CHH,1988-1989, 6-11,C,27,12,213,17.75,16,30,.533,0,0,.000,6,10,.600,15,1.25,38,3.16666666667,53,4.41666666667,7,0.583333333333,4,0.333333333333,8,0.666666666667,12,1.0,43,38,3.16666666667,
Greg Kite,SAC,1989-1990, 6-11,C,28,71,1515,21.338028169,101,234,.432,1,1,1.000,27,54,.500,131,1.84507042254,246,3.46478873239,377,5.30985915493,76,1.07042253521,31,0.43661971831,51,0.718309859155,76,1.07042253521,201,230,3.23943661972,
Greg Kite,ORL,1990-1991, 6-11,C,29,82,2225,27.1341463415,166,338,.491,0,0,.000,63,123,.512,189,2.30487804878,399,4.86585365854,588,7.17073170732,59,0.719512195122,25,0.30487804878,81,0.987804878049,102,1.24390243902,298,395,4.81707317073,
Greg Kite,ORL,1991-1992, 6-11,C,30,72,1479,20.5416666667,94,215,.437,0,1,.000,40,68,.588,156,2.16666666667,246,3.41666666667,402,5.58333333333,44,0.611111111111,30,0.416666666667,57,0.791666666667,61,0.847222222222,212,228,3.16666666667,
Greg Kite,ORL,1992-1993, 6-11,C,31,64,640,10.0,38,84,.452,0,1,.000,13,24,.542,66,1.03125,127,1.984375,193,3.015625,10,0.15625,13,0.203125,12,0.1875,35,0.546875,133,89,1.390625,
Greg Kite,ORL,1993-1994, 6-11,C,32,29,309,10.6551724138,13,35,.371,0,0,.000,8,22,.364,22,0.758620689655,48,1.65517241379,70,2.41379310345,4,0.137931034483,2,0.0689655172414,12,0.413793103448,17,0.586206896552,61,34,1.1724137931,
Greg Kite,TOT,1994-1995, 6-11,C,33,11,77,7.0,3,17,.176,0,0,.000,2,10,.200,12,1.09090909091,10,0.909090909091,22,2.0,1,0.0909090909091,0,0.0,0,0.0,6,0.545454545455,15,8,0.727272727273,
Greg Kite,NYK,1994-1995, 6-11,C,33,2,16,8.0,0,3,.000,0,0,.000,0,0,.000,2,1.0,2,1.0,4,2.0,0,0.0,0,0.0,0,0.0,1,0.5,2,0,0.0,
Greg Kite,IND,1994-1995, 6-11,C,33,9,61,6.77777777778,3,14,.214,0,0,.000,2,10,.200,10,1.11111111111,8,0.888888888889,18,2.0,1,0.111111111111,0,0.0,0,0.0,5,0.555555555556,13,8,0.888888888889,
