Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Gus Gerard,SSL,1974-1975, 6-8,SF,21,84,2702,32.1666666667,554,1220,.454,1,6,.167,206,279,.738,282,3.35714285714,373,4.44047619048,655,7.79761904762,189,2.25,63,0.75,111,1.32142857143,207,2.46428571429,274,1315,15.6547619048,
Gus Gerard,TOT,1975-1976, 6-8,SF,22,82,1727,21.0609756098,332,795,.418,4,9,.444,175,238,.735,141,1.71951219512,296,3.60975609756,437,5.32926829268,147,1.79268292683,69,0.841463414634,72,0.878048780488,186,2.26829268293,238,843,10.2804878049,
Gus Gerard,SSL,1975-1976, 6-8,SF,22,22,542,24.6363636364,92,242,.380,1,2,.500,64,80,.800,47,2.13636363636,89,4.04545454545,136,6.18181818182,25,1.13636363636,18,0.818181818182,18,0.818181818182,45,2.04545454545,69,249,11.3181818182,
Gus Gerard,DNA,1975-1976, 6-8,SF,22,60,1185,19.75,240,553,.434,3,7,.429,111,158,.703,94,1.56666666667,207,3.45,301,5.01666666667,122,2.03333333333,51,0.85,54,0.9,141,2.35,169,594,9.9,
Gus Gerard,TOT,1976-1977, 6-8,SF,23,65,1048,16.1230769231,201,454,.443,.000,.000,.000,78,117,.667,89,1.36923076923,128,1.96923076923,217,3.33846153846,92,1.41538461538,44,0.676923076923,62,0.953846153846,.000,0.0,164,480,7.38461538462,
Gus Gerard,DEN,1976-1977, 6-8,SF,23,24,456,19.0,101,210,.481,.000,.000,.000,38,56,.679,38,1.58333333333,62,2.58333333333,100,4.16666666667,49,2.04166666667,21,0.875,30,1.25,.000,0.0,73,240,10.0,
Gus Gerard,BUF,1976-1977, 6-8,SF,23,41,592,14.4390243902,100,244,.410,.000,.000,.000,40,61,.656,51,1.24390243902,66,1.60975609756,117,2.85365853659,43,1.0487804878,23,0.560975609756,32,0.780487804878,.000,0.0,91,240,5.85365853659,
Gus Gerard,TOT,1977-1978, 6-8,SF,24,57,890,15.6140350877,170,395,.430,.000,.000,.000,75,108,.694,55,0.964912280702,105,1.84210526316,160,2.80701754386,53,0.929824561404,36,0.631578947368,25,0.438596491228,61,1.0701754386,109,415,7.28070175439,
Gus Gerard,BUF,1977-1978, 6-8,SF,24,10,85,8.5,16,40,.400,.000,.000,.000,11,15,.733,6,0.6,8,0.8,14,1.4,9,0.9,2,0.2,3,0.3,7,0.7,13,43,4.3,
Gus Gerard,DET,1977-1978, 6-8,SF,24,47,805,17.1276595745,154,355,.434,.000,.000,.000,64,93,.688,49,1.04255319149,97,2.06382978723,146,3.10638297872,44,0.936170212766,34,0.723404255319,22,0.468085106383,54,1.14893617021,96,372,7.91489361702,
Gus Gerard,TOT,1978-1979, 6-8,SF,25,58,465,8.01724137931,84,194,.433,.000,.000,.000,50,91,.549,40,0.689655172414,58,1.0,98,1.68965517241,21,0.362068965517,20,0.344827586207,13,0.224137931034,36,0.620689655172,74,218,3.75862068966,
Gus Gerard,DET,1978-1979, 6-8,SF,25,2,6,3.0,1,3,.333,.000,.000,.000,1,2,.500,1,0.5,0,0.0,1,0.5,0,0.0,2,1.0,0,0.0,0,0.0,0,3,1.5,
Gus Gerard,KCK,1978-1979, 6-8,SF,25,56,459,8.19642857143,83,191,.435,.000,.000,.000,49,89,.551,39,0.696428571429,58,1.03571428571,97,1.73214285714,21,0.375,18,0.321428571429,13,0.232142857143,36,0.642857142857,74,215,3.83928571429,
Gus Gerard,KCK,1979-1980, 6-8,SF,26,73,869,11.904109589,159,348,.457,1,3,.333,66,100,.660,77,1.05479452055,100,1.3698630137,177,2.42465753425,43,0.58904109589,41,0.561643835616,26,0.356164383562,49,0.671232876712,96,385,5.27397260274,
Gus Gerard,TOT,1980-1981, 6-8,SF,27,27,252,9.33333333333,41,111,.369,0,4,.000,27,40,.675,30,1.11111111111,37,1.37037037037,67,2.48148148148,15,0.555555555556,10,0.37037037037,9,0.333333333333,15,0.555555555556,41,109,4.03703703704,
Gus Gerard,KCK,1980-1981, 6-8,SF,27,16,123,7.6875,19,51,.373,0,3,.000,19,29,.655,13,0.8125,16,1.0,29,1.8125,6,0.375,3,0.1875,6,0.375,7,0.4375,24,57,3.5625,
Gus Gerard,SAS,1980-1981, 6-8,SF,27,11,129,11.7272727273,22,60,.367,0,1,.000,8,11,.727,17,1.54545454545,21,1.90909090909,38,3.45454545455,9,0.818181818182,7,0.636363636364,3,0.272727272727,8,0.727272727273,17,52,4.72727272727,
