Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Gus Johnson,BAL,1963-1964, 6-6,PF,25,78,2847,36.5,571,1329,.430,.000,.000,.000,210,319,.658,.000,0.0,.000,0.0,1064,13.641025641,169,2.16666666667,.000,0.0,.000,0.0,.000,0.0,321,1352,17.3333333333,
Gus Johnson,BAL,1964-1965, 6-6,SF,26,76,2899,38.1447368421,577,1379,.418,.000,.000,.000,261,386,.676,.000,0.0,.000,0.0,988,13.0,270,3.55263157895,.000,0.0,.000,0.0,.000,0.0,258,1415,18.6184210526,
Gus Johnson,BAL,1965-1966, 6-6,SF,27,42,1284,30.5714285714,273,661,.413,.000,.000,.000,131,178,.736,.000,0.0,.000,0.0,546,13.0,114,2.71428571429,.000,0.0,.000,0.0,.000,0.0,136,677,16.119047619,
Gus Johnson,BAL,1966-1967, 6-6,SF,28,73,2626,35.9726027397,620,1377,.450,.000,.000,.000,271,383,.708,.000,0.0,.000,0.0,855,11.7123287671,194,2.65753424658,.000,0.0,.000,0.0,.000,0.0,281,1511,20.698630137,
Gus Johnson,BAL,1967-1968, 6-6,SF,29,60,2271,37.85,482,1033,.467,.000,.000,.000,180,270,.667,.000,0.0,.000,0.0,782,13.0333333333,159,2.65,.000,0.0,.000,0.0,.000,0.0,223,1144,19.0666666667,
Gus Johnson,BAL,1968-1969, 6-6,PF,30,49,1671,34.1020408163,359,782,.459,.000,.000,.000,160,223,.717,.000,0.0,.000,0.0,568,11.5918367347,97,1.97959183673,.000,0.0,.000,0.0,.000,0.0,176,878,17.9183673469,
Gus Johnson,BAL,1969-1970, 6-6,PF,31,78,2919,37.4230769231,578,1282,.451,.000,.000,.000,197,272,.724,.000,0.0,.000,0.0,1086,13.9230769231,264,3.38461538462,.000,0.0,.000,0.0,.000,0.0,269,1353,17.3461538462,
Gus Johnson,BAL,1970-1971, 6-6,PF,32,66,2538,38.4545454545,494,1090,.453,.000,.000,.000,214,290,.738,.000,0.0,.000,0.0,1128,17.0909090909,192,2.90909090909,.000,0.0,.000,0.0,.000,0.0,227,1202,18.2121212121,
Gus Johnson,BAL,1971-1972, 6-6,PF,33,39,668,17.1282051282,103,269,.383,.000,.000,.000,43,63,.683,.000,0.0,.000,0.0,226,5.79487179487,51,1.30769230769,.000,0.0,.000,0.0,.000,0.0,91,249,6.38461538462,
Gus Johnson,TOT,1972-1973, 6-6,
   <td align="right" >71,34,71,1170,16.4788732394,201,480,.419,4,21,.190,56,78,.718,85,1.19718309859,296,4.16901408451,381,5.3661971831,93,1.30985915493,.000,0.0,.000,0.0,70,0.985915492958,168,462,6.50704225352,
Gus Johnson,PHO,1972-1973, 6-6,PF,34,21,417,19.8571428571,69,181,.381,.000,.000,.000,25,36,.694,.000,0.0,.000,0.0,136,6.47619047619,31,1.47619047619,.000,0.0,.000,0.0,.000,0.0,55,163,7.7619047619,
Gus Johnson,INA,1972-1973, 6-6,SF,34,50,753,15.06,132,299,.441,4,21,.190,31,42,.738,85,1.7,160,3.2,245,4.9,62,1.24,.000,0.0,.000,0.0,70,1.4,113,299,5.98,
