Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Hakim Warrick,MEM,2005-2006, 6-9,PF,23,68,724,10.6470588235,101,228,.443,0,0,.000,76,115,.661,43,0.632352941176,101,1.48529411765,144,2.11764705882,30,0.441176470588,14,0.205882352941,21,0.308823529412,56,0.823529411765,113,278,4.08823529412,
Hakim Warrick,MEM,2006-2007, 6-9,PF,24,82,2152,26.243902439,373,712,.524,0,8,.000,299,388,.771,130,1.58536585366,290,3.53658536585,420,5.12195121951,75,0.914634146341,43,0.524390243902,30,0.365853658537,161,1.96341463415,232,1045,12.743902439,
Hakim Warrick,MEM,2007-2008, 6-9,PF,25,75,1754,23.3866666667,328,653,.502,13,48,.271,183,260,.704,123,1.64,233,3.10666666667,356,4.74666666667,53,0.706666666667,36,0.48,28,0.373333333333,85,1.13333333333,156,852,11.36,
Hakim Warrick,MEM,2008-2009, 6-9,PF,26,82,2029,24.743902439,340,693,.491,5,23,.217,266,374,.711,129,1.57317073171,277,3.37804878049,406,4.9512195122,66,0.80487804878,48,0.585365853659,39,0.475609756098,98,1.19512195122,170,951,11.5975609756,
Hakim Warrick,TOT,2009-2010, 6-9,PF,27,76,1557,20.4868421053,265,550,.482,1,7,.143,202,274,.737,127,1.67105263158,187,2.46052631579,314,4.13157894737,52,0.684210526316,24,0.315789473684,18,0.236842105263,80,1.05263157895,126,733,9.64473684211,
Hakim Warrick,MIL,2009-2010, 6-9,PF,27,48,1024,21.3333333333,182,378,.481,1,6,.167,125,172,.727,87,1.8125,125,2.60416666667,212,4.41666666667,35,0.729166666667,17,0.354166666667,10,0.208333333333,57,1.1875,83,490,10.2083333333,
Hakim Warrick,CHI,2009-2010, 6-9,PF,27,28,533,19.0357142857,83,172,.483,0,1,.000,77,102,.755,40,1.42857142857,62,2.21428571429,102,3.64285714286,17,0.607142857143,7,0.25,8,0.285714285714,23,0.821428571429,43,243,8.67857142857,
Hakim Warrick,PHO,2010-2011, 6-9,PF,28,80,1416,17.7,228,446,.511,1,11,.091,212,294,.721,88,1.1,208,2.6,296,3.7,69,0.8625,32,0.4,9,0.1125,79,0.9875,100,669,8.3625,
Hakim Warrick,PHO,2011-2012, 6-9,PF,29,35,503,14.3714285714,74,180,.411,1,10,.100,76,99,.768,31,0.885714285714,61,1.74285714286,92,2.62857142857,30,0.857142857143,8,0.228571428571,3,0.0857142857143,36,1.02857142857,35,225,6.42857142857,
Hakim Warrick,TOT,2012-2013, 6-9,PF,30,28,489,17.4642857143,67,165,.406,0,3,.000,60,88,.682,21,0.75,68,2.42857142857,89,3.17857142857,25,0.892857142857,13,0.464285714286,6,0.214285714286,29,1.03571428571,37,194,6.92857142857,
Hakim Warrick,NOH,2012-2013, 6-9,PF,30,1,7,7.0,1,2,.500,0,0,.000,2,2,1.000,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,4,4.0,
Hakim Warrick,CHA,2012-2013, 6-9,PF,30,27,482,17.8518518519,66,163,.405,0,3,.000,58,86,.674,21,0.777777777778,68,2.51851851852,89,3.2962962963,25,0.925925925926,12,0.444444444444,6,0.222222222222,29,1.07407407407,37,190,7.03703703704,
