Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Harry Gallatin,NYK,1948-1949, 6-6,,21,52,.000,0.0,157,479,.328,.000,.000,.000,120,169,.710,.000,0.0,.000,0.0,.000,0.0,63,1.21153846154,.000,0.0,.000,0.0,.000,0.0,127,434,8.34615384615,
Harry Gallatin,NYK,1949-1950, 6-6,,22,68,.000,0.0,263,664,.396,.000,.000,.000,277,366,.757,.000,0.0,.000,0.0,.000,0.0,56,0.823529411765,.000,0.0,.000,0.0,.000,0.0,215,803,11.8088235294,
Harry Gallatin,NYK,1950-1951, 6-6,,23,66,.000,0.0,293,705,.416,.000,.000,.000,259,354,.732,.000,0.0,.000,0.0,800,12.1212121212,180,2.72727272727,.000,0.0,.000,0.0,.000,0.0,244,845,12.803030303,
Harry Gallatin,NYK,1951-1952, 6-6,PF,24,66,1931,29.2575757576,233,527,.442,.000,.000,.000,275,341,.806,.000,0.0,.000,0.0,661,10.0151515152,115,1.74242424242,.000,0.0,.000,0.0,.000,0.0,223,741,11.2272727273,
Harry Gallatin,NYK,1952-1953, 6-6,PF,25,70,2333,33.3285714286,282,635,.444,.000,.000,.000,301,430,.700,.000,0.0,.000,0.0,916,13.0857142857,126,1.8,.000,0.0,.000,0.0,.000,0.0,224,865,12.3571428571,
Harry Gallatin,NYK,1953-1954, 6-6,PF,26,72,2690,37.3611111111,258,639,.404,.000,.000,.000,433,552,.784,.000,0.0,.000,0.0,1098,15.25,153,2.125,.000,0.0,.000,0.0,.000,0.0,208,949,13.1805555556,
Harry Gallatin,NYK,1954-1955, 6-6,PF,27,72,2548,35.3888888889,330,859,.384,.000,.000,.000,393,483,.814,.000,0.0,.000,0.0,995,13.8194444444,176,2.44444444444,.000,0.0,.000,0.0,.000,0.0,206,1053,14.625,
Harry Gallatin,NYK,1955-1956, 6-6,SF,28,72,2378,33.0277777778,322,834,.386,.000,.000,.000,358,455,.787,.000,0.0,.000,0.0,740,10.2777777778,168,2.33333333333,.000,0.0,.000,0.0,.000,0.0,220,1002,13.9166666667,
Harry Gallatin,NYK,1956-1957, 6-6,PF,29,72,1943,26.9861111111,332,817,.406,.000,.000,.000,415,519,.800,.000,0.0,.000,0.0,725,10.0694444444,85,1.18055555556,.000,0.0,.000,0.0,.000,0.0,202,1079,14.9861111111,
Harry Gallatin,DET,1957-1958, 6-6,PF,30,72,1990,27.6388888889,340,898,.379,.000,.000,.000,392,498,.787,.000,0.0,.000,0.0,749,10.4027777778,86,1.19444444444,.000,0.0,.000,0.0,.000,0.0,217,1072,14.8888888889,
