Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Harvey Grant,WSB,1988-1989, 6-8,PF,23,71,1193,16.8028169014,181,390,.464,0,1,.000,34,57,.596,75,1.05633802817,88,1.23943661972,163,2.29577464789,79,1.11267605634,35,0.492957746479,29,0.408450704225,28,0.394366197183,147,396,5.57746478873,
Harvey Grant,WSB,1989-1990, 6-8,PF,24,81,1846,22.7901234568,284,601,.473,0,8,.000,96,137,.701,138,1.7037037037,204,2.51851851852,342,4.22222222222,131,1.61728395062,52,0.641975308642,43,0.530864197531,85,1.04938271605,194,664,8.1975308642,
Harvey Grant,WSB,1990-1991, 6-8,PF,25,77,2842,36.9090909091,609,1224,.498,2,15,.133,185,249,.743,179,2.32467532468,378,4.90909090909,557,7.23376623377,204,2.64935064935,91,1.18181818182,61,0.792207792208,125,1.62337662338,232,1405,18.2467532468,
Harvey Grant,WSB,1991-1992, 6-8,SF,26,64,2388,37.3125,489,1022,.478,1,8,.125,176,220,.800,157,2.453125,275,4.296875,432,6.75,170,2.65625,74,1.15625,27,0.421875,109,1.703125,178,1155,18.046875,
Harvey Grant,WSB,1992-1993, 6-8,SF,27,72,2667,37.0416666667,560,1149,.487,1,10,.100,218,300,.727,133,1.84722222222,279,3.875,412,5.72222222222,205,2.84722222222,72,1.0,44,0.611111111111,90,1.25,168,1339,18.5972222222,
Harvey Grant,POR,1993-1994, 6-8,SF,28,77,2112,27.4285714286,356,774,.460,2,7,.286,84,131,.641,109,1.41558441558,242,3.14285714286,351,4.55844155844,107,1.38961038961,70,0.909090909091,49,0.636363636364,56,0.727272727273,179,798,10.3636363636,
Harvey Grant,POR,1994-1995, 6-8,PF,29,75,1771,23.6133333333,286,621,.461,8,26,.308,103,146,.705,103,1.37333333333,181,2.41333333333,284,3.78666666667,82,1.09333333333,56,0.746666666667,53,0.706666666667,62,0.826666666667,163,683,9.10666666667,
Harvey Grant,POR,1995-1996, 6-8,PF,30,76,2394,31.5,314,679,.462,21,67,.313,60,110,.545,117,1.53947368421,244,3.21052631579,361,4.75,111,1.46052631579,60,0.789473684211,43,0.565789473684,82,1.07894736842,173,709,9.32894736842,
Harvey Grant,WSB,1996-1997, 6-8,PF,31,78,1604,20.5641025641,129,314,.411,28,89,.315,30,39,.769,63,0.807692307692,193,2.47435897436,256,3.28205128205,68,0.871794871795,46,0.589743589744,48,0.615384615385,30,0.384615384615,167,316,4.05128205128,
Harvey Grant,WAS,1997-1998, 6-8,SF,32,65,895,13.7692307692,75,196,.383,1,6,.167,19,30,.633,60,0.923076923077,108,1.66153846154,168,2.58461538462,39,0.6,23,0.353846153846,15,0.230769230769,26,0.4,94,170,2.61538461538,
Harvey Grant,PHI,1998-1999, 6-8,PF,33,47,798,16.9787234043,62,168,.369,1,6,.167,21,29,.724,36,0.765957446809,74,1.57446808511,110,2.34042553191,23,0.489361702128,20,0.425531914894,16,0.340425531915,21,0.446808510638,73,146,3.10638297872,
