Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Hedo Turkoglu,SAC,2000-2001, 6-10,SF,21,74,1245,16.8243243243,138,335,.412,28,86,.326,87,112,.777,49,0.662162162162,161,2.17567567568,210,2.83783783784,69,0.932432432432,52,0.702702702703,24,0.324324324324,55,0.743243243243,139,391,5.28378378378,
Hedo Turkoglu,SAC,2001-2002, 6-10,SF,22,80,1970,24.625,290,687,.422,63,171,.368,167,230,.726,63,0.7875,300,3.75,363,4.5375,163,2.0375,57,0.7125,31,0.3875,81,1.0125,184,810,10.125,
Hedo Turkoglu,SAC,2002-2003, 6-10,SF,23,67,1175,17.5373134328,165,391,.422,29,78,.372,88,110,.800,35,0.522388059701,153,2.28358208955,188,2.80597014925,87,1.29850746269,25,0.373134328358,12,0.179104477612,50,0.746268656716,125,447,6.67164179104,
Hedo Turkoglu,SAS,2003-2004, 6-10,SF,24,80,2073,25.9125,262,645,.406,101,241,.419,114,161,.708,52,0.65,306,3.825,358,4.475,154,1.925,80,1.0,32,0.4,94,1.175,165,739,9.2375,
Hedo Turkoglu,ORL,2004-2005, 6-10,SF,25,67,1757,26.223880597,328,782,.419,93,245,.380,188,225,.836,62,0.925373134328,171,2.55223880597,233,3.4776119403,153,2.28358208955,41,0.611940298507,18,0.268656716418,119,1.77611940299,140,937,13.9850746269,
Hedo Turkoglu,ORL,2005-2006, 6-10,SF,26,78,2615,33.5256410256,398,877,.454,114,283,.403,255,296,.861,70,0.897435897436,263,3.37179487179,333,4.26923076923,216,2.76923076923,70,0.897435897436,21,0.269230769231,130,1.66666666667,234,1165,14.9358974359,
Hedo Turkoglu,ORL,2006-2007, 6-10,SF,27,73,2268,31.0684931507,345,823,.419,109,281,.388,171,219,.781,57,0.780821917808,236,3.23287671233,293,4.01369863014,233,3.19178082192,70,0.958904109589,16,0.219178082192,143,1.95890410959,221,970,13.2876712329,
Hedo Turkoglu,ORL,2007-2008, 6-10,SF,28,82,3026,36.9024390244,556,1219,.456,166,415,.400,324,391,.829,83,1.01219512195,388,4.73170731707,471,5.74390243902,409,4.98780487805,74,0.90243902439,25,0.30487804878,246,3.0,244,1602,19.5365853659,
Hedo Turkoglu,ORL,2008-2009, 6-10,SF,29,77,2815,36.5584415584,423,1025,.413,134,376,.356,314,389,.807,45,0.584415584416,365,4.74025974026,410,5.32467532468,375,4.87012987013,64,0.831168831169,19,0.246753246753,204,2.64935064935,218,1294,16.8051948052,
Hedo Turkoglu,TOR,2009-2010, 6-10,SF,30,74,2272,30.7027027027,276,674,.409,108,289,.374,175,226,.774,42,0.567567567568,301,4.06756756757,343,4.63513513514,304,4.10810810811,55,0.743243243243,32,0.432432432432,125,1.68918918919,220,835,11.2837837838,
Hedo Turkoglu,TOT,2010-2011, 6-10,SF,31,81,2540,31.3580246914,322,722,.446,127,310,.410,106,156,.679,45,0.555555555556,311,3.83950617284,356,4.3950617284,343,4.23456790123,72,0.888888888889,34,0.41975308642,132,1.62962962963,247,877,10.8271604938,
Hedo Turkoglu,PHO,2010-2011, 6-10,PF,31,25,630,25.2,85,193,.440,41,97,.423,26,36,.722,20,0.8,80,3.2,100,4.0,58,2.32,18,0.72,14,0.56,31,1.24,77,237,9.48,
Hedo Turkoglu,ORL,2010-2011, 6-10,SF,31,56,1910,34.1071428571,237,529,.448,86,213,.404,80,120,.667,25,0.446428571429,231,4.125,256,4.57142857143,285,5.08928571429,54,0.964285714286,20,0.357142857143,101,1.80357142857,170,640,11.4285714286,
Hedo Turkoglu,ORL,2011-2012, 6-10,SF,32,53,1653,31.1886792453,209,504,.415,91,258,.353,67,95,.705,24,0.452830188679,175,3.30188679245,199,3.75471698113,233,4.39622641509,45,0.849056603774,17,0.320754716981,142,2.67924528302,139,576,10.8679245283,
Hedo Turkoglu,ORL,2012-2013, 6-10,SF,33,11,189,17.1818181818,14,53,.264,1,24,.042,3,6,.500,4,0.363636363636,22,2.0,26,2.36363636364,23,2.09090909091,7,0.636363636364,1,0.0909090909091,12,1.09090909091,11,32,2.90909090909,
