Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Hilton Armstrong,NOK,2006-2007, 6-11,C,22,56,634,11.3214285714,68,125,.544,0,0,.000,40,67,.597,58,1.03571428571,91,1.625,149,2.66071428571,10,0.178571428571,12,0.214285714286,26,0.464285714286,35,0.625,79,176,3.14285714286,
Hilton Armstrong,NOH,2007-2008, 6-11,C,23,65,732,11.2615384615,67,148,.453,0,0,.000,44,70,.629,65,1.0,98,1.50769230769,163,2.50769230769,23,0.353846153846,15,0.230769230769,34,0.523076923077,59,0.907692307692,130,178,2.73846153846,
Hilton Armstrong,NOH,2008-2009, 6-11,C,24,70,1092,15.6,138,246,.561,0,2,.000,62,98,.633,81,1.15714285714,114,1.62857142857,195,2.78571428571,29,0.414285714286,26,0.371428571429,45,0.642857142857,80,1.14285714286,181,338,4.82857142857,
Hilton Armstrong,TOT,2009-2010, 6-11,PF,25,33,335,10.1515151515,28,79,.354,0,1,.000,15,32,.469,27,0.818181818182,54,1.63636363636,81,2.45454545455,21,0.636363636364,15,0.454545454545,12,0.363636363636,22,0.666666666667,59,71,2.15151515152,
Hilton Armstrong,NOH,2009-2010, 6-11,PF,25,18,239,13.2777777778,19,50,.380,0,0,.000,13,28,.464,17,0.944444444444,44,2.44444444444,61,3.38888888889,16,0.888888888889,8,0.444444444444,8,0.444444444444,13,0.722222222222,44,51,2.83333333333,
Hilton Armstrong,SAC,2009-2010, 6-11,C,25,6,56,9.33333333333,4,12,.333,0,0,.000,2,2,1.000,5,0.833333333333,9,1.5,14,2.33333333333,2,0.333333333333,2,0.333333333333,4,0.666666666667,4,0.666666666667,5,10,1.66666666667,
Hilton Armstrong,HOU,2009-2010, 6-11,C,25,9,40,4.44444444444,5,17,.294,0,1,.000,0,2,.000,5,0.555555555556,1,0.111111111111,6,0.666666666667,3,0.333333333333,5,0.555555555556,0,0.0,5,0.555555555556,10,10,1.11111111111,
Hilton Armstrong,TOT,2010-2011, 6-11,C,26,53,488,9.20754716981,37,76,.487,2,4,.500,16,33,.485,42,0.792452830189,89,1.67924528302,131,2.47169811321,14,0.264150943396,18,0.339622641509,21,0.396226415094,28,0.528301886792,84,92,1.7358490566,
Hilton Armstrong,WAS,2010-2011, 6-11,C,26,41,412,10.0487804878,31,64,.484,1,3,.333,14,23,.609,39,0.951219512195,75,1.82926829268,114,2.78048780488,10,0.243902439024,15,0.365853658537,16,0.390243902439,25,0.609756097561,75,77,1.87804878049,
Hilton Armstrong,ATL,2010-2011, 6-11,C,26,12,76,6.33333333333,6,12,.500,1,1,1.000,2,10,.200,3,0.25,14,1.16666666667,17,1.41666666667,4,0.333333333333,3,0.25,5,0.416666666667,3,0.25,9,15,1.25,
