Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ira Newble,SAS,2000-2001, 6-7,SF,26,27,184,6.81481481481,21,55,.382,4,9,.444,8,16,.500,13,0.481481481481,22,0.814814814815,35,1.2962962963,6,0.222222222222,2,0.0740740740741,4,0.148148148148,7,0.259259259259,18,54,2.0,
Ira Newble,ATL,2001-2002, 6-7,SF,27,42,1273,30.3095238095,131,263,.498,1,7,.143,75,88,.852,80,1.90476190476,142,3.38095238095,222,5.28571428571,45,1.07142857143,38,0.904761904762,20,0.47619047619,49,1.16666666667,117,338,8.04761904762,
Ira Newble,ATL,2002-2003, 6-7,SF,28,73,1931,26.4520547945,231,467,.495,32,84,.381,70,90,.778,86,1.17808219178,185,2.53424657534,271,3.71232876712,99,1.35616438356,50,0.684931506849,26,0.356164383562,69,0.945205479452,174,564,7.72602739726,
Ira Newble,CLE,2003-2004, 6-7,SF,29,64,1245,19.453125,108,276,.391,2,19,.105,36,46,.783,65,1.015625,90,1.40625,155,2.421875,72,1.125,25,0.390625,19,0.296875,54,0.84375,109,254,3.96875,
Ira Newble,CLE,2004-2005, 6-7,SG,30,74,1832,24.7567567568,182,424,.429,19,53,.358,55,69,.797,78,1.05405405405,142,1.91891891892,220,2.97297297297,91,1.22972972973,50,0.675675675676,18,0.243243243243,61,0.824324324324,144,438,5.91891891892,
Ira Newble,CLE,2005-2006, 6-7,SG,31,36,353,9.80555555556,17,57,.298,3,13,.231,11,16,.688,21,0.583333333333,35,0.972222222222,56,1.55555555556,9,0.25,5,0.138888888889,10,0.277777777778,12,0.333333333333,47,48,1.33333333333,
Ira Newble,CLE,2006-2007, 6-7,SF,32,15,129,8.6,16,37,.432,8,15,.533,6,10,.600,13,0.866666666667,17,1.13333333333,30,2.0,2,0.133333333333,6,0.4,0,0.0,3,0.2,17,46,3.06666666667,
Ira Newble,TOT,2007-2008, 6-7,SG,33,49,698,14.2448979592,76,174,.437,16,49,.327,20,26,.769,47,0.959183673469,78,1.59183673469,125,2.55102040816,18,0.367346938776,28,0.571428571429,8,0.163265306122,34,0.69387755102,69,188,3.83673469388,
Ira Newble,CLE,2007-2008, 6-7,SG,33,41,650,15.8536585366,71,158,.449,15,45,.333,20,26,.769,41,1.0,73,1.78048780488,114,2.78048780488,14,0.341463414634,27,0.658536585366,7,0.170731707317,31,0.756097560976,64,177,4.31707317073,
Ira Newble,SEA,2007-2008, 6-7,SF,33,2,17,8.5,2,7,.286,0,2,.000,0,0,.000,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,4,2.0,
Ira Newble,LAL,2007-2008, 6-7,SF,33,6,31,5.16666666667,3,9,.333,1,2,.500,0,0,.000,6,1.0,5,0.833333333333,11,1.83333333333,3,0.5,1,0.166666666667,1,0.166666666667,3,0.5,5,7,1.16666666667,
