Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
J.R. Reid,CHH,1989-1990, 6-9,C,21,82,2757,33.6219512195,358,814,.440,0,5,.000,192,289,.664,199,2.42682926829,492,6.0,691,8.42682926829,101,1.23170731707,92,1.12195121951,54,0.658536585366,172,2.09756097561,292,908,11.0731707317,
J.R. Reid,CHH,1990-1991, 6-9,C,22,80,2467,30.8375,360,773,.466,0,2,.000,182,259,.703,154,1.925,348,4.35,502,6.275,89,1.1125,87,1.0875,47,0.5875,153,1.9125,286,902,11.275,
J.R. Reid,CHH,1991-1992, 6-9,C,23,51,1257,24.6470588235,213,435,.490,0,3,.000,134,190,.705,96,1.88235294118,221,4.33333333333,317,6.21568627451,81,1.58823529412,49,0.960784313725,23,0.450980392157,84,1.64705882353,159,560,10.9803921569,
J.R. Reid,TOT,1992-1993, 6-9,PF,24,83,1887,22.734939759,283,595,.476,0,5,.000,214,280,.764,120,1.44578313253,336,4.04819277108,456,5.49397590361,80,0.963855421687,47,0.566265060241,31,0.373493975904,125,1.50602409639,266,780,9.39759036145,
J.R. Reid,CHH,1992-1993, 6-9,PF,24,17,295,17.3529411765,42,98,.429,0,1,.000,43,58,.741,20,1.17647058824,50,2.94117647059,70,4.11764705882,24,1.41176470588,11,0.647058823529,5,0.294117647059,24,1.41176470588,49,127,7.47058823529,
J.R. Reid,SAS,1992-1993, 6-9,PF,24,66,1592,24.1212121212,241,497,.485,0,4,.000,171,222,.770,100,1.51515151515,286,4.33333333333,386,5.84848484848,56,0.848484848485,36,0.545454545455,26,0.393939393939,101,1.5303030303,217,653,9.89393939394,
J.R. Reid,SAS,1993-1994, 6-9,PF,25,70,1344,19.2,260,530,.491,0,3,.000,107,153,.699,91,1.3,129,1.84285714286,220,3.14285714286,73,1.04285714286,43,0.614285714286,25,0.357142857143,84,1.2,165,627,8.95714285714,
J.R. Reid,SAS,1994-1995, 6-9,PF,26,81,1566,19.3333333333,201,396,.508,1,2,.500,160,233,.687,120,1.48148148148,273,3.37037037037,393,4.85185185185,55,0.679012345679,60,0.740740740741,32,0.395061728395,113,1.3950617284,230,563,6.95061728395,
J.R. Reid,TOT,1995-1996, 6-9,PF,27,65,1313,20.2,160,324,.494,0,1,.000,107,142,.754,73,1.12307692308,182,2.8,255,3.92307692308,42,0.646153846154,43,0.661538461538,17,0.261538461538,79,1.21538461538,187,427,6.56923076923,
J.R. Reid,SAS,1995-1996, 6-9,PF,27,32,643,20.09375,72,164,.439,0,1,.000,64,87,.736,35,1.09375,88,2.75,123,3.84375,14,0.4375,25,0.78125,10,0.3125,49,1.53125,98,208,6.5,
J.R. Reid,NYK,1995-1996, 6-9,PF,27,33,670,20.303030303,88,160,.550,0,0,.000,43,55,.782,38,1.15151515152,94,2.84848484848,132,4.0,28,0.848484848485,18,0.545454545455,7,0.212121212121,30,0.909090909091,89,219,6.63636363636,
J.R. Reid,CHH,1997-1998, 6-9,PF,29,79,1109,14.0379746835,146,318,.459,3,8,.375,89,122,.730,72,0.911392405063,138,1.74683544304,210,2.6582278481,51,0.645569620253,35,0.443037974684,19,0.240506329114,65,0.822784810127,172,384,4.86075949367,
J.R. Reid,TOT,1998-1999, 6-9,PF,30,41,1029,25.0975609756,132,277,.477,0,1,.000,105,137,.766,45,1.09756097561,167,4.07317073171,212,5.17073170732,48,1.17073170732,37,0.90243902439,10,0.243902439024,51,1.24390243902,135,369,9.0,
J.R. Reid,CHH,1998-1999, 6-9,PF,30,16,556,34.75,88,169,.521,0,0,.000,67,84,.798,21,1.3125,92,5.75,113,7.0625,25,1.5625,22,1.375,10,0.625,28,1.75,63,243,15.1875,
J.R. Reid,LAL,1998-1999, 6-9,PF,30,25,473,18.92,44,108,.407,0,1,.000,38,53,.717,24,0.96,75,3.0,99,3.96,23,0.92,15,0.6,0,0.0,23,0.92,72,126,5.04,
J.R. Reid,MIL,1999-2000, 6-9,PF,31,34,602,17.7058823529,53,127,.417,1,7,.143,43,56,.768,29,0.852941176471,88,2.58823529412,117,3.44117647059,18,0.529411764706,19,0.558823529412,5,0.147058823529,20,0.588235294118,81,150,4.41176470588,
J.R. Reid,CLE,2000-2001, 6-9,PF,32,6,39,6.5,2,5,.400,0,0,.000,6,8,.750,5,0.833333333333,3,0.5,8,1.33333333333,1,0.166666666667,2,0.333333333333,1,0.166666666667,1,0.166666666667,4,10,1.66666666667,
