Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jack George,PHW,1953-1954, 6-2,PG,25,71,2648,37.2957746479,259,736,.352,.000,.000,.000,157,266,.590,.000,0.0,.000,0.0,386,5.43661971831,312,4.39436619718,.000,0.0,.000,0.0,.000,0.0,210,675,9.50704225352,
Jack George,PHW,1954-1955, 6-2,PG,26,68,2480,36.4705882353,291,756,.385,.000,.000,.000,192,291,.660,.000,0.0,.000,0.0,302,4.44117647059,359,5.27941176471,.000,0.0,.000,0.0,.000,0.0,191,774,11.3823529412,
Jack George,PHW,1955-1956, 6-2,PG,27,72,2840,39.4444444444,352,940,.374,.000,.000,.000,296,391,.757,.000,0.0,.000,0.0,313,4.34722222222,457,6.34722222222,.000,0.0,.000,0.0,.000,0.0,202,1000,13.8888888889,
Jack George,PHW,1956-1957, 6-2,SG,28,67,2229,33.2686567164,253,750,.337,.000,.000,.000,200,293,.683,.000,0.0,.000,0.0,318,4.74626865672,307,4.58208955224,.000,0.0,.000,0.0,.000,0.0,165,706,10.5373134328,
Jack George,PHW,1957-1958, 6-2,PG,29,72,1910,26.5277777778,232,627,.370,.000,.000,.000,178,242,.736,.000,0.0,.000,0.0,288,4.0,234,3.25,.000,0.0,.000,0.0,.000,0.0,140,642,8.91666666667,
Jack George,TOT,1958-1959, 6-2,PG,30,71,1881,26.4929577465,233,674,.346,.000,.000,.000,153,203,.754,.000,0.0,.000,0.0,293,4.12676056338,221,3.11267605634,.000,0.0,.000,0.0,.000,0.0,149,619,8.71830985915,
Jack George,PHW,1958-1959, 6-2,PG,30,46,1387,30.152173913,171,501,.341,.000,.000,.000,111,152,.730,.000,0.0,.000,0.0,211,4.58695652174,166,3.60869565217,.000,0.0,.000,0.0,.000,0.0,98,453,9.84782608696,
Jack George,NYK,1958-1959, 6-2,PG,30,25,494,19.76,62,173,.358,.000,.000,.000,42,51,.824,.000,0.0,.000,0.0,82,3.28,55,2.2,.000,0.0,.000,0.0,.000,0.0,51,166,6.64,
Jack George,NYK,1959-1960, 6-2,PG,31,69,1604,23.2463768116,250,650,.385,.000,.000,.000,155,202,.767,.000,0.0,.000,0.0,197,2.85507246377,240,3.47826086957,.000,0.0,.000,0.0,.000,0.0,148,655,9.49275362319,
Jack George,NYK,1960-1961, 6-2,PG,32,16,268,16.75,31,93,.333,.000,.000,.000,20,30,.667,.000,0.0,.000,0.0,32,2.0,39,2.4375,.000,0.0,.000,0.0,.000,0.0,37,82,5.125,
