Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jack Nichols,WSC,1948-1949, 6-7,PF,22,34,.000,0.0,153,392,.390,.000,.000,.000,92,126,.730,.000,0.0,.000,0.0,.000,0.0,56,1.64705882353,.000,0.0,.000,0.0,.000,0.0,118,398,11.7058823529,
Jack Nichols,TOT,1949-1950, 6-7,PF,23,67,.000,0.0,310,848,.366,.000,.000,.000,259,344,.753,.000,0.0,.000,0.0,.000,0.0,142,2.11940298507,.000,0.0,.000,0.0,.000,0.0,179,879,13.1194029851,
Jack Nichols,WSC,1949-1950, 6-7,PF,23,49,.000,0.0,228,629,.362,.000,.000,.000,187,254,.736,.000,0.0,.000,0.0,.000,0.0,81,1.65306122449,.000,0.0,.000,0.0,.000,0.0,118,643,13.1224489796,
Jack Nichols,TRI,1949-1950, 6-7,PF,23,18,.000,0.0,82,219,.374,.000,.000,.000,72,90,.800,.000,0.0,.000,0.0,.000,0.0,61,3.38888888889,.000,0.0,.000,0.0,.000,0.0,61,236,13.1111111111,
Jack Nichols,TRI,1950-1951, 6-7,PF,24,6,.000,0.0,27,79,.342,.000,.000,.000,16,21,.762,.000,0.0,.000,0.0,63,10.5,15,2.5,.000,0.0,.000,0.0,.000,0.0,23,70,11.6666666667,
Jack Nichols,MLH,1952-1953, 6-7,PF,26,69,2626,38.0579710145,425,1170,.363,.000,.000,.000,240,339,.708,.000,0.0,.000,0.0,533,7.72463768116,196,2.84057971014,.000,0.0,.000,0.0,.000,0.0,237,1090,15.7971014493,
Jack Nichols,TOT,1953-1954, 6-7,,27,75,1607,21.4266666667,163,528,.309,.000,.000,.000,113,152,.743,.000,0.0,.000,0.0,363,4.84,104,1.38666666667,.000,0.0,.000,0.0,.000,0.0,187,439,5.85333333333,
Jack Nichols,BOS,1954-1955, 6-7,PF,28,64,1910,29.84375,249,656,.380,.000,.000,.000,138,177,.780,.000,0.0,.000,0.0,533,8.328125,144,2.25,.000,0.0,.000,0.0,.000,0.0,238,636,9.9375,
Jack Nichols,BOS,1955-1956, 6-7,PF,29,60,1964,32.7333333333,330,799,.413,.000,.000,.000,200,253,.791,.000,0.0,.000,0.0,625,10.4166666667,160,2.66666666667,.000,0.0,.000,0.0,.000,0.0,228,860,14.3333333333,
Jack Nichols,BOS,1956-1957, 6-7,PF,30,61,1372,22.4918032787,195,537,.363,.000,.000,.000,108,136,.794,.000,0.0,.000,0.0,374,6.13114754098,85,1.39344262295,.000,0.0,.000,0.0,.000,0.0,185,498,8.16393442623,
Jack Nichols,BOS,1957-1958, 6-7,PF,31,69,1224,17.7391304348,170,484,.351,.000,.000,.000,59,80,.738,.000,0.0,.000,0.0,302,4.3768115942,63,0.913043478261,.000,0.0,.000,0.0,.000,0.0,123,399,5.78260869565,
