Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jack Sikma,SEA,1977-1978, 6-11,C,22,82,2238,27.2926829268,342,752,.455,.000,.000,.000,192,247,.777,196,2.39024390244,482,5.87804878049,678,8.26829268293,134,1.63414634146,68,0.829268292683,40,0.487804878049,186,2.26829268293,300,876,10.6829268293,
Jack Sikma,SEA,1978-1979, 6-11,C,23,82,2958,36.0731707317,476,1034,.460,.000,.000,.000,329,404,.814,232,2.82926829268,781,9.5243902439,1013,12.3536585366,261,3.18292682927,82,1.0,67,0.817073170732,253,3.08536585366,295,1281,15.6219512195,
Jack Sikma,SEA,1979-1980, 6-11,C,24,82,2793,34.0609756098,470,989,.475,0,1,.000,235,292,.805,198,2.41463414634,710,8.65853658537,908,11.0731707317,279,3.40243902439,68,0.829268292683,77,0.939024390244,202,2.46341463415,232,1175,14.3292682927,
Jack Sikma,SEA,1980-1981, 6-11,C,25,82,2920,35.6097560976,595,1311,.454,0,5,.000,340,413,.823,184,2.24390243902,668,8.14634146341,852,10.3902439024,248,3.0243902439,78,0.951219512195,93,1.13414634146,201,2.4512195122,282,1530,18.6585365854,
Jack Sikma,SEA,1981-1982, 6-11,C,26,82,3049,37.1829268293,581,1212,.479,2,13,.154,447,523,.855,223,2.71951219512,815,9.93902439024,1038,12.6585365854,277,3.37804878049,102,1.24390243902,107,1.30487804878,213,2.59756097561,268,1611,19.6463414634,
Jack Sikma,SEA,1982-1983, 6-11,C,27,75,2564,34.1866666667,484,1043,.464,0,8,.000,400,478,.837,213,2.84,645,8.6,858,11.44,233,3.10666666667,87,1.16,65,0.866666666667,190,2.53333333333,263,1368,18.24,
Jack Sikma,SEA,1983-1984, 6-11,C,28,82,2993,36.5,576,1155,.499,0,2,.000,411,480,.856,225,2.74390243902,686,8.36585365854,911,11.1097560976,327,3.98780487805,95,1.15853658537,92,1.12195121951,236,2.87804878049,301,1563,19.0609756098,
Jack Sikma,SEA,1984-1985, 6-11,C,29,68,2402,35.3235294118,461,943,.489,2,10,.200,335,393,.852,164,2.41176470588,559,8.22058823529,723,10.6323529412,285,4.19117647059,83,1.22058823529,91,1.33823529412,160,2.35294117647,239,1259,18.5147058824,
Jack Sikma,SEA,1985-1986, 6-11,C,30,80,2790,34.875,508,1100,.462,0,13,.000,355,411,.864,146,1.825,602,7.525,748,9.35,301,3.7625,92,1.15,73,0.9125,214,2.675,293,1371,17.1375,
Jack Sikma,MIL,1986-1987, 6-11,C,31,82,2536,30.9268292683,390,842,.463,0,2,.000,265,313,.847,208,2.53658536585,614,7.48780487805,822,10.0243902439,203,2.4756097561,88,1.07317073171,90,1.09756097561,160,1.9512195122,328,1045,12.743902439,
Jack Sikma,MIL,1987-1988, 6-11,C,32,82,2923,35.6463414634,514,1058,.486,3,14,.214,321,348,.922,195,2.37804878049,514,6.26829268293,709,8.64634146341,279,3.40243902439,93,1.13414634146,80,0.975609756098,157,1.91463414634,316,1352,16.487804878,
Jack Sikma,MIL,1988-1989, 6-11,C,33,80,2587,32.3375,360,835,.431,82,216,.380,266,294,.905,141,1.7625,482,6.025,623,7.7875,289,3.6125,85,1.0625,61,0.7625,145,1.8125,300,1068,13.35,
Jack Sikma,MIL,1989-1990, 6-11,C,34,71,2250,31.6901408451,344,827,.416,68,199,.342,230,260,.885,109,1.53521126761,383,5.39436619718,492,6.92957746479,229,3.22535211268,76,1.07042253521,48,0.676056338028,139,1.95774647887,244,986,13.8873239437,
Jack Sikma,MIL,1990-1991, 6-11,C,35,77,1940,25.1948051948,295,691,.427,46,135,.341,166,197,.843,108,1.4025974026,333,4.32467532468,441,5.72727272727,143,1.85714285714,65,0.844155844156,64,0.831168831169,130,1.68831168831,218,802,10.4155844156,
