Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
James Jones,IND,2003-2004, 6-8,SF,23,6,26,4.33333333333,2,9,.222,1,4,.250,2,2,1.000,0,0.0,2,0.333333333333,2,0.333333333333,0,0.0,1,0.166666666667,0,0.0,0,0.0,1,7,1.16666666667,
James Jones,IND,2004-2005, 6-8,SF,24,75,1330,17.7333333333,126,318,.396,66,166,.398,53,62,.855,39,0.52,135,1.8,174,2.32,57,0.76,31,0.413333333333,28,0.373333333333,43,0.573333333333,123,371,4.94666666667,
James Jones,PHO,2005-2006, 6-8,SF,25,75,1772,23.6266666667,243,581,.418,110,285,.386,103,121,.851,44,0.586666666667,209,2.78666666667,253,3.37333333333,57,0.76,38,0.506666666667,49,0.653333333333,35,0.466666666667,142,699,9.32,
James Jones,PHO,2006-2007, 6-8,SF,26,76,1376,18.1052631579,162,440,.368,90,238,.378,71,81,.877,33,0.434210526316,143,1.88157894737,176,2.31578947368,45,0.592105263158,28,0.368421052632,42,0.552631578947,28,0.368421052632,115,485,6.38157894737,
James Jones,POR,2007-2008, 6-8,SF,27,58,1276,22.0,143,327,.437,91,205,.444,86,98,.878,43,0.741379310345,118,2.03448275862,161,2.77586206897,34,0.586206896552,24,0.413793103448,15,0.258620689655,28,0.48275862069,96,463,7.98275862069,
James Jones,MIA,2008-2009, 6-8,SF,28,40,630,15.75,55,149,.369,33,96,.344,26,31,.839,12,0.3,50,1.25,62,1.55,20,0.5,12,0.3,14,0.35,12,0.3,58,169,4.225,
James Jones,MIA,2009-2010, 6-8,SF,29,36,503,13.9722222222,43,119,.361,37,90,.411,23,28,.821,4,0.111111111111,41,1.13888888889,45,1.25,17,0.472222222222,11,0.305555555556,4,0.111111111111,11,0.305555555556,45,146,4.05555555556,
James Jones,MIA,2010-2011, 6-8,SF,30,81,1549,19.1234567901,146,346,.422,123,287,.429,60,72,.833,23,0.283950617284,137,1.69135802469,160,1.97530864198,43,0.530864197531,29,0.358024691358,19,0.234567901235,21,0.259259259259,129,475,5.86419753086,
James Jones,MIA,2011-2012, 6-8,SG,31,51,666,13.0588235294,57,150,.380,46,114,.404,25,30,.833,6,0.117647058824,43,0.843137254902,49,0.960784313725,19,0.372549019608,17,0.333333333333,9,0.176470588235,10,0.196078431373,45,185,3.62745098039,
James Jones,MIA,2012-2013, 6-8,SF,32,24,96,4.0,9,27,.333,8,24,.333,0,0,.000,0,0.0,8,0.333333333333,8,0.333333333333,2,0.0833333333333,0,0.0,2,0.0833333333333,2,0.0833333333333,6,26,1.08333333333,
