Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
James Posey,DEN,1999-2000, 6-8,SF,23,81,2052,25.3333333333,230,536,.429,82,220,.373,120,150,.800,85,1.04938271605,232,2.86419753086,317,3.91358024691,146,1.8024691358,98,1.20987654321,33,0.407407407407,95,1.17283950617,207,662,8.17283950617,
James Posey,DEN,2000-2001, 6-8,SF,24,82,2255,27.5,243,590,.412,65,217,.300,115,141,.816,125,1.5243902439,306,3.73170731707,431,5.25609756098,163,1.98780487805,93,1.13414634146,40,0.487804878049,102,1.24390243902,226,666,8.12195121951,
James Posey,DEN,2001-2002, 6-8,SF,25,73,2238,30.6575342466,277,736,.376,67,237,.283,161,203,.793,109,1.49315068493,320,4.38356164384,429,5.87671232877,180,2.46575342466,114,1.56164383562,39,0.534246575342,127,1.7397260274,224,782,10.7123287671,
James Posey,TOT,2002-2003, 6-8,SF,26,83,2518,30.3373493976,309,752,.411,70,229,.306,205,246,.833,90,1.0843373494,336,4.04819277108,426,5.13253012048,184,2.21686746988,106,1.27710843373,15,0.180722891566,144,1.73493975904,197,893,10.7590361446,
James Posey,DEN,2002-2003, 6-8,SF,26,25,872,34.88,121,324,.373,24,88,.273,86,102,.843,38,1.52,107,4.28,145,5.8,78,3.12,29,1.16,6,0.24,66,2.64,63,352,14.08,
James Posey,HOU,2002-2003, 6-8,SF,26,58,1646,28.3793103448,188,428,.439,46,141,.326,119,144,.826,52,0.896551724138,229,3.94827586207,281,4.84482758621,106,1.8275862069,77,1.3275862069,9,0.155172413793,78,1.34482758621,134,541,9.3275862069,
James Posey,MEM,2003-2004, 6-8,SG,27,82,2451,29.8902439024,368,770,.478,112,290,.386,278,335,.830,92,1.12195121951,311,3.79268292683,403,4.91463414634,122,1.48780487805,137,1.67073170732,40,0.487804878049,112,1.36585365854,248,1126,13.7317073171,
James Posey,MEM,2004-2005, 6-8,SF,28,50,1382,27.64,127,356,.357,55,178,.309,96,111,.865,45,0.9,174,3.48,219,4.38,88,1.76,48,0.96,23,0.46,69,1.38,134,405,8.1,
James Posey,MIA,2005-2006, 6-8,SF,29,67,1914,28.5671641791,159,395,.403,117,290,.403,48,61,.787,33,0.492537313433,286,4.26865671642,319,4.76119402985,89,1.32835820896,54,0.805970149254,20,0.298507462687,58,0.865671641791,196,483,7.20895522388,
James Posey,MIA,2006-2007, 6-8,SF,30,71,1919,27.0281690141,186,432,.431,97,259,.375,81,98,.827,66,0.929577464789,291,4.0985915493,357,5.02816901408,94,1.32394366197,71,1.0,23,0.323943661972,55,0.774647887324,193,550,7.74647887324,
James Posey,BOS,2007-2008, 6-8,PF,31,74,1821,24.6081081081,173,414,.418,106,279,.380,93,115,.809,30,0.405405405405,292,3.94594594595,322,4.35135135135,114,1.54054054054,72,0.972972972973,19,0.256756756757,65,0.878378378378,182,545,7.36486486486,
James Posey,NOH,2008-2009, 6-8,SG,32,75,2140,28.5333333333,216,524,.412,116,314,.369,120,146,.822,38,0.506666666667,324,4.32,362,4.82666666667,82,1.09333333333,58,0.773333333333,21,0.28,79,1.05333333333,216,668,8.90666666667,
James Posey,NOH,2009-2010, 6-8,SF,33,77,1731,22.4805194805,126,345,.365,81,242,.335,66,80,.825,32,0.415584415584,297,3.85714285714,329,4.27272727273,117,1.51948051948,42,0.545454545455,19,0.246753246753,51,0.662337662338,204,399,5.18181818182,
James Posey,IND,2010-2011, 6-8,SF,34,49,839,17.1224489796,81,241,.336,67,212,.316,11,15,.733,10,0.204081632653,137,2.79591836735,147,3.0,34,0.69387755102,24,0.489795918367,6,0.122448979592,24,0.489795918367,103,240,4.89795918367,
