Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
James Worthy,LAL,1982-1983, 6-9,SF,21,77,1970,25.5844155844,447,772,.579,1,4,.250,138,221,.624,157,2.03896103896,242,3.14285714286,399,5.18181818182,132,1.71428571429,91,1.18181818182,64,0.831168831169,178,2.31168831169,221,1033,13.4155844156,
James Worthy,LAL,1983-1984, 6-9,PF,22,82,2415,29.4512195122,495,890,.556,0,6,.000,195,257,.759,157,1.91463414634,358,4.36585365854,515,6.28048780488,207,2.5243902439,77,0.939024390244,70,0.853658536585,181,2.20731707317,244,1185,14.4512195122,
James Worthy,LAL,1984-1985, 6-9,SF,23,80,2696,33.7,610,1066,.572,0,7,.000,190,245,.776,169,2.1125,342,4.275,511,6.3875,201,2.5125,87,1.0875,67,0.8375,198,2.475,196,1410,17.625,
James Worthy,LAL,1985-1986, 6-9,SF,24,75,2454,32.72,629,1086,.579,0,13,.000,242,314,.771,136,1.81333333333,251,3.34666666667,387,5.16,201,2.68,82,1.09333333333,77,1.02666666667,149,1.98666666667,195,1500,20.0,
James Worthy,LAL,1986-1987, 6-9,SF,25,82,2819,34.3780487805,651,1207,.539,0,13,.000,292,389,.751,158,1.92682926829,308,3.75609756098,466,5.68292682927,226,2.75609756098,108,1.31707317073,83,1.01219512195,168,2.0487804878,206,1594,19.4390243902,
James Worthy,LAL,1987-1988, 6-9,SF,26,75,2655,35.4,617,1161,.531,2,16,.125,242,304,.796,129,1.72,245,3.26666666667,374,4.98666666667,289,3.85333333333,72,0.96,55,0.733333333333,155,2.06666666667,175,1478,19.7066666667,
James Worthy,LAL,1988-1989, 6-9,SF,27,81,2960,36.5432098765,702,1282,.548,2,23,.087,251,321,.782,169,2.08641975309,320,3.95061728395,489,6.03703703704,288,3.55555555556,108,1.33333333333,56,0.691358024691,182,2.24691358025,175,1657,20.4567901235,
James Worthy,LAL,1989-1990, 6-9,SF,28,80,2960,37.0,711,1298,.548,15,49,.306,248,317,.782,160,2.0,318,3.975,478,5.975,288,3.6,99,1.2375,49,0.6125,160,2.0,190,1685,21.0625,
James Worthy,LAL,1990-1991, 6-9,SF,29,78,3008,38.5641025641,716,1455,.492,26,90,.289,212,266,.797,107,1.37179487179,249,3.19230769231,356,4.5641025641,275,3.52564102564,104,1.33333333333,35,0.448717948718,127,1.62820512821,117,1670,21.4102564103,
James Worthy,LAL,1991-1992, 6-9,SF,30,54,2108,39.037037037,450,1007,.447,9,43,.209,166,204,.814,98,1.81481481481,207,3.83333333333,305,5.64814814815,252,4.66666666667,76,1.40740740741,23,0.425925925926,127,2.35185185185,89,1075,19.9074074074,
James Worthy,LAL,1992-1993, 6-9,SF,31,82,2359,28.7682926829,510,1142,.447,30,111,.270,171,211,.810,73,0.890243902439,174,2.12195121951,247,3.01219512195,278,3.39024390244,92,1.12195121951,27,0.329268292683,137,1.67073170732,87,1221,14.8902439024,
James Worthy,LAL,1993-1994, 6-9,SF,32,80,1597,19.9625,340,838,.406,32,111,.288,100,135,.741,48,0.6,133,1.6625,181,2.2625,154,1.925,45,0.5625,18,0.225,97,1.2125,80,812,10.15,
