Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jason Caffey,CHI,1995-1996, 6-8,PF,22,57,545,9.56140350877,71,162,.438,0,1,.000,40,68,.588,51,0.894736842105,60,1.05263157895,111,1.94736842105,24,0.421052631579,12,0.210526315789,7,0.122807017544,48,0.842105263158,91,182,3.19298245614,
Jason Caffey,CHI,1996-1997, 6-8,PF,23,75,1405,18.7333333333,205,385,.532,0,1,.000,139,211,.659,135,1.8,166,2.21333333333,301,4.01333333333,89,1.18666666667,25,0.333333333333,9,0.12,97,1.29333333333,149,549,7.32,
Jason Caffey,TOT,1997-1998, 6-8,PF,24,80,1423,17.7875,226,466,.485,0,2,.000,131,200,.655,160,2.0,184,2.3,344,4.3,67,0.8375,25,0.3125,20,0.25,105,1.3125,181,583,7.2875,
Jason Caffey,CHI,1997-1998, 6-8,PF,24,51,710,13.9215686275,100,199,.503,0,1,.000,68,103,.660,76,1.49019607843,97,1.90196078431,173,3.39215686275,36,0.705882352941,13,0.254901960784,17,0.333333333333,48,0.941176470588,92,268,5.25490196078,
Jason Caffey,GSW,1997-1998, 6-8,PF,24,29,713,24.5862068966,126,267,.472,0,1,.000,63,97,.649,84,2.89655172414,87,3.0,171,5.89655172414,31,1.06896551724,12,0.413793103448,3,0.103448275862,57,1.96551724138,89,315,10.8620689655,
Jason Caffey,GSW,1998-1999, 6-8,PF,25,35,876,25.0285714286,123,277,.444,0,1,.000,62,98,.633,79,2.25714285714,126,3.6,205,5.85714285714,18,0.514285714286,24,0.685714285714,9,0.257142857143,75,2.14285714286,113,308,8.8,
Jason Caffey,GSW,1999-2000, 6-8,PF,26,71,2159,30.4084507042,323,675,.479,0,2,.000,206,345,.597,189,2.66197183099,293,4.12676056338,482,6.78873239437,119,1.67605633803,62,0.87323943662,20,0.281690140845,170,2.39436619718,269,852,12.0,
Jason Caffey,MIL,2000-2001, 6-8,PF,27,70,1460,20.8571428571,179,367,.488,0,0,.000,142,211,.673,135,1.92857142857,218,3.11428571429,353,5.04285714286,53,0.757142857143,38,0.542857142857,25,0.357142857143,77,1.1,184,500,7.14285714286,
Jason Caffey,MIL,2001-2002, 6-8,PF,28,23,283,12.3043478261,36,72,.500,0,1,.000,27,43,.628,24,1.04347826087,26,1.13043478261,50,2.17391304348,12,0.521739130435,4,0.173913043478,5,0.217391304348,19,0.826086956522,39,99,4.30434782609,
Jason Caffey,MIL,2002-2003, 6-8,PF,29,51,894,17.5294117647,113,248,.456,0,0,.000,69,106,.651,68,1.33333333333,108,2.11764705882,176,3.45098039216,38,0.745098039216,19,0.372549019608,15,0.294117647059,56,1.09803921569,122,295,5.78431372549,
