Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jason Collins,NJN,2001-2002, 7-0,C,23,77,1407,18.2727272727,117,278,.421,1,2,.500,115,164,.701,132,1.71428571429,169,2.19480519481,301,3.90909090909,81,1.05194805195,29,0.376623376623,47,0.61038961039,72,0.935064935065,173,350,4.54545454545,
Jason Collins,NJN,2002-2003, 7-0,C,24,81,1900,23.4567901235,140,338,.414,0,4,.000,180,236,.763,136,1.67901234568,232,2.86419753086,368,4.54320987654,87,1.07407407407,47,0.58024691358,44,0.543209876543,85,1.04938271605,252,460,5.67901234568,
Jason Collins,NJN,2003-2004, 7-0,C,25,78,2220,28.4615384615,163,384,.424,0,2,.000,136,184,.739,143,1.83333333333,257,3.29487179487,400,5.12820512821,153,1.96153846154,67,0.858974358974,56,0.717948717949,97,1.24358974359,251,462,5.92307692308,
Jason Collins,NJN,2004-2005, 7-0,C,26,80,2542,31.775,186,451,.412,2,6,.333,137,209,.656,153,1.9125,335,4.1875,488,6.1,105,1.3125,71,0.8875,71,0.8875,91,1.1375,322,511,6.3875,
Jason Collins,NJN,2005-2006, 7-0,C,27,71,1895,26.6901408451,104,262,.397,3,12,.250,44,86,.512,93,1.30985915493,249,3.50704225352,342,4.81690140845,70,0.985915492958,46,0.647887323944,40,0.56338028169,61,0.859154929577,251,255,3.59154929577,
Jason Collins,NJN,2006-2007, 7-0,PF,28,80,1844,23.05,55,151,.364,0,2,.000,59,127,.465,90,1.125,226,2.825,316,3.95,46,0.575,40,0.5,38,0.475,73,0.9125,273,169,2.1125,
Jason Collins,TOT,2007-2008, 7-0,C,29,74,1172,15.8378378378,53,113,.469,0,1,.000,34,74,.459,64,0.864864864865,114,1.54054054054,178,2.40540540541,25,0.337837837838,23,0.310810810811,25,0.337837837838,48,0.648648648649,194,140,1.89189189189,
Jason Collins,NJN,2007-2008, 7-0,C,29,43,684,15.9069767442,23,54,.426,0,0,.000,14,36,.389,35,0.813953488372,54,1.25581395349,89,2.06976744186,19,0.441860465116,11,0.255813953488,8,0.186046511628,23,0.53488372093,110,60,1.39534883721,
Jason Collins,MEM,2007-2008, 7-0,C,29,31,488,15.7419354839,30,59,.508,0,1,.000,20,38,.526,29,0.935483870968,60,1.93548387097,89,2.87096774194,6,0.193548387097,12,0.387096774194,17,0.548387096774,25,0.806451612903,84,80,2.58064516129,
Jason Collins,MIN,2008-2009, 7-0,C,30,31,422,13.6129032258,22,70,.314,0,0,.000,13,28,.464,28,0.903225806452,42,1.35483870968,70,2.25806451613,11,0.354838709677,9,0.290322580645,13,0.41935483871,12,0.387096774194,73,57,1.83870967742,
Jason Collins,ATL,2009-2010, 7-0,C,31,24,115,4.79166666667,8,23,.348,0,1,.000,0,2,.000,5,0.208333333333,9,0.375,14,0.583333333333,4,0.166666666667,3,0.125,2,0.0833333333333,5,0.208333333333,21,16,0.666666666667,
Jason Collins,ATL,2010-2011, 7-0,C,32,49,593,12.1020408163,34,71,.479,1,1,1.000,27,41,.659,30,0.612244897959,72,1.4693877551,102,2.08163265306,22,0.448979591837,9,0.183673469388,9,0.183673469388,26,0.530612244898,97,96,1.95918367347,
Jason Collins,ATL,2011-2012, 7-0,C,33,30,308,10.2666666667,16,40,.400,0,0,.000,7,15,.467,12,0.4,36,1.2,48,1.6,10,0.333333333333,4,0.133333333333,3,0.1,10,0.333333333333,34,39,1.3,
Jason Collins,TOT,2012-2013, 7-0,C,34,33,333,10.0909090909,8,23,.348,0,0,.000,21,30,.700,21,0.636363636364,31,0.939393939394,52,1.57575757576,6,0.181818181818,10,0.30303030303,7,0.212121212121,16,0.484848484848,74,37,1.12121212121,
Jason Collins,BOS,2012-2013, 7-0,C,34,32,330,10.3125,8,23,.348,0,0,.000,21,30,.700,21,0.65625,31,0.96875,52,1.625,6,0.1875,10,0.3125,6,0.1875,16,0.5,74,37,1.15625,
Jason Collins,WAS,2012-2013, 7-0,,34,1,3,3.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0,0.0,
