Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jason Kidd,DAL,1994-1995, 6-4,PG,21,79,2668,33.7721518987,330,857,.385,70,257,.272,192,275,.698,152,1.92405063291,278,3.51898734177,430,5.44303797468,607,7.6835443038,151,1.91139240506,24,0.303797468354,250,3.16455696203,146,922,11.6708860759,
Jason Kidd,DAL,1995-1996, 6-4,PG,22,81,3034,37.4567901235,493,1293,.381,133,396,.336,229,331,.692,203,2.50617283951,350,4.32098765432,553,6.82716049383,783,9.66666666667,175,2.16049382716,26,0.320987654321,328,4.04938271605,155,1348,16.6419753086,
Jason Kidd,TOT,1996-1997, 6-4,PG,23,55,1964,35.7090909091,213,529,.403,61,165,.370,112,165,.679,64,1.16363636364,185,3.36363636364,249,4.52727272727,496,9.01818181818,124,2.25454545455,20,0.363636363636,142,2.58181818182,114,599,10.8909090909,
Jason Kidd,DAL,1996-1997, 6-4,PG,23,22,791,35.9545454545,75,203,.369,21,65,.323,46,69,.667,30,1.36363636364,60,2.72727272727,90,4.09090909091,200,9.09090909091,45,2.04545454545,8,0.363636363636,66,3.0,42,217,9.86363636364,
Jason Kidd,PHO,1996-1997, 6-4,PG,23,33,1173,35.5454545455,138,326,.423,40,100,.400,66,96,.688,34,1.0303030303,125,3.78787878788,159,4.81818181818,296,8.9696969697,79,2.39393939394,12,0.363636363636,76,2.30303030303,72,382,11.5757575758,
Jason Kidd,PHO,1997-1998, 6-4,PG,24,82,3118,38.0243902439,357,859,.416,73,233,.313,167,209,.799,108,1.31707317073,402,4.90243902439,510,6.21951219512,745,9.08536585366,162,1.9756097561,26,0.317073170732,261,3.18292682927,142,954,11.6341463415,
Jason Kidd,PHO,1998-1999, 6-4,PG,25,50,2060,41.2,310,698,.444,45,123,.366,181,239,.757,87,1.74,252,5.04,339,6.78,539,10.78,114,2.28,19,0.38,150,3.0,108,846,16.92,
Jason Kidd,PHO,1999-2000, 6-4,PG,26,67,2616,39.0447761194,350,855,.409,56,166,.337,203,245,.829,96,1.4328358209,387,5.77611940299,483,7.20895522388,678,10.1194029851,134,2.0,28,0.417910447761,226,3.37313432836,148,959,14.3134328358,
Jason Kidd,PHO,2000-2001, 6-4,PG,27,77,3065,39.8051948052,451,1097,.411,69,232,.297,328,403,.814,91,1.18181818182,403,5.23376623377,494,6.41558441558,753,9.77922077922,166,2.15584415584,23,0.298701298701,286,3.71428571429,171,1299,16.8701298701,
Jason Kidd,NJN,2001-2002, 6-4,PG,28,82,3056,37.2682926829,445,1138,.391,117,364,.321,201,247,.814,130,1.58536585366,465,5.67073170732,595,7.25609756098,808,9.85365853659,175,2.13414634146,20,0.243902439024,286,3.48780487805,136,1208,14.7317073171,
Jason Kidd,NJN,2002-2003, 6-4,PG,29,80,2989,37.3625,515,1244,.414,126,370,.341,339,403,.841,110,1.375,394,4.925,504,6.3,711,8.8875,179,2.2375,25,0.3125,296,3.7,127,1495,18.6875,
Jason Kidd,NJN,2003-2004, 6-4,PG,30,67,2450,36.5671641791,368,959,.384,94,293,.321,206,249,.827,85,1.26865671642,343,5.11940298507,428,6.38805970149,618,9.22388059701,122,1.82089552239,14,0.208955223881,214,3.19402985075,110,1036,15.4626865672,
Jason Kidd,NJN,2004-2005, 6-4,PG,31,66,2435,36.8939393939,340,855,.398,129,358,.360,142,192,.740,94,1.42424242424,394,5.9696969697,488,7.39393939394,545,8.25757575758,123,1.86363636364,9,0.136363636364,167,2.5303030303,110,951,14.4090909091,
Jason Kidd,NJN,2005-2006, 6-4,PG,32,80,2975,37.1875,366,905,.404,139,395,.352,194,244,.795,86,1.075,494,6.175,580,7.25,672,8.4,150,1.875,29,0.3625,192,2.4,157,1065,13.3125,
Jason Kidd,NJN,2006-2007, 6-4,PG,33,80,2933,36.6625,369,908,.406,124,361,.343,179,230,.778,135,1.6875,520,6.5,655,8.1875,736,9.2,127,1.5875,23,0.2875,213,2.6625,146,1041,13.0125,
Jason Kidd,TOT,2007-2008, 6-4,PG,34,80,2906,36.325,305,793,.385,119,312,.381,135,165,.818,94,1.175,506,6.325,600,7.5,806,10.075,136,1.7,26,0.325,266,3.325,165,864,10.8,
Jason Kidd,NJN,2007-2008, 6-4,PG,34,51,1895,37.1568627451,201,549,.366,84,236,.356,91,111,.820,58,1.13725490196,354,6.94117647059,412,8.07843137255,530,10.3921568627,74,1.45098039216,15,0.294117647059,185,3.62745098039,90,577,11.3137254902,
Jason Kidd,DAL,2007-2008, 6-4,PG,34,29,1011,34.8620689655,104,244,.426,35,76,.461,44,54,.815,36,1.24137931034,152,5.24137931034,188,6.48275862069,276,9.51724137931,62,2.13793103448,11,0.379310344828,81,2.79310344828,75,287,9.89655172414,
Jason Kidd,DAL,2008-2009, 6-4,PG,35,81,2886,35.6296296296,257,618,.416,131,323,.406,86,105,.819,85,1.04938271605,415,5.12345679012,500,6.17283950617,702,8.66666666667,160,1.97530864198,39,0.481481481481,185,2.28395061728,168,731,9.02469135802,
Jason Kidd,DAL,2009-2010, 6-4,PG,36,80,2881,36.0125,284,671,.423,176,414,.425,80,99,.808,48,0.6,397,4.9625,445,5.5625,724,9.05,145,1.8125,35,0.4375,195,2.4375,142,824,10.3,
