Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jason Richardson,GSW,2001-2002, 6-6,SG,21,80,2629,32.8625,464,1090,.426,82,246,.333,141,210,.671,124,1.55,216,2.7,340,4.25,236,2.95,106,1.325,31,0.3875,160,2.0,195,1151,14.3875,
Jason Richardson,GSW,2002-2003, 6-6,SG,22,82,2698,32.9024390244,476,1161,.410,123,334,.368,207,271,.764,111,1.35365853659,267,3.25609756098,378,4.60975609756,247,3.01219512195,90,1.09756097561,23,0.280487804878,179,2.18292682927,201,1282,15.6341463415,
Jason Richardson,GSW,2003-2004, 6-6,SG,23,78,2936,37.641025641,563,1284,.438,77,273,.282,258,377,.684,124,1.58974358974,400,5.12820512821,524,6.71794871795,226,2.89743589744,86,1.10256410256,41,0.525641025641,196,2.51282051282,182,1461,18.7307692308,
Jason Richardson,GSW,2004-2005, 6-6,SG,24,72,2724,37.8333333333,610,1368,.446,125,370,.338,214,309,.693,125,1.73611111111,299,4.15277777778,424,5.88888888889,281,3.90277777778,105,1.45833333333,32,0.444444444444,169,2.34722222222,156,1559,21.6527777778,
Jason Richardson,GSW,2005-2006, 6-6,SG,25,75,2877,38.36,641,1438,.446,183,477,.384,276,410,.673,105,1.4,333,4.44,438,5.84,232,3.09333333333,97,1.29333333333,37,0.493333333333,167,2.22666666667,206,1741,23.2133333333,
Jason Richardson,GSW,2006-2007, 6-6,SG,26,51,1675,32.8431372549,306,734,.417,110,301,.365,92,140,.657,71,1.39215686275,188,3.6862745098,259,5.07843137255,172,3.37254901961,54,1.05882352941,32,0.627450980392,82,1.60784313725,129,814,15.9607843137,
Jason Richardson,CHA,2007-2008, 6-6,SF,27,82,3149,38.4024390244,648,1468,.441,243,599,.406,249,331,.752,80,0.975609756098,361,4.40243902439,441,5.37804878049,258,3.14634146341,116,1.41463414634,57,0.69512195122,166,2.0243902439,241,1788,21.8048780488,
Jason Richardson,TOT,2008-2009, 6-6,SG,28,72,2410,33.4722222222,465,974,.477,129,325,.397,153,199,.769,77,1.06944444444,242,3.36111111111,319,4.43055555556,146,2.02777777778,76,1.05555555556,28,0.388888888889,95,1.31944444444,146,1212,16.8333333333,
Jason Richardson,CHA,2008-2009, 6-6,SG,28,14,491,35.0714285714,97,220,.441,27,59,.458,41,55,.745,13,0.928571428571,45,3.21428571429,58,4.14285714286,36,2.57142857143,14,1.0,3,0.214285714286,24,1.71428571429,43,262,18.7142857143,
Jason Richardson,PHO,2008-2009, 6-6,SG,28,58,1919,33.0862068966,368,754,.488,102,266,.383,112,144,.778,64,1.10344827586,197,3.39655172414,261,4.5,110,1.89655172414,62,1.06896551724,25,0.431034482759,71,1.22413793103,103,950,16.3793103448,
Jason Richardson,PHO,2009-2010, 6-6,SG,29,79,2485,31.4556962025,473,998,.474,157,400,.393,136,184,.739,81,1.0253164557,323,4.08860759494,404,5.11392405063,143,1.81012658228,66,0.835443037975,33,0.417721518987,92,1.16455696203,169,1239,15.6835443038,
Jason Richardson,TOT,2010-2011, 6-6,SG,30,80,2715,33.9375,472,1056,.447,189,479,.395,116,159,.730,67,0.8375,264,3.3,331,4.1375,147,1.8375,93,1.1625,13,0.1625,95,1.1875,162,1249,15.6125,
Jason Richardson,PHO,2010-2011, 6-6,SG,30,25,796,31.84,183,389,.470,62,148,.419,55,72,.764,33,1.32,78,3.12,111,4.44,36,1.44,27,1.08,3,0.12,30,1.2,46,483,19.32,
Jason Richardson,ORL,2010-2011, 6-6,SG,30,55,1919,34.8909090909,289,667,.433,127,331,.384,61,87,.701,34,0.618181818182,186,3.38181818182,220,4.0,111,2.01818181818,66,1.2,10,0.181818181818,65,1.18181818182,116,766,13.9272727273,
Jason Richardson,ORL,2011-2012, 6-6,SG,31,54,1591,29.462962963,243,596,.408,102,277,.368,41,69,.594,36,0.666666666667,158,2.92592592593,194,3.59259259259,107,1.98148148148,53,0.981481481481,22,0.407407407407,60,1.11111111111,91,629,11.6481481481,
Jason Richardson,PHI,2012-2013, 6-6,SG,32,33,936,28.3636363636,135,336,.402,57,167,.341,20,33,.606,19,0.575757575758,108,3.27272727273,127,3.84848484848,51,1.54545454545,40,1.21212121212,15,0.454545454545,26,0.787878787879,57,347,10.5151515152,
