Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jason Terry,ATL,1999-2000, 6-2,PG,22,81,1888,23.3086419753,249,600,.415,46,157,.293,113,140,.807,24,0.296296296296,142,1.75308641975,166,2.04938271605,346,4.27160493827,90,1.11111111111,10,0.123456790123,156,1.92592592593,133,657,8.11111111111,
Jason Terry,ATL,2000-2001, 6-2,SG,23,82,3089,37.6707317073,596,1367,.436,124,314,.395,303,358,.846,42,0.512195121951,227,2.76829268293,269,3.28048780488,403,4.91463414634,104,1.26829268293,12,0.146341463415,239,2.91463414634,204,1619,19.743902439,
Jason Terry,ATL,2001-2002, 6-2,SG,24,78,2967,38.0384615385,524,1219,.430,172,444,.387,284,340,.835,40,0.512820512821,230,2.94871794872,270,3.46153846154,444,5.69230769231,144,1.84615384615,13,0.166666666667,181,2.32051282051,156,1504,19.2820512821,
Jason Terry,ATL,2002-2003, 6-2,PG,25,81,3081,38.037037037,488,1141,.428,160,431,.371,259,292,.887,37,0.456790123457,242,2.98765432099,279,3.44444444444,600,7.40740740741,126,1.55555555556,14,0.172839506173,249,3.07407407407,175,1395,17.2222222222,
Jason Terry,ATL,2003-2004, 6-2,PG,26,81,3018,37.2592592593,499,1196,.417,146,421,.347,215,260,.827,49,0.604938271605,287,3.54320987654,336,4.14814814815,437,5.3950617284,124,1.53086419753,16,0.197530864198,229,2.82716049383,192,1359,16.7777777778,
Jason Terry,DAL,2004-2005, 6-2,PG,27,80,2401,30.0125,372,743,.501,103,245,.420,146,173,.844,38,0.475,150,1.875,188,2.35,429,5.3625,109,1.3625,15,0.1875,147,1.8375,177,993,12.4125,
Jason Terry,DAL,2005-2006, 6-2,PG,28,80,2798,34.975,516,1099,.470,171,416,.411,168,210,.800,31,0.3875,127,1.5875,158,1.975,306,3.825,100,1.25,27,0.3375,135,1.6875,196,1371,17.1375,
Jason Terry,DAL,2006-2007, 6-2,SG,29,81,2846,35.1358024691,514,1063,.484,162,370,.438,160,199,.804,41,0.506172839506,190,2.34567901235,231,2.85185185185,422,5.20987654321,81,1.0,17,0.20987654321,152,1.87654320988,170,1350,16.6666666667,
Jason Terry,DAL,2007-2008, 6-2,SG,30,82,2579,31.4512195122,471,1008,.467,136,363,.375,191,223,.857,30,0.365853658537,178,2.17073170732,208,2.53658536585,264,3.21951219512,88,1.07317073171,18,0.219512195122,92,1.12195121951,170,1269,15.4756097561,
Jason Terry,DAL,2008-2009, 6-2,SG,31,74,2491,33.6621621622,541,1168,.463,167,456,.366,198,225,.880,39,0.527027027027,138,1.86486486486,177,2.39189189189,251,3.39189189189,97,1.31081081081,20,0.27027027027,119,1.60810810811,141,1447,19.5540540541,
Jason Terry,DAL,2009-2010, 6-2,SG,32,77,2540,32.987012987,456,1041,.438,136,373,.365,232,268,.866,19,0.246753246753,121,1.57142857143,140,1.81818181818,292,3.79220779221,94,1.22077922078,17,0.220779220779,109,1.41558441558,142,1280,16.6233766234,
Jason Terry,DAL,2010-2011, 6-2,SG,33,82,2564,31.2682926829,492,1091,.451,127,351,.362,182,214,.850,24,0.292682926829,129,1.57317073171,153,1.86585365854,334,4.07317073171,93,1.13414634146,13,0.158536585366,167,2.03658536585,140,1293,15.7682926829,
Jason Terry,DAL,2011-2012, 6-2,SG,34,63,2000,31.746031746,357,830,.430,138,365,.378,98,111,.883,16,0.253968253968,133,2.11111111111,149,2.36507936508,226,3.5873015873,73,1.15873015873,11,0.174603174603,127,2.01587301587,69,950,15.0793650794,
Jason Terry,BOS,2012-2013, 6-2,SG,35,64,1760,27.5,233,534,.436,103,274,.376,90,104,.865,18,0.28125,108,1.6875,126,1.96875,166,2.59375,54,0.84375,8,0.125,79,1.234375,86,659,10.296875,
