Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jay Humphries,PHO,1984-1985, 6-3,SG,22,80,2062,25.775,279,626,.446,4,20,.200,141,170,.829,32,0.4,132,1.65,164,2.05,350,4.375,107,1.3375,8,0.1,167,2.0875,209,703,8.7875,
Jay Humphries,PHO,1985-1986, 6-3,PG,23,82,2733,33.3292682927,352,735,.479,4,29,.138,197,257,.767,56,0.682926829268,204,2.48780487805,260,3.17073170732,526,6.41463414634,132,1.60975609756,9,0.109756097561,190,2.31707317073,222,905,11.0365853659,
Jay Humphries,PHO,1986-1987, 6-3,PG,24,82,2579,31.4512195122,359,753,.477,5,27,.185,200,260,.769,62,0.756097560976,198,2.41463414634,260,3.17073170732,632,7.70731707317,112,1.36585365854,9,0.109756097561,195,2.37804878049,239,923,11.256097561,
Jay Humphries,TOT,1987-1988, 6-3,PG,25,68,1809,26.6029411765,284,538,.528,3,18,.167,112,153,.732,49,0.720588235294,125,1.83823529412,174,2.55882352941,395,5.80882352941,81,1.19117647059,5,0.0735294117647,127,1.86764705882,177,683,10.0441176471,
Jay Humphries,PHO,1987-1988, 6-3,PG,25,50,1557,31.14,264,484,.545,3,16,.188,103,139,.741,44,0.88,107,2.14,151,3.02,354,7.08,61,1.22,4,0.08,108,2.16,154,634,12.68,
Jay Humphries,MIL,1987-1988, 6-3,PG,25,18,252,14.0,20,54,.370,0,2,.000,9,14,.643,5,0.277777777778,18,1.0,23,1.27777777778,41,2.27777777778,20,1.11111111111,1,0.0555555555556,19,1.05555555556,23,49,2.72222222222,
Jay Humphries,MIL,1988-1989, 6-3,PG,26,73,2220,30.4109589041,345,714,.483,25,94,.266,129,158,.816,70,0.958904109589,119,1.6301369863,189,2.58904109589,405,5.54794520548,142,1.94520547945,5,0.0684931506849,160,2.19178082192,187,844,11.5616438356,
Jay Humphries,MIL,1989-1990, 6-3,PG,27,81,2818,34.7901234568,496,1005,.494,21,70,.300,224,285,.786,80,0.987654320988,189,2.33333333333,269,3.32098765432,472,5.82716049383,156,1.92592592593,11,0.135802469136,151,1.86419753086,253,1237,15.2716049383,
Jay Humphries,MIL,1990-1991, 6-3,PG,28,80,2726,34.075,482,960,.502,60,161,.373,191,239,.799,57,0.7125,163,2.0375,220,2.75,538,6.725,129,1.6125,7,0.0875,151,1.8875,237,1215,15.1875,
Jay Humphries,MIL,1991-1992, 6-3,PG,29,71,2261,31.8450704225,377,803,.469,42,144,.292,195,249,.783,44,0.619718309859,140,1.97183098592,184,2.59154929577,466,6.56338028169,119,1.67605633803,13,0.183098591549,148,2.08450704225,210,991,13.9577464789,
Jay Humphries,UTA,1992-1993, 6-3,SG,30,78,2034,26.0769230769,287,659,.436,15,75,.200,101,130,.777,40,0.512820512821,103,1.32051282051,143,1.83333333333,317,4.0641025641,101,1.29487179487,11,0.141025641026,132,1.69230769231,236,690,8.84615384615,
Jay Humphries,UTA,1993-1994, 6-3,SG,31,75,1619,21.5866666667,233,535,.436,38,96,.396,57,76,.750,35,0.466666666667,92,1.22666666667,127,1.69333333333,219,2.92,65,0.866666666667,11,0.146666666667,95,1.26666666667,168,561,7.48,
Jay Humphries,TOT,1994-1995, 6-3,SG,32,18,201,11.1666666667,8,34,.235,2,4,.500,2,4,.500,4,0.222222222222,9,0.5,13,0.722222222222,19,1.05555555556,9,0.5,0,0.0,17,0.944444444444,35,20,1.11111111111,
Jay Humphries,UTA,1994-1995, 6-3,SG,32,12,149,12.4166666667,4,25,.160,2,3,.667,0,0,.000,2,0.166666666667,8,0.666666666667,10,0.833333333333,9,0.75,7,0.583333333333,0,0.0,12,1.0,25,10,0.833333333333,
Jay Humphries,BOS,1994-1995, 6-3,PG,32,6,52,8.66666666667,4,9,.444,0,1,.000,2,4,.500,2,0.333333333333,1,0.166666666667,3,0.5,10,1.66666666667,2,0.333333333333,0,0.0,5,0.833333333333,10,10,1.66666666667,
