Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jay Vincent,DAL,1981-1982, 6-7,PF,22,81,2626,32.4197530864,719,1448,.497,1,4,.250,293,409,.716,182,2.24691358025,383,4.72839506173,565,6.97530864198,176,2.17283950617,89,1.0987654321,22,0.271604938272,194,2.3950617284,308,1732,21.3827160494,
Jay Vincent,DAL,1982-1983, 6-7,PF,23,81,2726,33.6543209877,622,1272,.489,0,3,.000,269,343,.784,217,2.67901234568,375,4.62962962963,592,7.30864197531,212,2.61728395062,70,0.864197530864,45,0.555555555556,188,2.32098765432,295,1513,18.6790123457,
Jay Vincent,DAL,1983-1984, 6-7,SF,24,61,1421,23.2950819672,252,579,.435,0,1,.000,168,215,.781,81,1.32786885246,166,2.72131147541,247,4.04918032787,114,1.86885245902,30,0.491803278689,10,0.16393442623,113,1.85245901639,159,672,11.0163934426,
Jay Vincent,DAL,1984-1985, 6-7,PF,25,79,2543,32.1898734177,545,1138,.479,0,4,.000,351,420,.836,185,2.3417721519,519,6.56962025316,704,8.91139240506,169,2.13924050633,48,0.607594936709,22,0.278481012658,170,2.15189873418,226,1441,18.2405063291,
Jay Vincent,DAL,1985-1986, 6-7,PF,26,80,1994,24.925,442,919,.481,0,3,.000,222,274,.810,107,1.3375,261,3.2625,368,4.6,180,2.25,66,0.825,21,0.2625,145,1.8125,193,1106,13.825,
Jay Vincent,WSB,1986-1987, 6-7,SF,27,51,1386,27.1764705882,274,613,.447,0,3,.000,130,169,.769,69,1.35294117647,141,2.76470588235,210,4.11764705882,85,1.66666666667,40,0.78431372549,17,0.333333333333,77,1.50980392157,127,678,13.2941176471,
Jay Vincent,DEN,1987-1988, 6-7,SF,28,73,1755,24.0410958904,446,958,.466,1,4,.250,231,287,.805,80,1.09589041096,229,3.13698630137,309,4.23287671233,143,1.95890410959,46,0.630136986301,26,0.356164383562,137,1.87671232877,198,1124,15.397260274,
Jay Vincent,TOT,1988-1989, 6-7,SF,29,29,646,22.275862069,104,257,.405,1,3,.333,40,60,.667,38,1.31034482759,72,2.48275862069,110,3.79310344828,27,0.931034482759,6,0.206896551724,4,0.137931034483,42,1.44827586207,63,249,8.58620689655,
Jay Vincent,DEN,1988-1989, 6-7,SF,29,5,95,19.0,13,38,.342,1,2,.500,5,9,.556,2,0.4,16,3.2,18,3.6,5,1.0,1,0.2,1,0.2,5,1.0,11,32,6.4,
Jay Vincent,SAS,1988-1989, 6-7,SF,29,24,551,22.9583333333,91,219,.416,0,1,.000,35,51,.686,36,1.5,56,2.33333333333,92,3.83333333333,22,0.916666666667,5,0.208333333333,3,0.125,37,1.54166666667,52,217,9.04166666667,
Jay Vincent,TOT,1989-1990, 6-7,SF,30,41,459,11.1951219512,86,183,.470,1,2,.500,41,49,.837,20,0.487804878049,42,1.0243902439,62,1.51219512195,18,0.439024390244,18,0.439024390244,5,0.121951219512,33,0.80487804878,52,214,5.21951219512,
Jay Vincent,PHI,1989-1990, 6-7,SF,30,17,259,15.2352941176,45,105,.429,1,1,1.000,33,37,.892,13,0.764705882353,23,1.35294117647,36,2.11764705882,8,0.470588235294,10,0.588235294118,2,0.117647058824,14,0.823529411765,23,124,7.29411764706,
Jay Vincent,LAL,1989-1990, 6-7,SF,30,24,200,8.33333333333,41,78,.526,0,1,.000,8,12,.667,7,0.291666666667,19,0.791666666667,26,1.08333333333,10,0.416666666667,8,0.333333333333,3,0.125,19,0.791666666667,29,90,3.75,
