Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jeff Cook,PHO,1979-1980, 6-10,PF,23,66,904,13.696969697,129,275,.469,0,3,.000,104,129,.806,90,1.36363636364,151,2.28787878788,241,3.65151515152,84,1.27272727273,28,0.424242424242,18,0.272727272727,71,1.07575757576,102,362,5.48484848485,
Jeff Cook,PHO,1980-1981, 6-10,SF,24,79,2192,27.746835443,286,616,.464,0,5,.000,100,155,.645,170,2.15189873418,297,3.75949367089,467,5.91139240506,201,2.54430379747,82,1.03797468354,54,0.683544303797,146,1.84810126582,236,672,8.50632911392,
Jeff Cook,PHO,1981-1982, 6-10,PF,25,76,1298,17.0789473684,151,358,.422,0,2,.000,89,134,.664,112,1.47368421053,189,2.48684210526,301,3.96052631579,100,1.31578947368,37,0.486842105263,23,0.302631578947,80,1.05263157895,174,391,5.14473684211,
Jeff Cook,TOT,1982-1983, 6-10,PF,26,75,1333,17.7733333333,148,304,.487,0,3,.000,79,104,.760,119,1.58666666667,216,2.88,335,4.46666666667,102,1.36,39,0.52,31,0.413333333333,105,1.4,181,375,5.0,
Jeff Cook,PHO,1982-1983, 6-10,PF,26,45,551,12.2444444444,61,142,.430,0,2,.000,41,54,.759,44,0.977777777778,85,1.88888888889,129,2.86666666667,58,1.28888888889,12,0.266666666667,13,0.288888888889,56,1.24444444444,89,163,3.62222222222,
Jeff Cook,CLE,1982-1983, 6-10,PF,26,30,782,26.0666666667,87,162,.537,0,1,.000,38,50,.760,75,2.5,131,4.36666666667,206,6.86666666667,44,1.46666666667,27,0.9,18,0.6,49,1.63333333333,92,212,7.06666666667,
Jeff Cook,CLE,1983-1984, 6-10,C,27,81,1950,24.0740740741,188,387,.486,1,2,.500,94,130,.723,174,2.14814814815,310,3.82716049383,484,5.97530864198,123,1.51851851852,68,0.83950617284,47,0.58024691358,91,1.12345679012,282,471,5.81481481481,
Jeff Cook,TOT,1984-1985, 6-10,PF,28,72,1288,17.8888888889,138,279,.495,0,1,.000,47,64,.734,122,1.69444444444,192,2.66666666667,314,4.36111111111,62,0.861111111111,30,0.416666666667,23,0.319444444444,48,0.666666666667,203,323,4.48611111111,
Jeff Cook,CLE,1984-1985, 6-10,PF,28,18,440,24.4444444444,46,105,.438,0,1,.000,17,27,.630,41,2.27777777778,63,3.5,104,5.77777777778,23,1.27777777778,5,0.277777777778,9,0.5,16,0.888888888889,53,109,6.05555555556,
Jeff Cook,SAS,1984-1985, 6-10,PF,28,54,848,15.7037037037,92,174,.529,0,0,.000,30,37,.811,81,1.5,129,2.38888888889,210,3.88888888889,39,0.722222222222,25,0.462962962963,14,0.259259259259,32,0.592592592593,150,214,3.96296296296,
Jeff Cook,TOT,1985-1986, 6-10,PF,29,36,373,10.3611111111,31,73,.425,0,1,.000,27,42,.643,33,0.916666666667,53,1.47222222222,86,2.38888888889,21,0.583333333333,13,0.361111111111,11,0.305555555556,14,0.388888888889,65,89,2.47222222222,
Jeff Cook,SAS,1985-1986, 6-10,PF,29,34,356,10.4705882353,28,67,.418,0,1,.000,26,41,.634,31,0.911764705882,50,1.47058823529,81,2.38235294118,21,0.617647058824,13,0.382352941176,11,0.323529411765,11,0.323529411765,64,82,2.41176470588,
Jeff Cook,UTA,1985-1986, 6-10,PF,29,2,17,8.5,3,6,.500,0,0,.000,1,1,1.000,2,1.0,3,1.5,5,2.5,0,0.0,0,0.0,0,0.0,3,1.5,1,7,3.5,
Jeff Cook,PHO,1987-1988, 6-10,PF,31,33,359,10.8787878788,14,59,.237,0,1,.000,23,28,.821,37,1.12121212121,69,2.09090909091,106,3.21212121212,14,0.424242424242,9,0.272727272727,8,0.242424242424,14,0.424242424242,64,51,1.54545454545,
