Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jerome Kersey,POR,1984-1985, 6-7,SF,22,77,958,12.4415584416,178,372,.478,0,3,.000,117,181,.646,95,1.23376623377,111,1.44155844156,206,2.67532467532,63,0.818181818182,49,0.636363636364,29,0.376623376623,66,0.857142857143,147,473,6.14285714286,
Jerome Kersey,POR,1985-1986, 6-7,SF,23,79,1217,15.4050632911,258,470,.549,0,6,.000,156,229,.681,137,1.73417721519,156,1.9746835443,293,3.70886075949,83,1.05063291139,85,1.07594936709,32,0.405063291139,113,1.43037974684,208,672,8.50632911392,
Jerome Kersey,POR,1986-1987, 6-7,SF,24,82,2088,25.4634146341,373,733,.509,1,23,.043,262,364,.720,201,2.4512195122,295,3.59756097561,496,6.0487804878,194,2.36585365854,122,1.48780487805,77,0.939024390244,149,1.81707317073,328,1009,12.3048780488,
Jerome Kersey,POR,1987-1988, 6-7,SF,25,79,2888,36.5569620253,611,1225,.499,3,15,.200,291,396,.735,211,2.67088607595,446,5.64556962025,657,8.3164556962,243,3.07594936709,127,1.60759493671,65,0.822784810127,161,2.03797468354,302,1516,19.1898734177,
Jerome Kersey,POR,1988-1989, 6-7,SF,26,76,2716,35.7368421053,533,1137,.469,6,21,.286,258,372,.694,246,3.23684210526,383,5.03947368421,629,8.27631578947,243,3.19736842105,137,1.80263157895,84,1.10526315789,167,2.19736842105,277,1330,17.5,
Jerome Kersey,POR,1989-1990, 6-7,SF,27,82,2843,34.6707317073,519,1085,.478,3,20,.150,269,390,.690,251,3.06097560976,439,5.35365853659,690,8.41463414634,188,2.29268292683,121,1.4756097561,63,0.768292682927,144,1.75609756098,304,1310,15.9756097561,
Jerome Kersey,POR,1990-1991, 6-7,SF,28,73,2359,32.3150684932,424,887,.478,4,13,.308,232,327,.709,169,2.31506849315,312,4.27397260274,481,6.58904109589,227,3.1095890411,101,1.38356164384,76,1.04109589041,149,2.04109589041,251,1084,14.8493150685,
Jerome Kersey,POR,1991-1992, 6-7,SF,29,77,2553,33.1558441558,398,852,.467,1,8,.125,174,262,.664,241,3.12987012987,392,5.09090909091,633,8.22077922078,243,3.15584415584,114,1.48051948052,71,0.922077922078,151,1.96103896104,254,971,12.6103896104,
Jerome Kersey,POR,1992-1993, 6-7,SF,30,65,1719,26.4461538462,281,642,.438,8,28,.286,116,183,.634,126,1.93846153846,280,4.30769230769,406,6.24615384615,121,1.86153846154,80,1.23076923077,41,0.630769230769,84,1.29230769231,181,686,10.5538461538,
Jerome Kersey,POR,1993-1994, 6-7,SF,31,78,1276,16.358974359,203,469,.433,1,8,.125,101,135,.748,130,1.66666666667,201,2.57692307692,331,4.24358974359,75,0.961538461538,71,0.910256410256,49,0.628205128205,63,0.807692307692,213,508,6.51282051282,
Jerome Kersey,POR,1994-1995, 6-7,SF,32,63,1143,18.1428571429,203,489,.415,7,27,.259,95,124,.766,93,1.47619047619,163,2.5873015873,256,4.06349206349,82,1.30158730159,52,0.825396825397,35,0.555555555556,64,1.01587301587,173,508,8.06349206349,
Jerome Kersey,GSW,1995-1996, 6-7,SF,33,76,1620,21.3157894737,205,500,.410,3,17,.176,97,147,.660,154,2.02631578947,209,2.75,363,4.77631578947,114,1.5,91,1.19736842105,45,0.592105263158,75,0.986842105263,205,510,6.71052631579,
Jerome Kersey,LAL,1996-1997, 6-7,SF,34,70,1766,25.2285714286,194,449,.432,17,65,.262,71,118,.602,112,1.6,251,3.58571428571,363,5.18571428571,89,1.27142857143,119,1.7,49,0.7,74,1.05714285714,219,476,6.8,
Jerome Kersey,SEA,1997-1998, 6-7,SF,35,37,717,19.3783783784,97,233,.416,1,10,.100,39,65,.600,56,1.51351351351,79,2.13513513514,135,3.64864864865,44,1.18918918919,52,1.40540540541,14,0.378378378378,36,0.972972972973,104,234,6.32432432432,
Jerome Kersey,SAS,1998-1999, 6-7,SF,36,45,699,15.5333333333,68,200,.340,3,14,.214,6,14,.429,42,0.933333333333,88,1.95555555556,130,2.88888888889,41,0.911111111111,37,0.822222222222,14,0.311111111111,30,0.666666666667,92,145,3.22222222222,
Jerome Kersey,SAS,1999-2000, 6-7,SF,37,72,1310,18.1944444444,146,354,.412,0,9,.000,29,41,.707,58,0.805555555556,167,2.31944444444,225,3.125,69,0.958333333333,67,0.930555555556,47,0.652777777778,51,0.708333333333,161,321,4.45833333333,
Jerome Kersey,MIL,2000-2001, 6-7,SF,38,22,243,11.0454545455,32,69,.464,0,1,.000,8,16,.500,8,0.363636363636,37,1.68181818182,45,2.04545454545,15,0.681818181818,14,0.636363636364,8,0.363636363636,6,0.272727272727,36,72,3.27272727273,
