Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jerry Lucas,CIN,1963-1964, 6-8,PF,23,79,3273,41.4303797468,545,1035,.527,.000,.000,.000,310,398,.779,.000,0.0,.000,0.0,1375,17.4050632911,204,2.58227848101,.000,0.0,.000,0.0,.000,0.0,300,1400,17.7215189873,
Jerry Lucas,CIN,1964-1965, 6-8,PF,24,66,2864,43.3939393939,558,1121,.498,.000,.000,.000,298,366,.814,.000,0.0,.000,0.0,1321,20.0151515152,157,2.37878787879,.000,0.0,.000,0.0,.000,0.0,214,1414,21.4242424242,
Jerry Lucas,CIN,1965-1966, 6-8,PF,25,79,3517,44.5189873418,690,1523,.453,.000,.000,.000,317,403,.787,.000,0.0,.000,0.0,1668,21.1139240506,213,2.69620253165,.000,0.0,.000,0.0,.000,0.0,274,1697,21.4810126582,
Jerry Lucas,CIN,1966-1967, 6-8,PF,26,81,3558,43.9259259259,577,1257,.459,.000,.000,.000,284,359,.791,.000,0.0,.000,0.0,1547,19.0987654321,268,3.30864197531,.000,0.0,.000,0.0,.000,0.0,280,1438,17.7530864198,
Jerry Lucas,CIN,1967-1968, 6-8,PF,27,82,3619,44.1341463415,707,1361,.519,.000,.000,.000,346,445,.778,.000,0.0,.000,0.0,1560,19.0243902439,251,3.06097560976,.000,0.0,.000,0.0,.000,0.0,243,1760,21.4634146341,
Jerry Lucas,CIN,1968-1969, 6-8,PF,28,74,3075,41.5540540541,555,1007,.551,.000,.000,.000,247,327,.755,.000,0.0,.000,0.0,1360,18.3783783784,306,4.13513513514,.000,0.0,.000,0.0,.000,0.0,206,1357,18.3378378378,
Jerry Lucas,TOT,1969-1970, 6-8,PF,29,67,2420,36.1194029851,405,799,.507,.000,.000,.000,200,255,.784,.000,0.0,.000,0.0,951,14.1940298507,175,2.61194029851,.000,0.0,.000,0.0,.000,0.0,164,1010,15.0746268657,
Jerry Lucas,CIN,1969-1970, 6-8,PF,29,4,118,29.5,18,35,.514,.000,.000,.000,5,7,.714,.000,0.0,.000,0.0,45,11.25,9,2.25,.000,0.0,.000,0.0,.000,0.0,5,41,10.25,
Jerry Lucas,SFW,1969-1970, 6-8,PF,29,63,2302,36.5396825397,387,764,.507,.000,.000,.000,195,248,.786,.000,0.0,.000,0.0,906,14.380952381,166,2.63492063492,.000,0.0,.000,0.0,.000,0.0,159,969,15.380952381,
Jerry Lucas,SFW,1970-1971, 6-8,PF,30,80,3251,40.6375,623,1250,.498,.000,.000,.000,289,367,.787,.000,0.0,.000,0.0,1265,15.8125,293,3.6625,.000,0.0,.000,0.0,.000,0.0,197,1535,19.1875,
Jerry Lucas,NYK,1971-1972, 6-8,C,31,77,2926,38.0,543,1060,.512,.000,.000,.000,197,249,.791,.000,0.0,.000,0.0,1011,13.1298701299,318,4.12987012987,.000,0.0,.000,0.0,.000,0.0,218,1283,16.6623376623,
Jerry Lucas,NYK,1972-1973, 6-8,PF,32,71,2001,28.1830985915,312,608,.513,.000,.000,.000,80,100,.800,.000,0.0,.000,0.0,510,7.18309859155,317,4.46478873239,.000,0.0,.000,0.0,.000,0.0,157,704,9.91549295775,
Jerry Lucas,NYK,1973-1974, 6-8,C,33,73,1627,22.2876712329,194,420,.462,.000,.000,.000,67,96,.698,62,0.849315068493,312,4.27397260274,374,5.12328767123,230,3.15068493151,28,0.383561643836,24,0.328767123288,.000,0.0,134,455,6.23287671233,
