Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jerry Sichting,IND,1980-1981, 6-1,PG,24,47,450,9.57446808511,34,95,.358,0,5,.000,25,32,.781,11,0.234042553191,32,0.68085106383,43,0.914893617021,70,1.48936170213,23,0.489361702128,1,0.0212765957447,28,0.595744680851,38,93,1.97872340426,
Jerry Sichting,IND,1981-1982, 6-1,PG,25,51,800,15.6862745098,91,194,.469,1,9,.111,29,38,.763,14,0.274509803922,41,0.803921568627,55,1.07843137255,117,2.29411764706,33,0.647058823529,1,0.0196078431373,42,0.823529411765,63,212,4.1568627451,
Jerry Sichting,IND,1982-1983, 6-1,PG,26,78,2435,31.2179487179,316,661,.478,3,18,.167,92,107,.860,33,0.423076923077,122,1.5641025641,155,1.98717948718,433,5.55128205128,104,1.33333333333,2,0.025641025641,138,1.76923076923,185,727,9.32051282051,
Jerry Sichting,IND,1983-1984, 6-1,PG,27,80,2497,31.2125,397,746,.532,6,20,.300,117,135,.867,44,0.55,127,1.5875,171,2.1375,457,5.7125,90,1.125,8,0.1,144,1.8,179,917,11.4625,
Jerry Sichting,IND,1984-1985, 6-1,PG,28,70,1808,25.8285714286,325,624,.521,9,37,.243,112,128,.875,24,0.342857142857,90,1.28571428571,114,1.62857142857,264,3.77142857143,47,0.671428571429,4,0.0571428571429,102,1.45714285714,116,771,11.0142857143,
Jerry Sichting,BOS,1985-1986, 6-1,PG,29,82,1596,19.4634146341,235,412,.570,6,16,.375,61,66,.924,27,0.329268292683,77,0.939024390244,104,1.26829268293,188,2.29268292683,50,0.609756097561,0,0.0,73,0.890243902439,118,537,6.5487804878,
Jerry Sichting,BOS,1986-1987, 6-1,PG,30,78,1566,20.0769230769,202,398,.508,7,26,.269,37,42,.881,22,0.282051282051,69,0.884615384615,91,1.16666666667,187,2.39743589744,40,0.512820512821,1,0.0128205128205,61,0.782051282051,124,448,5.74358974359,
Jerry Sichting,TOT,1987-1988, 6-1,PG,31,52,694,13.3461538462,93,172,.541,10,22,.455,17,23,.739,9,0.173076923077,27,0.519230769231,36,0.692307692308,93,1.78846153846,21,0.403846153846,0,0.0,22,0.423076923077,60,213,4.09615384615,
Jerry Sichting,BOS,1987-1988, 6-1,PG,31,24,370,15.4166666667,44,82,.537,2,8,.250,8,12,.667,5,0.208333333333,16,0.666666666667,21,0.875,60,2.5,14,0.583333333333,0,0.0,14,0.583333333333,30,98,4.08333333333,
Jerry Sichting,POR,1987-1988, 6-1,PG,31,28,324,11.5714285714,49,90,.544,8,14,.571,9,11,.818,4,0.142857142857,11,0.392857142857,15,0.535714285714,33,1.17857142857,7,0.25,0,0.0,8,0.285714285714,30,115,4.10714285714,
Jerry Sichting,POR,1988-1989, 6-1,PG,32,25,390,15.6,46,104,.442,3,12,.250,7,8,.875,9,0.36,20,0.8,29,1.16,59,2.36,15,0.6,0,0.0,25,1.0,17,102,4.08,
Jerry Sichting,TOT,1989-1990, 6-1,PG,33,35,496,14.1714285714,50,125,.400,3,12,.250,18,22,.818,3,0.0857142857143,16,0.457142857143,19,0.542857142857,94,2.68571428571,16,0.457142857143,2,0.0571428571429,22,0.628571428571,40,121,3.45714285714,
Jerry Sichting,CHH,1989-1990, 6-1,PG,33,34,469,13.7941176471,50,119,.420,3,12,.250,15,18,.833,3,0.0882352941176,16,0.470588235294,19,0.558823529412,92,2.70588235294,16,0.470588235294,2,0.0588235294118,22,0.647058823529,39,118,3.47058823529,
Jerry Sichting,MIL,1989-1990, 6-1,PG,33,1,27,27.0,0,6,.000,0,0,.000,3,4,.750,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1,3,3.0,
