Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Barnett,BOS,1966-1967, 6-4,SG,22,48,383,7.97916666667,78,211,.370,.000,.000,.000,42,62,.677,.000,0.0,.000,0.0,53,1.10416666667,41,0.854166666667,.000,0.0,.000,0.0,.000,0.0,61,198,4.125,
Jim Barnett,SDR,1967-1968, 6-4,SG,23,47,1068,22.7234042553,179,456,.393,.000,.000,.000,84,118,.712,.000,0.0,.000,0.0,155,3.29787234043,134,2.85106382979,.000,0.0,.000,0.0,.000,0.0,101,442,9.40425531915,
Jim Barnett,SDR,1968-1969, 6-4,SG,24,80,2346,29.325,465,1093,.425,.000,.000,.000,233,310,.752,.000,0.0,.000,0.0,362,4.525,339,4.2375,.000,0.0,.000,0.0,.000,0.0,240,1163,14.5375,
Jim Barnett,SDR,1969-1970, 6-4,SG,25,80,2105,26.3125,450,998,.451,.000,.000,.000,289,366,.790,.000,0.0,.000,0.0,305,3.8125,287,3.5875,.000,0.0,.000,0.0,.000,0.0,222,1189,14.8625,
Jim Barnett,POR,1970-1971, 6-4,SG,26,78,2371,30.3974358974,559,1283,.436,.000,.000,.000,326,402,.811,.000,0.0,.000,0.0,376,4.82051282051,323,4.14102564103,.000,0.0,.000,0.0,.000,0.0,190,1444,18.5128205128,
Jim Barnett,GSW,1971-1972, 6-4,PG,27,80,2200,27.5,374,915,.409,.000,.000,.000,244,292,.836,.000,0.0,.000,0.0,250,3.125,309,3.8625,.000,0.0,.000,0.0,.000,0.0,189,992,12.4,
Jim Barnett,GSW,1972-1973, 6-4,PG,28,82,2215,27.012195122,394,844,.467,.000,.000,.000,183,217,.843,.000,0.0,.000,0.0,255,3.10975609756,301,3.67073170732,.000,0.0,.000,0.0,.000,0.0,150,971,11.8414634146,
Jim Barnett,GSW,1973-1974, 6-4,SG,29,77,1689,21.9350649351,350,755,.464,.000,.000,.000,184,226,.814,76,0.987012987013,146,1.8961038961,222,2.88311688312,209,2.71428571429,56,0.727272727273,11,0.142857142857,.000,0.0,146,884,11.4805194805,
Jim Barnett,TOT,1974-1975, 6-4,SG,30,73,1776,24.3287671233,285,652,.437,.000,.000,.000,199,238,.836,60,0.821917808219,119,1.6301369863,179,2.45205479452,176,2.41095890411,47,0.643835616438,16,0.219178082192,.000,0.0,160,769,10.5342465753,
Jim Barnett,NOJ,1974-1975, 6-4,SG,30,45,1238,27.5111111111,215,480,.448,.000,.000,.000,156,188,.830,45,1.0,83,1.84444444444,128,2.84444444444,137,3.04444444444,35,0.777777777778,16,0.355555555556,.000,0.0,109,586,13.0222222222,
Jim Barnett,NYK,1974-1975, 6-4,SG,30,28,538,19.2142857143,70,172,.407,.000,.000,.000,43,50,.860,15,0.535714285714,36,1.28571428571,51,1.82142857143,39,1.39285714286,12,0.428571428571,0,0.0,.000,0.0,51,183,6.53571428571,
Jim Barnett,NYK,1975-1976, 6-4,SG,31,71,1026,14.4507042254,164,371,.442,.000,.000,.000,90,114,.789,48,0.676056338028,40,0.56338028169,88,1.23943661972,90,1.2676056338,24,0.338028169014,3,0.0422535211268,.000,0.0,86,418,5.88732394366,
Jim Barnett,PHI,1976-1977, 6-4,SG,32,16,231,14.4375,28,64,.438,.000,.000,.000,10,18,.556,7,0.4375,7,0.4375,14,0.875,23,1.4375,4,0.25,0,0.0,.000,0.0,28,66,4.125,
