Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Davis,STL,1967-1968, 6-9,C,26,50,394,7.88,61,139,.439,.000,.000,.000,25,64,.391,.000,0.0,.000,0.0,123,2.46,13,0.26,.000,0.0,.000,0.0,.000,0.0,85,147,2.94,
Jim Davis,ATL,1968-1969, 6-9,C,27,78,1367,17.5256410256,265,568,.467,.000,.000,.000,154,231,.667,.000,0.0,.000,0.0,529,6.78205128205,97,1.24358974359,.000,0.0,.000,0.0,.000,0.0,239,684,8.76923076923,
Jim Davis,ATL,1969-1970, 6-9,C,28,82,2623,31.987804878,438,943,.464,.000,.000,.000,240,318,.755,.000,0.0,.000,0.0,796,9.70731707317,238,2.90243902439,.000,0.0,.000,0.0,.000,0.0,335,1116,13.6097560976,
Jim Davis,ATL,1970-1971, 6-9,C,29,82,1864,22.7317073171,241,503,.479,.000,.000,.000,195,288,.677,.000,0.0,.000,0.0,546,6.65853658537,108,1.31707317073,.000,0.0,.000,0.0,.000,0.0,253,677,8.25609756098,
Jim Davis,TOT,1971-1972, 6-9,C,30,75,983,13.1066666667,147,338,.435,.000,.000,.000,100,154,.649,.000,0.0,.000,0.0,276,3.68,51,0.68,.000,0.0,.000,0.0,.000,0.0,138,394,5.25333333333,
Jim Davis,ATL,1971-1972, 6-9,C,30,11,119,10.8181818182,8,33,.242,.000,.000,.000,10,18,.556,.000,0.0,.000,0.0,36,3.27272727273,8,0.727272727273,.000,0.0,.000,0.0,.000,0.0,14,26,2.36363636364,
Jim Davis,HOU,1971-1972, 6-9,C,30,12,180,15.0,18,54,.333,.000,.000,.000,26,38,.684,.000,0.0,.000,0.0,44,3.66666666667,5,0.416666666667,.000,0.0,.000,0.0,.000,0.0,18,62,5.16666666667,
Jim Davis,DET,1971-1972, 6-9,C,30,52,684,13.1538461538,121,251,.482,.000,.000,.000,64,98,.653,.000,0.0,.000,0.0,196,3.76923076923,38,0.730769230769,.000,0.0,.000,0.0,.000,0.0,106,306,5.88461538462,
Jim Davis,DET,1972-1973, 6-9,C,31,73,771,10.5616438356,131,257,.510,.000,.000,.000,72,114,.632,.000,0.0,.000,0.0,261,3.57534246575,56,0.767123287671,.000,0.0,.000,0.0,.000,0.0,126,334,4.57534246575,
Jim Davis,DET,1973-1974, 6-9,C,32,78,947,12.141025641,117,283,.413,.000,.000,.000,90,139,.647,102,1.30769230769,191,2.44871794872,293,3.75641025641,86,1.10256410256,39,0.5,30,0.384615384615,.000,0.0,158,324,4.15384615385,
Jim Davis,DET,1974-1975, 6-9,C,33,79,1078,13.6455696203,118,260,.454,.000,.000,.000,85,117,.726,96,1.21518987342,189,2.39240506329,285,3.60759493671,90,1.13924050633,50,0.632911392405,36,0.455696202532,.000,0.0,129,321,4.06329113924,
