Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Eakins,OAK,1968-1969, 6-11,C,22,78,1671,21.4230769231,351,646,.543,0,1,.000,309,430,.719,224,2.87179487179,339,4.34615384615,563,7.21794871795,53,0.679487179487,.000,0.0,.000,0.0,141,1.80769230769,234,1011,12.9615384615,
Jim Eakins,WSA,1969-1970, 6-11,C,23,82,1214,14.8048780488,181,364,.497,0,0,.000,166,224,.741,130,1.58536585366,282,3.43902439024,412,5.0243902439,71,0.865853658537,.000,0.0,.000,0.0,106,1.29268292683,184,528,6.43902439024,
Jim Eakins,VIR,1970-1971, 6-11,C,24,84,2235,26.6071428571,332,645,.515,0,0,.000,242,319,.759,222,2.64285714286,556,6.61904761905,778,9.2619047619,160,1.90476190476,.000,0.0,.000,0.0,145,1.72619047619,282,906,10.7857142857,
Jim Eakins,VIR,1971-1972, 6-11,C,25,84,2718,32.3571428571,371,764,.486,0,0,.000,288,377,.764,290,3.45238095238,517,6.15476190476,807,9.60714285714,181,2.15476190476,.000,0.0,.000,0.0,189,2.25,298,1030,12.2619047619,
Jim Eakins,VIR,1972-1973, 6-11,C,26,83,2559,30.8313253012,430,823,.522,0,1,.000,384,479,.802,234,2.81927710843,499,6.01204819277,733,8.8313253012,262,3.15662650602,.000,0.0,131,1.57831325301,233,2.80722891566,287,1244,14.9879518072,
Jim Eakins,VIR,1973-1974, 6-11,C,27,84,2649,31.5357142857,445,856,.520,0,1,.000,339,432,.785,296,3.52380952381,510,6.07142857143,806,9.59523809524,236,2.80952380952,65,0.77380952381,98,1.16666666667,228,2.71428571429,265,1229,14.630952381,
Jim Eakins,UTS,1974-1975, 6-11,PF,28,84,2566,30.5476190476,380,756,.503,0,0,.000,291,348,.836,210,2.5,394,4.69047619048,604,7.19047619048,146,1.7380952381,57,0.678571428571,85,1.0119047619,173,2.05952380952,259,1051,12.5119047619,
Jim Eakins,TOT,1975-1976, 6-11,C-,29,73,1667,22.8356164384,215,477,.451,0,0,.000,198,223,.888,167,2.28767123288,272,3.72602739726,439,6.01369863014,88,1.20547945205,34,0.465753424658,70,0.958904109589,114,1.56164383562,220,628,8.60273972603,
Jim Eakins,UTS,1975-1976, 6-11,PF,29,16,568,35.5,69,157,.439,0,0,.000,65,71,.915,51,3.1875,99,6.1875,150,9.375,33,2.0625,9,0.5625,9,0.5625,41,2.5625,72,203,12.6875,
Jim Eakins,VIR,1975-1976, 6-11,C,29,23,636,27.652173913,74,177,.418,0,0,.000,66,73,.904,74,3.21739130435,95,4.13043478261,169,7.34782608696,37,1.60869565217,18,0.782608695652,41,1.78260869565,40,1.73913043478,77,214,9.30434782609,
Jim Eakins,NYA,1975-1976, 6-11,C,29,34,463,13.6176470588,72,143,.503,0,0,.000,67,79,.848,42,1.23529411765,78,2.29411764706,120,3.52941176471,18,0.529411764706,7,0.205882352941,20,0.588235294118,33,0.970588235294,71,211,6.20588235294,
Jim Eakins,KCK,1976-1977, 6-11,C,30,82,1338,16.3170731707,151,336,.449,.000,.000,.000,188,222,.847,112,1.36585365854,249,3.03658536585,361,4.40243902439,119,1.4512195122,29,0.353658536585,49,0.59756097561,.000,0.0,195,490,5.9756097561,
Jim Eakins,TOT,1977-1978, 6-11,C,31,33,406,12.303030303,44,86,.512,.000,.000,.000,50,60,.833,29,0.878787878788,46,1.39393939394,75,2.27272727273,29,0.878787878788,7,0.212121212121,17,0.515151515152,33,1.0,71,138,4.18181818182,
Jim Eakins,SAS,1977-1978, 6-11,C,31,16,251,15.6875,30,52,.577,.000,.000,.000,29,34,.853,17,1.0625,29,1.8125,46,2.875,17,1.0625,3,0.1875,10,0.625,24,1.5,46,89,5.5625,
Jim Eakins,MIL,1977-1978, 6-11,C,31,17,155,9.11764705882,14,34,.412,.000,.000,.000,21,26,.808,12,0.705882352941,17,1.0,29,1.70588235294,12,0.705882352941,4,0.235294117647,7,0.411764705882,9,0.529411764706,25,49,2.88235294118,
