Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Fox,TOT,1967-1968, 6-10,C,24,55,624,11.3454545455,66,161,.410,.000,.000,.000,66,108,.611,.000,0.0,.000,0.0,230,4.18181818182,29,0.527272727273,.000,0.0,.000,0.0,.000,0.0,85,198,3.6,
Jim Fox,CIN,1967-1968, 6-10,C,24,31,244,7.87096774194,32,79,.405,.000,.000,.000,36,56,.643,.000,0.0,.000,0.0,95,3.06451612903,12,0.387096774194,.000,0.0,.000,0.0,.000,0.0,34,100,3.22580645161,
Jim Fox,DET,1967-1968, 6-10,C,24,24,380,15.8333333333,34,82,.415,.000,.000,.000,30,52,.577,.000,0.0,.000,0.0,135,5.625,17,0.708333333333,.000,0.0,.000,0.0,.000,0.0,51,98,4.08333333333,
Jim Fox,TOT,1968-1969, 6-10,C,25,76,2354,30.9736842105,318,677,.470,.000,.000,.000,191,267,.715,.000,0.0,.000,0.0,818,10.7631578947,166,2.18421052632,.000,0.0,.000,0.0,.000,0.0,266,827,10.8815789474,
Jim Fox,DET,1968-1969, 6-10,C,25,25,375,15.0,45,96,.469,.000,.000,.000,34,53,.642,.000,0.0,.000,0.0,139,5.56,23,0.92,.000,0.0,.000,0.0,.000,0.0,56,124,4.96,
Jim Fox,PHO,1968-1969, 6-10,C,25,51,1979,38.8039215686,273,581,.470,.000,.000,.000,157,214,.734,.000,0.0,.000,0.0,679,13.3137254902,143,2.80392156863,.000,0.0,.000,0.0,.000,0.0,210,703,13.7843137255,
Jim Fox,PHO,1969-1970, 6-10,C,26,81,2041,25.1975308642,413,788,.524,.000,.000,.000,218,283,.770,.000,0.0,.000,0.0,570,7.03703703704,93,1.14814814815,.000,0.0,.000,0.0,.000,0.0,261,1044,12.8888888889,
Jim Fox,CHI,1970-1971, 6-10,C,27,82,1628,19.8536585366,280,611,.458,.000,.000,.000,239,321,.745,.000,0.0,.000,0.0,598,7.29268292683,196,2.39024390244,.000,0.0,.000,0.0,.000,0.0,213,799,9.74390243902,
Jim Fox,TOT,1971-1972, 6-10,C,28,81,2180,26.9135802469,354,788,.449,.000,.000,.000,227,297,.764,.000,0.0,.000,0.0,713,8.8024691358,86,1.06172839506,.000,0.0,.000,0.0,.000,0.0,257,935,11.5432098765,
Jim Fox,CHI,1971-1972, 6-10,C,28,10,133,13.3,20,53,.377,.000,.000,.000,20,28,.714,.000,0.0,.000,0.0,54,5.4,6,0.6,.000,0.0,.000,0.0,.000,0.0,21,60,6.0,
Jim Fox,CIN,1971-1972, 6-10,C,28,71,2047,28.8309859155,334,735,.454,.000,.000,.000,207,269,.770,.000,0.0,.000,0.0,659,9.28169014085,80,1.12676056338,.000,0.0,.000,0.0,.000,0.0,236,875,12.323943662,
Jim Fox,SEA,1972-1973, 6-10,C,29,74,2439,32.9594594595,316,613,.515,.000,.000,.000,214,265,.808,.000,0.0,.000,0.0,827,11.1756756757,176,2.37837837838,.000,0.0,.000,0.0,.000,0.0,239,846,11.4324324324,
Jim Fox,SEA,1973-1974, 6-10,C,30,78,2179,27.9358974359,322,673,.478,.000,.000,.000,241,293,.823,244,3.12820512821,470,6.02564102564,714,9.15384615385,227,2.91025641026,56,0.717948717949,21,0.269230769231,.000,0.0,247,885,11.3461538462,
Jim Fox,SEA,1974-1975, 6-10,C,31,75,1766,23.5466666667,253,540,.469,.000,.000,.000,170,212,.802,128,1.70666666667,363,4.84,491,6.54666666667,137,1.82666666667,48,0.64,17,0.226666666667,.000,0.0,168,676,9.01333333333,
Jim Fox,MIL,1975-1976, 6-10,C,32,70,918,13.1142857143,105,203,.517,.000,.000,.000,62,79,.785,82,1.17142857143,153,2.18571428571,235,3.35714285714,42,0.6,27,0.385714285714,16,0.228571428571,.000,0.0,129,272,3.88571428571,
Jim Fox,NYN,1976-1977, 6-10,C,33,71,1165,16.4084507042,184,398,.462,.000,.000,.000,95,114,.833,100,1.40845070423,229,3.22535211268,329,4.6338028169,49,0.69014084507,20,0.281690140845,25,0.352112676056,.000,0.0,158,463,6.52112676056,
