Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Jackson,DAL,1992-1993, 6-6,SF,22,28,938,33.5,184,466,.395,21,73,.288,68,92,.739,42,1.5,80,2.85714285714,122,4.35714285714,131,4.67857142857,40,1.42857142857,11,0.392857142857,115,4.10714285714,80,457,16.3214285714,
Jim Jackson,DAL,1993-1994, 6-6,SG,23,82,3066,37.3902439024,637,1432,.445,17,60,.283,285,347,.821,169,2.06097560976,219,2.67073170732,388,4.73170731707,374,4.56097560976,87,1.06097560976,25,0.30487804878,334,4.07317073171,161,1576,19.2195121951,
Jim Jackson,DAL,1994-1995, 6-6,SG,24,51,1982,38.862745098,484,1026,.472,35,110,.318,306,380,.805,120,2.35294117647,140,2.74509803922,260,5.09803921569,191,3.74509803922,28,0.549019607843,12,0.235294117647,160,3.13725490196,92,1309,25.6666666667,
Jim Jackson,DAL,1995-1996, 6-6,SG,25,82,2820,34.3902439024,569,1308,.435,121,333,.363,345,418,.825,173,2.10975609756,237,2.89024390244,410,5.0,235,2.86585365854,47,0.573170731707,22,0.268292682927,191,2.32926829268,165,1604,19.5609756098,
Jim Jackson,TOT,1996-1997, 6-6,SG,26,77,2831,36.7662337662,444,1029,.431,86,247,.348,252,310,.813,132,1.71428571429,279,3.62337662338,411,5.33766233766,316,4.1038961039,86,1.11688311688,32,0.415584415584,208,2.7012987013,194,1226,15.9220779221,
Jim Jackson,DAL,1996-1997, 6-6,SG,26,46,1676,36.4347826087,260,588,.442,46,139,.331,148,188,.787,81,1.76086956522,146,3.17391304348,227,4.9347826087,156,3.39130434783,57,1.23913043478,15,0.326086956522,107,2.32608695652,113,714,15.5217391304,
Jim Jackson,NJN,1996-1997, 6-6,SF,26,31,1155,37.2580645161,184,441,.417,40,108,.370,104,122,.852,51,1.64516129032,133,4.29032258065,184,5.93548387097,160,5.16129032258,29,0.935483870968,17,0.548387096774,101,3.25806451613,81,512,16.5161290323,
Jim Jackson,TOT,1997-1998, 6-6,SG,27,79,3046,38.5569620253,476,1107,.430,61,191,.319,229,282,.812,130,1.64556962025,270,3.41772151899,400,5.06329113924,381,4.82278481013,79,1.0,8,0.101265822785,263,3.32911392405,186,1242,15.7215189873,
Jim Jackson,PHI,1997-1998, 6-6,SG,27,48,1788,37.25,246,535,.460,39,112,.348,126,154,.818,69,1.4375,158,3.29166666667,227,4.72916666667,223,4.64583333333,41,0.854166666667,6,0.125,145,3.02083333333,112,657,13.6875,
Jim Jackson,GSW,1997-1998, 6-6,SG,27,31,1258,40.5806451613,230,572,.402,22,79,.278,103,128,.805,61,1.96774193548,112,3.61290322581,173,5.58064516129,158,5.09677419355,38,1.22580645161,2,0.0645161290323,118,3.8064516129,74,585,18.8709677419,
Jim Jackson,POR,1998-1999, 6-6,SG,28,49,1175,23.9795918367,152,370,.411,25,90,.278,85,101,.842,36,0.734693877551,123,2.51020408163,159,3.24489795918,128,2.61224489796,43,0.877551020408,6,0.122448979592,82,1.67346938776,80,414,8.44897959184,
